orf,label_FY,predictions_CCD,predictions_CPG,predictions_CNT,predictions_Sigma,predictions_CHM
YAR007C,ess,ess,ess,ess,ess,ess
YBL092W,ess,ess,ess,ess,ess,ess
YBL084C,ess,ess,ess,ess,ess,ess
YBL076C,ess,ess,ess,ess,ess,ess
YBL050W,ess,ess,ess,ess,ess,ess
YBL034C,ess,ess,ess,ess,ess,ess
YBR004C,ess,ess,ess,ess,ess,ess
YBR087W,ess,ess,ess,ess,ess,ess
YBR110W,ess,ess,ess,ess,ess,ess
YBR143C,ess,ess,ess,ess,ess,ess
YBR155W,ess,ess,ess,ess,ess,ess
YBR160W,ess,ess,ess,ess,ess,ess
YBR196C,ess,ess,ess,ess,ess,ess
YBR236C,ess,ess,ess,ess,ess,ess
YBR247C,ess,ess,ess,ess,ess,ess
YBR265W,ess,ess,ess,ess,ess,ess
YDL207W,ess,ess,ess,ess,ess,ess
YDL195W,ess,ess,ess,ess,ess,ess
YDL153C,ess,ess,ess,ess,ess,ess
YDL084W,ess,ess,ess,ess,ess,ess
YDL060W,ess,ess,ess,ess,ess,ess
YDL055C,ess,ess,ess,ess,ess,ess
YDL031W,ess,ess,ess,ess,ess,ess
YDL029W,ess,ess,ess,ess,ess,ess
YDL015C,ess,ess,ess,ess,ess,ess
YDL014W,ess,ess,ess,ess,ess,ess
YDR021W,ess,ess,ess,ess,ess,ess
YDR023W,ess,ess,ess,ess,ess,ess
YDR050C,ess,ess,ess,ess,ess,ess
YDR052C,ess,ess,ess,ess,ess,ess
YDR060W,ess,ess,ess,ess,ess,ess
YDR081C,ess,ess,ess,ess,ess,ess
YDR091C,ess,ess,ess,ess,ess,ess
YDR113C,ess,ess,ess,ess,ess,ess
YDR172W,ess,ess,ess,ess,ess,ess
YDR190C,ess,ess,ess,ess,ess,ess
YDR228C,ess,ess,ess,ess,ess,ess
YDR235W,ess,ess,ess,ess,ess,ess
YDR238C,ess,ess,ess,ess,ess,ess
YDR299W,ess,ess,ess,ess,ess,ess
YDR303C,ess,ess,ess,ess,ess,ess
YDR311W,ess,ess,ess,ess,ess,ess
YDR331W,ess,ess,ess,ess,ess,ess
YDR412W,ess,ess,ess,ess,ess,ess
YDR416W,ess,ess,ess,ess,ess,ess
YDR449C,ess,ess,ess,ess,ess,ess
YDR460W,ess,ess,ess,ess,ess,ess
YDR487C,ess,ess,ess,ess,ess,ess
YEL058W,ess,ess,ess,ess,ess,ess
YEL055C,ess,ess,ess,ess,ess,ess
YER025W,ess,ess,ess,ess,ess,ess
YER082C,ess,ess,ess,ess,ess,ess
YER133W,ess,ess,ess,ess,ess,ess
YER165W,ess,ess,ess,ess,ess,ess
YER172C,ess,ess,ess,ess,ess,ess
YFL045C,ess,ess,ess,ess,ess,ess
YFL008W,ess,ess,ess,ess,ess,ess
YFL002C,ess,ess,ess,ess,ess,ess
YFR028C,ess,ess,ess,ess,ess,ess
YGL233W,ess,ess,ess,ess,ess,ess
YGL142C,ess,ess,ess,ess,ess,ess
YGL130W,ess,ess,ess,ess,ess,ess
YGL123W,ess,ess,ess,ess,ess,ess
YGL103W,ess,ess,ess,ess,ess,ess
YGL099W,ess,ess,ess,ess,ess,ess
YGL092W,ess,ess,ess,ess,ess,ess
YGL048C,ess,ess,ess,ess,ess,ess
YGL044C,ess,ess,ess,ess,ess,ess
YGR009C,ess,ess,ess,ess,ess,ess
YGR024C,ess,ess,ess,ess,ess,ess
YGR075C,ess,ess,ess,ess,ess,ess
YGR095C,ess,ess,ess,ess,ess,ess
YGR128C,ess,ess,ess,ess,ess,ess
YGR145W,ess,ess,ess,ess,ess,ess
YGR172C,ess,ess,ess,ess,ess,ess
YGR218W,ess,ess,ess,ess,ess,ess
YGR277C,ess,ess,ess,ess,ess,ess
YHR019C,ess,ess,ess,ess,ess,ess
YHR020W,ess,ess,ess,ess,ess,ess
YHR042W,ess,ess,ess,ess,ess,ess
YHR118C,ess,ess,ess,ess,ess,ess
YHR164C,ess,ess,ess,ess,ess,ess
YHR197W,ess,ess,ess,ess,ess,ess
YIL022W,ess,ess,ess,ess,ess,ess
YIR008C,ess,ess,ess,ess,ess,ess
YIR011C,ess,ess,ess,ess,ess,ess
YJL203W,ess,ess,ess,ess,ess,ess
YJL111W,ess,ess,ess,ess,ess,ess
YJL087C,ess,ess,ess,ess,ess,ess
YJL085W,ess,ess,ess,ess,ess,ess
YJL061W,ess,ess,ess,ess,ess,ess
YJL041W,ess,ess,ess,ess,ess,ess
YJL010C,ess,ess,ess,ess,ess,ess
