orf,label_FY,predictions_CCD,predictions_CPG,predictions_CNT,predictions_Sigma,predictions_CHM
YAL043C,ess,,,,,ess
YAL041W,ess,ess,ess,ess,,ess
YAL038W,ess,,ess,ess,ess,
YAL034W-A,ess,,,ess,,
YAL003W,ess,,,ess,,ess
YAR007C,ess,ess,ess,ess,ess,ess
YBL105C,ess,,,,,ess
YBL097W,ess,,ess,,,
YBL092W,ess,ess,ess,ess,ess,ess
YBL084C,ess,ess,ess,ess,ess,ess
YBL076C,ess,ess,ess,ess,ess,ess
YBL050W,ess,ess,ess,ess,ess,ess
YBL041W,ess,,ess,ess,,ess
YBL040C,ess,,ess,ess,,
YBL035C,ess,,ess,ess,ess,ess
YBL034C,ess,ess,ess,ess,ess,ess
YBL020W,ess,,ess,ess,ess,ess
YBR004C,ess,ess,ess,ess,ess,ess
YBR029C,ess,,ess,ess,ess,ess
YBR038W,ess,,,,,ess
YBR060C,ess,ess,ess,ess,ess,
YBR079C,ess,,,,,ess
YBR087W,ess,ess,ess,ess,ess,ess
YBR088C,ess,ess,,ess,ess,ess
YBR110W,ess,ess,ess,ess,ess,ess
YBR123C,ess,ess,ess,,ess,ess
YBR136W,ess,ess,ess,ess,,ess
YBR143C,ess,ess,ess,ess,ess,ess
YBR153W,ess,ess,ess,ess,,ess
YBR155W,ess,ess,ess,ess,ess,ess
YBR160W,ess,ess,ess,ess,ess,ess
YBR193C,ess,,,ess,ess,ess
YBR196C,ess,ess,ess,ess,ess,ess
YBR198C,ess,ess,ess,ess,,ess
YBR236C,ess,ess,ess,ess,ess,ess
YBR243C,ess,ess,ess,ess,,ess
YBR247C,ess,ess,ess,ess,ess,ess
YBR257W,ess,,,ess,ess,ess
YBR265W,ess,ess,ess,ess,ess,ess
YCL059C,ess,ess,ess,ess,,ess
YCL043C,ess,,,ess,ess,ess
YCL031C,ess,,ess,ess,ess,ess
YCL017C,ess,,,,,
YCR035C,ess,ess,ess,ess,,ess
YCR054C,ess,,ess,,ess,ess
YCR057C,ess,,ess,ess,ess,ess
YCR072C,ess,ess,ess,ess,,ess
YDL235C,ess,,ess,,,
YDL209C,ess,,ess,,,
YDL207W,ess,ess,ess,ess,ess,ess
YDL195W,ess,ess,ess,ess,ess,ess
YDL165W,ess,,ess,,,ess
YDL164C,ess,,,ess,,ess
YDL153C,ess,ess,ess,ess,ess,ess
YDL150W,ess,ess,ess,ess,ess,
YDL147W,ess,ess,,ess,ess,ess
YDL145C,ess,,ess,,ess,ess
YDL143W,ess,ess,ess,,ess,
YDL126C,ess,,ess,,ess,ess
YDL120W,ess,ess,,ess,,
YDL111C,ess,,ess,ess,,
YDL105W,ess,ess,,ess,,
YDL103C,ess,,ess,,,
YDL102W,ess,,ess,,ess,
YDL084W,ess,ess,ess,ess,ess,ess
YDL060W,ess,ess,ess,ess,ess,ess
YDL055C,ess,ess,ess,ess,ess,ess
YDL031W,ess,ess,ess,ess,ess,ess
YDL029W,ess,ess,ess,ess,ess,ess
YDL028C,ess,,ess,,,
YDL017W,ess,,ess,,ess,
YDL015C,ess,ess,ess,ess,ess,ess
YDL014W,ess,ess,ess,ess,ess,ess
YDL003W,ess,,ess,ess,ess,ess
YDR021W,ess,ess,ess,ess,ess,ess
YDR023W,ess,ess,ess,ess,ess,ess
YDR047W,ess,,ess,ess,,ess
YDR050C,ess,ess,ess,ess,ess,ess
YDR052C,ess,ess,ess,ess,ess,ess
YDR060W,ess,ess,ess,ess,ess,ess
YDR062W,ess,ess,ess,ess,,ess
YDR081C,ess,ess,ess,ess,ess,ess
YDR082W,ess,,ess,ess,ess,ess
YDR088C,ess,ess,ess,,,ess
YDR091C,ess,ess,ess,ess,ess,ess
YDR113C,ess,ess,ess,ess,ess,ess
YDR118W,ess,,ess,,ess,ess
YDR141C,ess,,ess,,,
YDR160W,ess,,ess,ess,,ess
YDR164C,ess,,,,,
YDR167W,ess,,ess,,,ess
YDR172W,ess,ess,ess,ess,ess,ess
YDR180W,ess,ess,ess,ess,,ess
YDR182W,ess,,ess,,ess,
YDR188W,ess,,ess,ess,ess,
YDR190C,ess,ess,ess,ess,ess,ess
YDR211W,ess,,,,,ess
YDR228C,ess,ess,ess,ess,ess,ess
YDR232W,ess,,ess,ess,ess,ess
YDR235W,ess,ess,ess,ess,ess,ess
YDR236C,ess,,,,ess,ess
YDR238C,ess,ess,ess,ess,ess,ess
