orf,label
YAL043C,ess
YAL041W,ess
YAL038W,ess
YAL034W-A,ess
YAL033W,ess
YAL032C,ess
YAL003W,ess
YAR007C,ess
YAR008W,ess
YAR019C,ess
YBL105C,ess
YBL097W,ess
YBL092W,ess
YBL084C,ess
YBL076C,ess
YBL074C,ess
YBL050W,ess
YBL041W,ess
YBL040C,ess
YBL035C,ess
YBL034C,ess
YBL026W,ess
YBL020W,ess
YBL018C,ess
YBR002C,ess
YBR004C,ess
YBR011C,ess
YBR029C,ess
YBR038W,ess
YBR049C,ess
YBR060C,ess
YBR070C,ess
YBR079C,ess
YBR087W,ess
YBR088C,ess
YBR102C,ess
YBR109C,ess
YBR110W,ess
YBR123C,ess
YBR135W,ess
YBR136W,ess
YBR142W,ess
YBR143C,ess
YBR152W,ess
YBR153W,ess
YBR154C,ess
YBR155W,ess
YBR160W,ess
YBR167C,ess
YBR192W,ess
YBR193C,ess
YBR196C,ess
YBR198C,ess
YBR202W,ess
YBR211C,ess
YBR234C,ess
YBR236C,ess
YBR243C,ess
YBR247C,ess
YBR252W,ess
YBR253W,ess
YBR254C,ess
YBR256C,ess
YBR257W,ess
YBR265W,ess
YCL059C,ess
YCL054W,ess
YCL052C,ess
YCL043C,ess
YCL031C,ess
YCL017C,ess
YCL004W,ess
YCR012W,ess
YCR035C,ess
YCR054C,ess
YCR057C,ess
YCR072C,ess
YCR093W,ess
YDL235C,ess
YDL220C,ess
YDL217C,ess
YDL209C,ess
YDL208W,ess
YDL207W,ess
YDL195W,ess
YDL166C,ess
YDL165W,ess
YDL164C,ess
YDL153C,ess
YDL150W,ess
YDL148C,ess
YDL147W,ess
YDL145C,ess
YDL143W,ess
YDL141W,ess
YDL139C,ess
YDL132W,ess
YDL126C,ess
YDL120W,ess
YDL111C,ess
YDL108W,ess
YDL105W,ess
YDL103C,ess
YDL102W,ess
YDL097C,ess
YDL092W,ess
YDL087C,ess
YDL084W,ess
YDL064W,ess
YDL060W,ess
YDL058W,ess
YDL055C,ess
YDL045C,ess
YDL043C,ess
YDL031W,ess
YDL030W,ess
YDL029W,ess
YDL028C,ess
YDL017W,ess
YDL015C,ess
YDL014W,ess
YDL008W,ess
YDL004W,ess
YDL003W,ess
YDR002W,ess
YDR013W,ess
YDR016C,ess
YDR021W,ess
YDR023W,ess
YDR041W,ess
YDR044W,ess
YDR045C,ess
YDR047W,ess
YDR050C,ess
YDR052C,ess
YDR054C,ess
YDR060W,ess
YDR062W,ess
YDR081C,ess
YDR082W,ess
YDR086C,ess
YDR088C,ess
YDR091C,ess
YDR113C,ess
YDR118W,ess
YDR141C,ess
YDR160W,ess
YDR164C,ess
YDR166C,ess
YDR167W,ess
YDR168W,ess
YDR170C,ess
YDR172W,ess
YDR177W,ess
YDR180W,ess
YDR182W,ess
YDR187C,ess
YDR188W,ess
YDR190C,ess
YDR196C,ess
YDR201W,ess
YDR208W,ess
YDR211W,ess
YDR224C,ess
YDR228C,ess
YDR232W,ess
YDR235W,ess
YDR236C,ess
YDR238C,ess
YDR240C,ess
YDR243C,ess
YDR246W,ess
YDR267C,ess
YDR280W,ess
YDR292C,ess
YDR299W,ess
YDR301W,ess
YDR302W,ess
YDR303C,ess
YDR308C,ess
YDR311W,ess
YDR324C,ess
YDR328C,ess
YDR331W,ess
YDR339C,ess
YDR341C,ess
YDR353W,ess
YDR362C,ess
YDR373W,ess
YDR376W,ess
YDR390C,ess
YDR394W,ess
YDR397C,ess
YDR398W,ess
YDR404C,ess
YDR412W,ess
YDR416W,ess
YDR427W,ess
YDR429C,ess
YDR434W,ess
YDR437W,ess
YDR449C,ess
YDR454C,ess
YDR460W,ess
YDR464W,ess
YDR468C,ess
YDR472W,ess
YDR478W,ess
YDR487C,ess
YDR489W,ess
YDR498C,ess
YDR499W,ess
YDR527W,ess
YEL058W,ess
YEL055C,ess
YEL034W,ess
YEL032W,ess
YEL026W,ess
YEL019C,ess
YEL002C,ess
YER003C,ess
YER006W,ess
YER009W,ess
YER012W,ess
YER013W,ess
YER018C,ess
YER021W,ess
YER022W,ess
YER023W,ess
YER025W,ess
YER043C,ess
YER048W-A,ess
YER082C,ess
YER093C,ess
YER094C,ess
YER104W,ess
YER112W,ess
YER125W,ess
YER126C,ess
YER127W,ess
YER133W,ess
YER136W,ess
YER146W,ess
YER147C,ess
YER148W,ess
YER157W,ess
YER159C,ess
YER165W,ess
YER171W,ess
YER172C,ess
YFL045C,ess
YFL039C,ess
YFL038C,ess
YFL037W,ess
YFL024C,ess
YFL017W-A,ess
YFL017C,ess
YFL008W,ess
YFL005W,ess
YFL002C,ess
YFR002W,ess
YFR004W,ess
YFR027W,ess
YFR028C,ess
YFR042W,ess
YFR050C,ess
YFR051C,ess
YFR052W,ess
YGL247W,ess
YGL245W,ess
YGL238W,ess
YGL233W,ess
YGL225W,ess
