std_name,label
S000002488,Ess
S000003605,Ess
S000004881,Ess
S000001340,Ess
S000005820,Ess
S000000406,Ess
S000000402,Ess
S000000605,Ess
S000001628,Ess
S000004699,Ess
S000005126,Ess
S000006341,Ess
S000003661,Ess
S000006379,Ess
S000001324,Ess
S000004684,Ess
S000028509,Ess
S000005804,Ess
S000004328,Ess
S000001794,Ess
S000006369,Ess
S000003645,Ess
S000003778,Ess
S000000233,Ess
S000006238,Ess
S000000014,Ess
S000002654,Ess
S000001131,Ess
S000000003,Ess
S000002880,Ess
S000004831,Ess
S000005788,Ess
S000005300,Ess
S000000070,Ess
S000002233,Ess
S000006439,Ess
S000003509,Ess
S000004947,Ess
S000004818,Ess
S000004362,Ess
S000004361,Ess
S000001125,Ess
S000005019,Ess
S000003477,Ess
S000005184,Ess
S000000274,Ess
S000002986,Ess
S000003224,Ess
S000004117,Ess
S000002643,Ess
S000001561,Ess
S000002299,Ess
S000002290,Ess
S000006047,Ess
S000001078,Ess
S000004295,Ess
S000003777,Ess
S000001229,Ess
S000002367,Ess
S000000927,Ess
S000005490,Ess
S000003633,Ess
S000004351,Ess
S000006286,Ess
S000001899,Ess
S000005669,Ess
S000001541,Ess
S000001062,Ess
S000002574,Ess
S000000935,Ess
S000007604,Ess
S000001116,Ess
S000000045,Ess
S000006067,Ess
S000004153,Ess
S000003716,Ess
S000003023,Ess
S000004594,Ess
S000003256,Ess
S000006239,Ess
S000000364,Ess
S000001388,Ess
S000003033,Ess
S000004558,Ess
S000005075,Ess
S000005572,Ess
S000004556,Ess
S000004550,Ess
S000001591,Ess
S000005294,Ess
S000005180,Ess
S000002525,Ess
S000000346,Ess
S000004718,Ess
S000003873,Ess
S000002632,Ess
S000001901,Ess
S000002248,Ess
S000001409,Ess
S000003123,Ess
S000000358,Ess
S000005457,Ess
S000004984,Ess
S000005674,Ess
S000002250,Ess
S000000325,Ess
S000004264,Ess
S000004198,Ess
S000028662,Ess
S000005024,Ess
S000006223,Ess
S000001927,Ess
S000003073,Ess
S000002242,Ess
S000005499,Ess
S000003547,Ess
S000003307,Ess
S000001107,Ess
