Gene,systematic_name,Annot
HOM6,YJR139C,No
THR4,YCR053W,No
TRP4,YDR354W,No
MIT1,YEL007W,No
OCA1,YNL099C,No
SKY1,YMR216C,No
RPL34B,YIL052C,No
BAP2,YBR068C,No
UBP13,YBL067C,No
THR1,YHR025W,No
MOT3,YMR070W,No
MOD5,YOR274W,No
DUF1,YOL087C,No
YLR252W,YLR252W,No
YDR008C,YDR008C,No
SWM2,YNR004W,No
OPI7,YDR360W,No
SLT2,YHR030C,No
GCN3,YKR026C,No
SIW14,YNL032W,No
ELO2,YCR034W,No
BMH1,YER177W,No
LEU3,YLR451W,No
ARO3,YDR035W,No
TRP2,YER090W,No
STP2,YHR006W,No
GCN4,YEL009C,No
BCK2,YER167W,No
UBP15,YMR304W,No
TRP1,YDR007W,No
TKL1,YPR074C,No
ARO2,YGL148W,No
LST7,YGR057C,No
ISC1,YER019W,No
RPA14,YDR156W,No
UBR1,YGR184C,No
YHP1,YDR451C,No
SBP1,YHL034C,No
TRP3,YKL211C,No
VHS2,YIL135C,No
MEH1,YKR007W,No
OCA6,YDR067C,No
OCA5,YHL029C,No
SPT8,YLR055C,No
CLB5,YPR120C,No
RTT103,YDR289C,No
SER2,YGR208W,No
YEL067C,YEL067C,No
YIR044C,YIR044C,No
YDR306C,YDR306C,No
GRX6,YDL010W,No
YBL065W,YBL065W,No
RAD34,YDR314C,No
RRT5,YFR032C,No
PUT4,YOR348C,No
ARE1,YCR048W,No
PRS4,YBL068W,No
CWC15,YDR163W,No
ERP3,YDL018C,No
HOM2,YDR158W,No
NBP2,YDR162C,No
SER1,YOR184W,No
CTS1,YLR286C,No
THI6,YPL214C,No
UGA4,YDL210W,No
MSH6,YDR097C,No
HAP2,YGL237C,No
BUD9,YGR041W,No
FRE3,YOR381W,No
ABP140,YOR239W,No
GIR2,YDR152W,No
MSA2,YKR077W,No
YLR126C,YLR126C,No
ARE2,YNR019W,No
LYS14,YDR034C,No
ACO2,YJL200C,No
LYS1,YIR034C,No
YMR135W-A,YMR135W-A,No
LYS4,YDR234W,No
LYS5,YGL154C,No
APT1,YML022W,No
LYS9,YNR050C,No
PKH2,YOL100W,No
ARO7,YPR060C,No
ADE8,YDR408C,No
ADE6,YGR061C,No
NIT2,YJL126W,No
STB5,YHR178W,No
UBX2,YML013W,No
PRO2,YOR323C,No
TRK1,YJL129C,No
ADH3,YMR083W,No
PRM4,YPL156C,No
MGR2,YPL098C,No
PHM6,YDR281C,No
INO4,YOL108C,No
RCY1,YJL204C,No
SHM2,YLR058C,No
DRS2,YAL026C,No
MET13,YGL125W,No
ILV1,YER086W,No
APS3,YJL024C,No
YER119C-A,YER119C-A,No
PXP2,YJR111C,No
YNL285W,YNL285W,No
ADO1,YJR105W,No
PKR1,YMR123W,No
GCS1,YDL226C,No
CBF1,YJR060W,No
