orf,label
YCR053W,non_ess
YDR354W,non_ess
YIL052C,non_ess
YBR068C,non_ess
YHR025W,non_ess
YLR252W,non_ess
YDR008C,non_ess
YNR004W,non_ess
YDR360W,non_ess
YER177W,non_ess
YLR451W,non_ess
YER090W,non_ess
YHR006W,non_ess
YEL009C,non_ess
YER167W,non_ess
YDR007W,non_ess
YPR074C,non_ess
YGL148W,non_ess
YDR156W,non_ess
YDR451C,non_ess
YKL211C,non_ess
YIL135C,non_ess
YKR007W,non_ess
YHL029C,non_ess
YPR120C,non_ess
YEL067C,non_ess
YIR044C,non_ess
YDL010W,non_ess
YBL065W,non_ess
YFR032C,non_ess
YOR348C,non_ess
YCR048W,non_ess
YBL068W,non_ess
YDR163W,non_ess
YDR158W,non_ess
YGL237C,non_ess
YGR041W,non_ess
YKR077W,non_ess
YJL200C,non_ess
YMR135W-A,non_ess
YGL154C,non_ess
YOL100W,non_ess
YPR060C,non_ess
YML013W,non_ess
YJL129C,non_ess
YMR083W,non_ess
YPL156C,non_ess
YDR281C,non_ess
YOL108C,non_ess
YJL204C,non_ess
YAL026C,non_ess
YGL125W,non_ess
YER086W,non_ess
YER119C-A,non_ess
YJR111C,non_ess
YNL285W,non_ess
YGR204W,non_ess
YER091C-A,non_ess
YKL053C-A,non_ess
YGL007W,non_ess
YDR157W,non_ess
YOR178C,non_ess
YGL026C,non_ess
YER052C,non_ess
YOL064C,non_ess
YDR117C,non_ess
YER066W,non_ess
YNL108C,non_ess
YHR151C,non_ess
YOL160W,non_ess
YOR170W,non_ess
YPR012W,non_ess
YHR029C,non_ess
YNR040W,non_ess
YDR535C,non_ess
YLR177W,non_ess
YBR134W,non_ess
YDR122W,non_ess
YLR360W,non_ess
YBL038W,non_ess
YDR384C,non_ess
YKL212W,non_ess
YCL032W,non_ess
YLR231C,non_ess
YGR010W,non_ess
YKR036C,non_ess
YNL014W,non_ess
YNR060W,non_ess
YOL044W,non_ess
YLR213C,non_ess
YGL162W,non_ess
YJL165C,non_ess
YDR098C,non_ess
YNL299W,non_ess
YHR153C,non_ess
YNL336W,non_ess
YBR069C,non_ess
YJL134W,non_ess
YCR007C,non_ess
YMR178W,non_ess
YGR295C,non_ess
YKR006C,non_ess
YCR094W,non_ess
YAL011W,non_ess
YNL322C,non_ess
YBL006C,non_ess
YFL012W-A,non_ess
YLR171W,non_ess
YAL053W,non_ess
YMR258C,non_ess
YMR099C,non_ess
YDL172C,non_ess
YLR065C,non_ess
YDL173W,non_ess
YNL226W,non_ess
YJR154W,non_ess
YDR484W,non_ess
YKR019C,non_ess
YKL032C,non_ess
YPL051W,non_ess
YFR034C,non_ess
YLR350W,non_ess
YEL031W,non_ess
YBR164C,non_ess
YJL117W,non_ess
YHR142W,non_ess
YJL004C,non_ess
YHR013C,non_ess
YJR059W,non_ess
YNL314W,non_ess
YDR283C,non_ess
YBR106W,non_ess
YHR129C,non_ess
YIR033W,non_ess
YNL170W,non_ess
YMR154C,non_ess
YGL045W,non_ess
YOR008C-A,non_ess
YOR342C,non_ess
YLL060C,non_ess
YNL294C,non_ess
YIL160C,non_ess
YBR298C,non_ess
YPR032W,non_ess
YOR360C,non_ess
YPR057W,non_ess
YDL023C,non_ess
YCR087W,non_ess
YCR008W,non_ess
YML006C,non_ess
YBR103W,non_ess
YFL040W,non_ess
YNL105W,non_ess
YFR016C,non_ess
YPL071C,non_ess
YOR030W,non_ess
YOR089C,non_ess
YLR181C,non_ess
YPL269W,non_ess
YLR204W,non_ess
YMR263W,non_ess
YCL008C,non_ess
YMR264W,non_ess
YLR119W,non_ess
YMR214W,non_ess
YPR061C,non_ess
YLR412W,non_ess
YBR108W,non_ess
YDR202C,non_ess
YAL056C-A,non_ess
YHR155W,non_ess
YBL083C,non_ess
YGR206W,non_ess
YCL005W,non_ess
YNR068C,non_ess
YLR111W,non_ess
YER084W,non_ess
YNR005C,non_ess
YLR374C,non_ess
YOL004W,non_ess
YNL236W,non_ess
YEL005C,non_ess
YGR058W,non_ess
YOR029W,non_ess
YGR237C,non_ess
YGR122W,non_ess
YPR153W,non_ess
YKL098W,non_ess
YBR255W,non_ess
YOL027C,non_ess
YKL159C,non_ess
YPR156C,non_ess
YKR073C,non_ess
YNL046W,non_ess
YKL077W,non_ess
YOR302W,non_ess
YGL250W,non_ess
YGL252C,non_ess
