orf,label
YAL038W,ess
YAL034W-A,ess
YAL033W,ess
YAL032C,ess
YAL003W,ess
YAR007C,ess
YAR008W,ess
YAR019C,ess
YJL203W,ess
YJL194W,ess
YJL174W,ess
YJL167W,ess
YJL143W,ess
YJL111W,ess
YJL109C,ess
YJL104W,ess
YJL091C,ess
YJL090C,ess
YJL087C,ess
YJL072C,ess
YJL069C,ess
YJL050W,ess
YJL041W,ess
YJL034W,ess
YJL033W,ess
YJL031C,ess
YJL025W,ess
YJL014W,ess
YJL011C,ess
YJL010C,ess
YJL008C,ess
YJL002C,ess
YJR002W,ess
YJR006W,ess
YJR007W,ess
YJR041C,ess
YJR042W,ess
YJR045C,ess
YJR064W,ess
YJR068W,ess
YJR072C,ess
YJR093C,ess
YJR112W,ess
YJR141W,ess
YKL210W,ess
YKL196C,ess
YKL195W,ess
YKL193C,ess
YKL189W,ess
YKL173W,ess
YKL172W,ess
YKL145W,ess
YKL144C,ess
YKL125W,ess
YKL108W,ess
YKL104C,ess
YKL099C,ess
YKL078W,ess
YKL060C,ess
YKL059C,ess
YKL058W,ess
YKL045W,ess
YKL035W,ess
YKL024C,ess
YKL022C,ess
YKL021C,ess
YKL019W,ess
YKL013C,ess
YKL012W,ess
YKL004W,ess
YKR002W,ess
YKR008W,ess
YKR025W,ess
YKR062W,ess
YKR063C,ess
YKR068C,ess
YKR079C,ess
YKR081C,ess
YKR086W,ess
YLL050C,ess
YLL036C,ess
YLL035W,ess
YLL034C,ess
YLL011W,ess
YLL008W,ess
YLL004W,ess
YLR002C,ess
YLR008C,ess
YLR009W,ess
YLR026C,ess
YLR051C,ess
YLR060W,ess
YLR066W,ess
YLR071C,ess
YLR078C,ess
YLR086W,ess
YLR088W,ess
YLR100W,ess
YLR105C,ess
YLR106C,ess
YLR115W,ess
YLR116W,ess
YLR117C,ess
YLR129W,ess
YLR163C,ess
YLR166C,ess
YLR175W,ess
YLR186W,ess
YLR195C,ess
YLR196W,ess
YLR197W,ess
YLR208W,ess
YLR212C,ess
YLR215C,ess
YLR222C,ess
YLR229C,ess
YLR243W,ess
YLR249W,ess
YLR259C,ess
YLR272C,ess
YLR274W,ess
YLR275W,ess
YLR276C,ess
YLR277C,ess
YLR291C,ess
YLR298C,ess
YLR321C,ess
YLR323C,ess
YLR336C,ess
YLR340W,ess
YLR378C,ess
YLR397C,ess
YLR409C,ess
YLR424W,ess
YLR438C-A,ess
YLR459W,ess
YML130C,ess
YML127W,ess
YML126C,ess
YML125C,ess
YML114C,ess
YML098W,ess
YML093W,ess
YML092C,ess
YML077W,ess
YML065W,ess
YML064C,ess
YML049C,ess
YML046W,ess
YML043C,ess
YML015C,ess
YML010W,ess
YMR001C,ess
YMR005W,ess
YMR013C,ess
YMR028W,ess
YMR047C,ess
YMR049C,ess
YMR128W,ess
YMR131C,ess
YMR146C,ess
YMR197C,ess
YMR203W,ess
YMR208W,ess
YMR213W,ess
YMR220W,ess
YMR227C,ess
YMR229C,ess
YMR235C,ess
YMR236W,ess
YMR239C,ess
