orf,label_FY,predictions_ABP,predictions_ACF,predictions_ACN,predictions_ACP,predictions_ADD,predictions_AND,predictions_APH,predictions_AVI,predictions_BBQ,predictions_BHH,predictions_BMK,predictions_CCD,predictions_CGQ,predictions_CHM,predictions_CIB,predictions_CLG,predictions_CNM,predictions_CNT,predictions_CPG,predictions_Sigma
YAL043C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAL041W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAL038W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAL034W-A,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAL033W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAL003W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAR007C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAR008W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YAR019C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL105C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL097W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL092W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL084C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL076C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL074C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL050W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL041W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL040C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL035C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL034C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL026W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL020W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBL018C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR002C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR004C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR011C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR029C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR038W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR049C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR060C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR070C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR079C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR087W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR088C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR102C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR109C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR110W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR123C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR135W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR136W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR142W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR143C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR152W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR153W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR154C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR155W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR160W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YBR167C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
