orf,freq
YFL054C,20
YLR023C,20
YPL013C,20
YCR003W,20
YCR086W,20
YIL093C,20
YDR011W,20
YHL034W-A,20
YPR036W,20
YKR042W,20
YMR194W,20
YNL003C,20
YHR021W-A,20
YKR072C,20
YPL051W,20
YHL004W,20
YMR193C-A,20
YDL192W,20
YOL001W,20
YBL038W,20
YMR044W,20
YDL067C,20
YDL022C-A,19
YDL107W,19
YPR166C,19
YOL037C,19
YPR067W,19
YGL162W,19
YCR046C,19
YDR377W,19
YHL008C,19
YLR256W,19
YDR296W,19
YDR014W-A,19
YJR034W,19
YCR008W,19
YHL046C,19
YOL020W,19
YOL061W,19
YJR144W,19
YLR091W,19
YDL012C,19
YNR037C,19
YML081C-A,18
YIR035C,18
YBR175W,18
YKL087C,18
YPL183W-A,18
YEL050W-A,18
YMR065W,18
YBR137W,18
YPL047W,18
YOR085W,18
YOR002W,18
YJR113C,18
YLR120C,18
YDL024C,18
YLL001W,18
YJR086W,18
YBR296C,18
YNR036C,18
YDR524W-C,17
YBL006C,17
YLL020C,17
YIL111W,17
YIL068W-A,17
YLR162W,17
YPL157W,17
YIL141W,17
YOR327C,17
YBR106W,17
YFL052W,17
YML002W,17
YOR153W,17
YER138W-A,17
YJL166W,17
YNR004W,17
YIL089W,17
YML057C-A,17
YAL031W-A,17
YGL037C,16
YPR006C,16
YDR405W,16
YER153C,16
YEL005C,16
YNL328C,16
YOL164W,16
YKR074W,16
YBL003C,16
YKL127W,16
YBR277C,16
YGR291C,16
YIL055C,15
YML009C,15
YLR085C,15
YPR078C,15
YDL042C,15
YBR005W,15
YPL004C,15
YHL007C,15
YER066C-A,15
YNR032C-A,15
YMR247W-A,15
YIL156W-B,15
YJR114W,15
YBR162W-A,15
YGR133W,15
YOL159C-A,15
YKR049C,15
YML129C,15
YCR024C-A,15
YFR026C,15
YML001W,15
YML005W,15
YNL031C,15
YEL004W,14
YJR004C,14
YER177W,14
YFR007W,14
YOR011W-A,14
YDR033W,14
YOR394C-A,14
YHR002W,14
YBR174C,14
YHR180C-B,14
YIL023C,14
YAL066W,14
YMR135C,14
YGL255W,14
YAR023C,14
YAR030C,14
YGR015C,14
YBR066C,14
YGR241C,14
YDR231C,14
YMR009W,14
YLR466C-B,14
YNL281W,14
YPL038W,14
YML018C,14
YMR244C-A,14
YJR003C,14
YLR042C,14
YBR050C,14
YML116W-A,14
YKL005C,14
YIL010W,14
YEL009C-A,14
YDR022C,13
YPR138C,13
YIL105W-A,13
YDR043C,13
YDR007W,13
YAL068W-A,13
YJR147W,13
YDL119C,13
YCL034W,13
YDR481C,13
YFL032W,13
YIL002C,13
YPL014W,13
YDR366C,13
YHR176W,13
YGL121C,13
YHR034C,13
YGL220W,13
YDR118W-A,13
YFR006W,13
YER137W-A,12
YAL056C-A,12
YLL023C,12
YEL074W,12
YER137C,12
YNL017C,12
YOR225W,12
YJL065C,12
YNL205C,12
YHL021C,12
YGR040W,12
YAL037C-A,12
YNL067W-B,12
YNL010W,12
YDR488C,12
YNR071C,12
YAL055W,12
YAR002W,12
YLL038C,11
YGL184C,11
YOL106W,11
YCL021W-A,11
YNR064C,11
YMR319C,11
YLR254C,11
YLR217W,11
YDR185C,11
YLL066W-B,11
YHR180W-A,11
YOR298W,11
YNL278W,11
YPR087W,11
YPR159C-A,11
YBR278W,11
YBR035C,11
YKR066C,11
YGL226W,11
YIL065C,11
YLL026W,11
YOR121C,11
YBR022W,10
YEL059C-A,10
YFL063W,10
YOR357C,10
YDR511W,10
YMR326C,10
YIR021W-A,10
YLR202C,10
YBL012C,10
YOR142W,10
YIR013C,10
YNR008W,10
YPR199C,10
YOL038C-A,10
YDL002C,10
YOL053W,10
YIL002W-A,10
YPR096C,10
YPR170W-B,10
YMR324C,10
YOR082C,10
YPR040W,10
YGL149W,10
YLL060C,10
YGL010W,10
YDR544C,10
YER187W,9
YPR036W-A,9
YPR160W-A,9
YCL023C,9
YDR156W,9
YDL022W,9
YKR005C,9
YLR038C,9
YPR014C,9
YER006C-A,9
YIR016W,9
YGR001C,9
YJL062W-A,9
YNL289W,9
YNL211C,9
YMR122W-A,9
YDR112W,9
YJL133W,9
YBR201C-A,9
YER188C-A,9
YNL337W,9
YIR018W,9
YHL045W,9
YPL001W,8
YOL159C,8
YHR056W-A,8
YHL024W,8
YLR011W,8
YFR032C-B,8
YIL032C,8
YJR151W-A,8
YGL166W,8
YER010C,8
YDR543C,8
YDR517W,8
YIL101C,8
YNR032W,8
YHR217C,8
YOL166W-A,8
YBL091C-A,8
YBR298C-A,8
YJL182C,8
YAR003W,8
YJL047C-A,8
YAL016C-B,8
YAR035C-A,8
YKR045C,8
YDR073W,8
YFL030W,8
YNR034W-A,8
YGL006W-A,8
YCR061W,7
YNL103W-A,7
YBR016W,7
YIL047C-A,7
YKR075C,7
YDL085C-A,7
YGR041W,7
YEL021W,7
YDL174C,7
YOL111C,7
YBR082C,7
YMR316C-A,7
YFR036W,7
YBR261C,7
YPL156C,7
YPR093C,7
YJR020W,7
YMR195W,7
YLL039C,7
YAL019W-A,7
YER005W,7
YAL069W,7
YGR007W,7
YCR001W,7
YER004W,7
YKR076W,7
YEL065W,7
YBR051W,6
YGL235W,6
YDR277C,6
YGR079W,6
YJL004C,6
YHR022C-A,6
YPR015C,6
YDR077W,6
YOR055W,6
YEL009C,6
YOR200W,6
YJR096W,6
YOL052C,6
YDR234W,6
YLR109W,6
YBL029W,6
YEL011W,6
YDR072C,6
YER001W,6
YNL153C,6
YHR003C,6
YOR226C,6
YMR151W,6
YLR285C-A,6
YMR055C,5
YLR178C,5
YIL164C,5
YLR406C-A,5
YJR019C,5
YGR270C-A,5
YNL195C,5
YDR278C,5
YFR056C,5
YHR116W,5
YKL053W,5
YOR120W,5
YCL042W,5
YNL092W,5
YPR170W-A,5
YGR021W,5
YMR015C,5
YKL225W,5
YCR005C,5
YPL261C,5
YMR013W-A,5
YIL123W,5
YJR142W,5
YOR008W-B,5
YOR298C-A,5
YMR315W-A,5
YOR374W,5
YCL001W-B,4
YDR169C-A,4
YJL007C,4
YAL042C-A,4
YOL003C,4
YFL015W-A,4
YOL097W-A,4
YFR052C-A,4
YNR075C-A,4
YGR052W,4
YEL039C,4
YBL108W,4
YGR161W-C,4
YAL039C,4
YBR006W,4
YCL057C-A,4
YMR304C-A,4
YLR408C,4
YDR467C,4
YCL010C,4
YPL003W,4
YMR106C,4
YNR001C,4
YGR039W,4
YPR152C,4
YMR320W,4
YGL002W,4
YJL136W-A,4
YPR158W,4
YDL135C,4
YBR047W,4
YKL094W,4
YJL077W-B,4
YGL109W,4
YBL006W-A,4
YNL104C,4
YLR282C,4
YFL013W-A,3
YDR114C,3
YER121W,3
YDL041W,3
YOR031W,3
YOR099W,3
YHL026C,3
YMR148W,3
YGL041C-B,3
YGR153W,3
YDR066C,3
YDL182W,3
YHR071W,3
YEL040W,3
YHR087W,3
YGL161C,3
YJR120W,3
YDR154C,3
YHR049W,3
YNL202W,3
YGR019W,3
YMR316W,3
YDL124W,3
YOR062C,3
YGL007W,3
YOR302W,3
YPL080C,3
YMR145C,3
YPR160C-A,3
YLR299C-A,3
YGL191W,3
YER097W,3
YMR031W-A,3
YML053C,3
YML051W,3
YGR201C,3
YKL001C,3
YEL012W,3
YBR027C,3
YJL120W,3
YDR093W,2
YCR108C,2
YJR108W,2
YOR303W,2
YLR294C,2
YLR281C,2
YER035W,2
YGL004C,2
YKR043C,2
YHL002C-A,2
YDL137W,2
YKL218C,2
YMR175W,2
YOL126C,2
YLR437C,2
YJL161W,2
YBL109W,2
YDR410C,2
YKR061W,2
YDR357C,2
YCR049C,2
YMR318C,2
YLR437C-A,2
YMR082C,2
YJL157C,2
YOL058W,2
YOR138C,2
YER084W,2
YER092W,2
YDR426C,2
YBL015W,2
YKL148C,2
YDL222C,2
YIR001C,2
YLR213C,2
YIL057C,2
YDL023C,2
YBR076C-A,2
YPL155C,2
YGR043C,2
YMR040W,2
YKL096W,2
YGR141W,2
YNR018W,2
YEL071W,2
YBR213W,2
YPL025C,2
YGR236C,2
YHR057C,2
YJR058C,2
YNL097C-B,2
YLR364C-A,2
YJL210W,2
YJR078W,2
YPL144W,2
YGL193C,2
YJL067W,2
YHL015W-A,2
YMR230W-A,2
YOR293C-A,2
YPR050C,2
YNL241C,2
YHR173C,2
YNL066W,2
YLR080W,1
YLR001C,1
YHR139C-A,1
YIL162W,1
YMR244W,1
YEL072W,1
YMR105W-A,1
YCR060W,1
YML007C-A,1
YGR087C,1
YLR377C,1
YHR136C,1
YBR291C,1
YOL002C,1
YER034W,1
YCL025C,1
YOR134W,1
YNR001W-A,1
YDR530C,1
YKL031W,1
YOR289W,1
YHL002W,1
YDL001W,1
YFR053C,1
YPL250C,1
YHL006W-A,1
YDR102C,1
YGL118C,1
YPR146C,1
YFL046W,1
YKL109W,1
YLL028W,1
YEL001C,1
YOR050C,1
YKL066W,1
YBR219C,1
YHR032C-A,1
YLR326W,1
YJL077W-A,1
YPR051W,1
YJL118W,1
YOR003W,1
YCR105W,1
YCR043C,1
YOR277C,1
YBR116C,1
YJR129C,1
YER081W,1
YLR028C,1
YJR148W,1
YPR108W-A,1
YJL078C,1
YCR024C-B,1
YIL132C,1
YGL117W,1
YDR344C,1
YBR134W,1
YJR048W,1
YPR149W,1
YKR012C,1
YGR209C,1
YAL060W,1
YNR015W,1
YDL048C,1
YIL134C-A,1
YIL113W,1
YDL094C,1
YOR300W,1
YFL012W-A,1
YOL059W,1
YNL024C,1
YGR164W,1
YDR524C-A,1
