orf,mean_accuracy
FY,0.9270047111396141
CLG,0.8819991315675211
ACP,0.8761875814155446
CCD,0.8735631784628747
CPG,0.8719895788102473
APH,0.8631784628745114
ABP,0.8617090751194102
BHH,0.8613842813721239
CGQ,0.8597933130699091
Sigma,0.8597759444203211
CNM,0.8579817629179336
ADD,0.8552184107685632
ACN,0.8551471993052538
ACF,0.8525731654363873
AND,0.8474893617021281
BMK,0.8468310898827617
AVI,0.8443925314806775
CNT,0.8421354246259444
CIB,0.8367642256085275
BBQ,0.8358367346938776
CHM,0.8024281372123315
