orf,mean_accuracy,mean_precision,mean_recall
CNT,0.9598081656905184,0.9037823636826093,0.9425933840088083
CNM,0.9596638655462191,0.9077331197683324,0.9379957572196992
BMK,0.9594474153297683,0.9106463758645771,0.933817245677237
ABP,0.9585985909515313,0.9030461638683773,0.9383275133598673
ACN,0.9583439436380614,0.9000210432646694,0.9416895842564489
CLG,0.95827731092437,0.9034261732242954,0.9360532502260654
ACF,0.9580680757151345,0.9001286323768082,0.9396251437982154
CCD,0.9580462184873949,0.9012509047486971,0.9377429387175266
Sigma,0.9579831932773105,0.8982840936643902,0.9422625549424513
ACP,0.9579831932773102,0.8998756718091984,0.940631470271858
ADD,0.957834649011119,0.8991880897908368,0.9400452706496901
AVI,0.9576224429165606,0.8982069045935749,0.9402382671733361
BBQ,0.957452678040913,0.8984852358243102,0.9394440967505547
CPG,0.9572829131652659,0.8966379680963192,0.9391284928944942
APH,0.957070707070707,0.8915261336657024,0.9450115365858401
AND,0.9569646040234274,0.8998200397064011,0.9365051979184744
BHH,0.9568067226890753,0.9053976869817743,0.9306028676895819
FY,0.9563492063492058,0.8955766848870211,0.9383131284202443
CGQ,0.9556701468466173,0.8929015391068599,0.9380221903275462
CIB,0.9552100840336131,0.8969112180042148,0.9320026134655045
CHM,0.9542908072319836,0.889825460040384,0.9368886263226631
