orf,mean_accuracy,mean_precision,mean_recall,mean_fscore
CNT,95.98,90.38,94.26,92.25
CNM,95.97,90.77,93.8,92.23
BMK,95.94,91.06,93.38,92.18
ABP,95.86,90.3,93.83,92.01
CLG,95.83,90.34,93.61,91.91
ACN,95.83,90.0,94.17,92.01
ACF,95.81,90.01,93.96,91.92
Sigma,95.8,89.83,94.23,91.96
ACP,95.8,89.99,94.06,91.96
CCD,95.8,90.13,93.77,91.88
ADD,95.78,89.92,94.0,91.89
AVI,95.76,89.82,94.02,91.84
BBQ,95.75,89.85,93.94,91.83
CPG,95.73,89.66,93.91,91.72
APH,95.71,89.15,94.5,91.72
AND,95.7,89.98,93.65,91.76
BHH,95.68,90.54,93.06,91.75
FY,95.63,89.56,93.83,91.62
CGQ,95.57,89.29,93.8,91.46
CIB,95.52,89.69,93.2,91.38
CHM,95.43,88.98,93.69,91.24
