orf,mean_precision
BMK,0.910646375864577
CNM,0.9077331197683326
BHH,0.9053976869817746
CNT,0.9037823636826096
CLG,0.9034261732242956
ABP,0.9030461638683777
CCD,0.9012509047486972
ACF,0.9001286323768086
ACN,0.9000210432646694
ACP,0.8998756718091983
AND,0.899820039706401
ADD,0.8991880897908371
BBQ,0.8984852358243103
Sigma,0.8982840936643901
AVI,0.8982069045935753
CIB,0.8969112180042151
CPG,0.8966379680963191
FY,0.8955766848870217
CGQ,0.8929015391068599
APH,0.8915261336657027
CHM,0.8898254600403842
