,orf
YPR036W,99
YLL060C,99
YER153C,99
YGL184C,99
YGL220W,99
YOL037C,99
YOR394C-A,99
YEL074W,99
YFL054C,99
YDL022C-A,99
YMR315W-A,99
YER066C-A,99
YDR377W,99
YHR180W-A,99
YML057C-A,99
YGL226W,99
YBR278W,99
YAR023C,99
YNL017C,99
YML081C-A,99
YMR193C-A,99
YNR036C,99
YLR091W,99
YCR086W,99
YDL192W,99
YCL021W-A,99
YNR032W,99
YLR042C,99
YDR011W,99
YDL012C,99
YMR015C,99
YBL006C,99
YMR009W,99
YML116W-A,99
YGR133W,99
YOR327C,99
YNR037C,99
YNL278W,99
YKR042W,99
YAL056C-A,99
YIL065C,99
YOR011W-A,99
YHR217C,99
YGL149W,99
YJR113C,99
YBR137W,99
YLR162W,99
YAL031W-A,99
YNR071C,99
YLL001W,99
YNL195C,99
YLR256W,99
YNR034W-A,99
YOR153W,99
YNL337W,99
YNL003C,99
YHL004W,99
YGR270C-A,99
YML129C,99
YPR166C,99
YMR195W,99
YPR040W,99
YHR021W-A,99
YDR022C,99
YAL069W,99
YPL013C,99
YBR277C,99
YKR074W,99
YIR021W-A,99
YLR282C,99
YLR120C,99
YHL046C,99
YDR296W,99
YER177W,99
YMR194W,99
YIL023C,99
YER188C-A,99
YFL063W,99
YBL038W,99
YNL241C,99
YIL141W,99
YLL066W-B,99
YJR114W,99
YCR046C,99
YOL164W,99
YJL065C,99
YOR008W-B,99
YPL047W,99
YML001W,99
YDL041W,99
YIR035C,99
YJL166W,99
YGL255W,99
YNL281W,99
YHL034W-A,99
YMR065W,99
YIL093C,99
YLR217W,99
YJR086W,99
YHL024W,99
YDR014W-A,99
YMR247W-A,99
YFL032W,99
YMR044W,99
YAR035C-A,99
YLL023C,99
YBR175W,99
YDL042C,99
YDL107W,99
YJR144W,99
YIL111W,99
YKR012C,99
YNR032C-A,99
YPL051W,99
YCR003W,99
YJR034W,99
YPL004C,99
YER138W-A,99
YHR056W-A,99
YKR072C,99
YIL156W-B,99
YDL067C,99
YLR466C-B,99
YIL089W,99
YPL183W-A,99
YML009C,99
YHL008C,99
YIL068W-A,99
YLR023C,99
YNR064C,99
YPR096C,97
YHL045W,97
YBR296C,97
YAR030C,97
YAL068W-A,97
YIR018W,97
YPR159C-A,97
YPR093C,97
YOR085W,97
YOL001W,97
YPR067W,97
YKL087C,97
YIL055C,97
YOR002W,97
YOL166W-A,97
YCR008W,97
YPR138C,97
YOL038C-A,97
YJR151W-A,97
YDR488C,97
YOL111C,97
YMR324C,97
YHL007C,97
YGL121C,97
YBR162W-A,97
YNL092W,97
YHR180C-B,97
YFR032C-B,97
YPL157W,97
YDR007W,96
YMR135C,96
YHL021C,96
YNL328C,96
YGR161W-C,96
YOR031W,96
YOR138C,96
YOL020W,96
YDR481C,96
YFL052W,96
YFL030W,96
YGL162W,96
YHR176W,96
YDL119C,96
YDR112W,96
YGR040W,96
YDR033W,96
YJR120W,96
YGR015C,96
YDR277C,96
YER005W,95
YOL159C-A,95
YHR002W,95
YPR170W-A,95
YLR299C-A,95
YPR087W,95
YKR045C,95
YER034W,95
YOL106W,95
YAL016C-B,95
YDR511W,94
YAL055W,94
YDR405W,94
YOL159C,94
YIR016W,94
YOR142W,93
YDR524W-C,93
