,orf
YLR256W,99
YGL162W,99
YPR166C,99
YHL004W,99
YNL003C,99
YOR153W,99
YIL047C-A,99
YNL195C,99
YOR200W,99
YLL001W,99
YLR254C,99
YGR291C,99
YFL052W,99
YJR113C,99
YKR042W,99
YLL020C,99
YKR072C,99
YLL038C,99
YBR162W-A,99
YNR037C,99
YPL013C,99
YCR008W,99
YAL037C-A,99
YCL001W-B,99
YDL022C-A,99
YDL135C,99
YBR174C,99
YMR326C,99
YOR142W,99
YDR043C,99
YDR118W-A,99
YGR015C,99
YOR298W,99
YPR036W,99
YDR524W-C,99
YOL020W,99
YDR156W,99
YBR137W,99
YHR180W-A,99
YBR175W,99
YPL051W,99
YLR023C,99
YHL008C,99
YDL067C,99
YNL031C,99
YLR120C,99
YLR406C-A,99
YBR106W,99
YPR087W,99
YER137C,99
YDR296W,99
YBR201C-A,99
YOL001W,99
YOL159C-A,99
YJR086W,99
YBR066C,99
YLL023C,99
YOR327C,99
YDR011W,99
YBR005W,99
YCR001W,99
YHR021W-A,99
YHR176W,99
YOR085W,99
YBR035C,99
YOL037C,99
YOR394C-A,99
YAR030C,99
YPR158W,99
YOR225W,99
YNL097C-B,99
YLR091W,99
YOR293C-A,99
YDR481C,99
YDR377W,99
YPR067W,99
YPL183W-A,99
YLR085C,99
YHL046C,99
YKL127W,99
YCR024C-A,99
YOL164W,99
YCR046C,99
YOL061W,99
YDL107W,99
YDL024C,99
YDL002C,99
YIL111W,99
YIL141W,99
YBL038W,99
YCR003W,99
YML001W,99
YER188C-A,99
YMR194W,99
YML002W,99
YER177W,99
YOR121C,99
YER138W-A,99
YDR517W,99
YLR466C-B,99
YDR014W-A,99
YNR004W,99
YIL164C,99
YML009C,99
YNL328C,99
YPL047W,99
YHR180C-B,99
YDL192W,99
YMR316C-A,99
YLL060C,99
YPL080C,99
YNL017C,99
YIL093C,99
YML081C-A,99
YOR082C,99
YMR193C-A,99
YHL034W-A,99
YNR036C,99
YJL166W,99
YCR086W,99
YDL119C,99
YBL006C,99
YLR294C,99
YPL157W,99
YGR133W,99
YPR160W-A,99
YGL255W,99
YIL156W-B,99
YKR074W,99
YDL012C,99
YLR042C,99
YMR065W,97
YOL038C-A,97
YNL281W,97
YBR296C,97
YPR078C,97
YOR374W,97
YJL065C,97
YGL235W,97
YEL050W-A,97
YDL042C,97
YKL225W,97
YMR044W,97
YIL068W-A,97
YOR002W,97
YFL054C,97
YDR278C,97
YER187W,97
YER137W-A,97
YNR034W-A,97
YLR202C,97
YMR244C-A,97
YPR138C,97
YJR151W-A,97
YJR144W,97
YGL149W,97
YAL031W-A,97
YPR096C,97
YOL111C,97
YKL087C,97
YDR488C,97
YKR049C,97
YNR071C,97
YPR006C,96
YBR261C,96
YPR170W-B,96
YGR079W,96
YDR077W,96
YPR093C,96
YHR034C,96
YMR319C,96
YMR145C,96
YBL029W,96
YML057C-A,96
YGR241C,96
YIR013C,96
YOR138C,96
YOR298C-A,95
YIL123W,95
YBL003C,95
YGL166W,95
YMR009W,95
YLR178C,95
YGL161C,95
YPL038W,95
YNL067W-B,95
YIL065C,95
YML051W,95
YOR226C,94
YDR231C,93
YJR096W,93
YNR008W,93
YJR034W,93
YML005W,93
