{'n_tree': 19, 'n_feature': 7, 'n_max_depth': 3, 'n_bootstrap': 2846}
{'n_tree': 24, 'n_feature': 7, 'n_max_depth': 6, 'n_bootstrap': 2617}
{'n_tree': 28, 'n_feature': 4, 'n_max_depth': 5, 'n_bootstrap': 2503}
{'n_tree': 25, 'n_feature': 6, 'n_max_depth': 16, 'n_bootstrap': 2356}
{'n_tree': 3, 'n_feature': 4, 'n_max_depth': 11, 'n_bootstrap': 2847}
{'n_tree': 21, 'n_feature': 5, 'n_max_depth': 10, 'n_bootstrap': 1371}
{'n_tree': 6, 'n_feature': 7, 'n_max_depth': 13, 'n_bootstrap': 1560}
{'n_tree': 26, 'n_feature': 6, 'n_max_depth': 5, 'n_bootstrap': 1135}
{'n_tree': 25, 'n_feature': 7, 'n_max_depth': 10, 'n_bootstrap': 2647}
{'n_tree': 9, 'n_feature': 4, 'n_max_depth': 19, 'n_bootstrap': 2457}
{'n_tree': 15, 'n_feature': 6, 'n_max_depth': 4, 'n_bootstrap': 2009}
{'n_tree': 29, 'n_feature': 7, 'n_max_depth': 19, 'n_bootstrap': 1134}
{'n_tree': 23, 'n_feature': 7, 'n_max_depth': 6, 'n_bootstrap': 2503}
{'n_tree': 11, 'n_feature': 4, 'n_max_depth': 18, 'n_bootstrap': 2056}
{'n_tree': 22, 'n_feature': 7, 'n_max_depth': 7, 'n_bootstrap': 1568}
{'n_tree': 8, 'n_feature': 5, 'n_max_depth': 8, 'n_bootstrap': 2495}
{'n_tree': 22, 'n_feature': 4, 'n_max_depth': 5, 'n_bootstrap': 2750}
{'n_tree': 19, 'n_feature': 7, 'n_max_depth': 18, 'n_bootstrap': 2303}
{'n_tree': 3, 'n_feature': 4, 'n_max_depth': 14, 'n_bootstrap': 2391}
{'n_tree': 8, 'n_feature': 7, 'n_max_depth': 9, 'n_bootstrap': 2153}
{'n_tree': 16, 'n_feature': 6, 'n_max_depth': 7, 'n_bootstrap': 2588}
{'n_tree': 14, 'n_feature': 4, 'n_max_depth': 9, 'n_bootstrap': 1268}
