hits_count,reads_count,hits_count_pro,ratio_hits_prom,insertion_index,NI,NI_ratio,HFI,HFI_ratio,orf,label
0.12,0.04,10,1.4285714285714286,0.025,1.1,1.2928082191780823,0.2611464968152866,0.8414634146341464,YAL069W,non_ess
0.12,0.04,8,1.6,0.01968503937007874,1.0115996406489458,0.303987366758784,0.5748031496062992,1.0136986301369864,YAL068W-A,non_ess
0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.6823204419889503,YAL068C,non_ess
0.12,0.04,1,0.14285714285714285,0.025,1.1,2.0,0.4361233480176212,2.292929292929293,YAL067W-A,non_ess
0.12,0.04,8,1.1428571428571428,0.008983717012914094,0.8485581422133921,1.4358974358974361,0.23750701852891634,1.9078014184397163,YAL067C,non_ess
0.12,0.04,0,0.0,0.006493506493506494,0.6628753412192903,2.0,0.7824675324675324,1.153526970954357,YAL066W,non_ess
0.12,0.04,1,1.0,0.007772020725388602,1.1,0.7049399198931908,0.4481865284974093,0.9884393063583816,YAL065C,non_ess
0.12,0.04,1,1.0,0.007894736842105262,1.1,2.0,0.75,0.9719298245614036,YAL064W-B,non_ess
0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.55,YAL064C-A,non_ess
0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,YAL064W,non_ess
0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,YAL063C-A,non_ess
0.12,0.04,1,1.0,0.002520161290322581,0.20074053970223324,0.9721048182586643,0.8092237903225806,0.426658361881034,YAL063C,non_ess
0.12,0.04,16,1.4545454545454546,0.025,1.1,1.28679308608827,0.12964311726147126,0.6797752808988764,YAL062W,non_ess
0.12,0.04,0,0.0,0.025,1.1,1.2728598387373475,0.09098164405426976,1.4035087719298245,YAL061W,non_ess
0.12,0.04,0,0.0,0.025,0.9617707669572526,0.9238707494501776,0.11062717770034844,1.1417322834645671,YAL060W,non_ess
0.12,0.04,4,4.0,0.0047393364928909965,0.1216921459789404,0.4941634241245136,0.7796208530805687,0.8571428571428572,YAL059C-A,non_ess
0.12,0.04,3,0.6,0.014106583072100312,0.362215337326031,2.0,0.774294670846395,1.2914979757085019,YAL059W,non_ess
0.12,0.04,1,2.0,0.009946949602122016,0.2500482276344345,0.4836363636363637,0.16644562334217505,0.7569721115537851,YAL058W,non_ess
0.12,0.04,13,1.0833333333333333,0.014285714285714284,0.3385331143951833,0.8205619412515963,1.0,0.9685714285714284,YAL056C-A,non_ess
0.12,0.04,2,0.25,0.010976532929598793,0.26171320249497937,0.5045672031317965,0.2149886449659349,0.4330985915492958,YAL056W,non_ess
0.12,0.04,4,4.0,0.007380073800738006,0.16749964968004108,0.2721518987341772,0.4686346863468634,0.531496062992126,YAL055W,non_ess
0.12,0.04,2,1.0,0.023353573096683792,0.543079364434684,1.2855698396648851,0.08874357776739841,1.0736842105263158,YAL054C,non_ess
0.12,0.04,0,0.0,0.01658868566567418,0.41236598934278257,1.0540540540540542,0.16035729476818375,0.986737400530504,YAL053W,non_ess
0.12,0.04,3,0.75,0.0155902004454343,0.3382299515076845,1.1395348837209305,0.10817690104995227,0.7705882352941177,YAL051W,non_ess
0.12,0.04,1,0.25,0.010810810810810813,0.2449882953819961,0.4234470691163605,0.20675675675675675,0.6666666666666667,YAL049C,non_ess
0.12,0.04,2,0.6666666666666666,0.007042253521126761,0.14423578508085552,0.360233918128655,0.2761569416498994,0.4899817850637523,YAL048C,non_ess
0.12,0.04,1,0.3333333333333333,0.0060790273556231,0.12180737649140315,0.24440298507462685,0.8267477203647416,0.8602941176470589,YAL047W-A,non_ess
0.12,0.04,1,0.3333333333333333,0.004282655246252678,0.08792377448514724,0.40536912751677856,0.5058886509635975,0.5862433862433862,YAL047C,non_ess
0.12,0.04,3,0.6,0.005617977528089888,0.1362047440699126,0.3777777777777777,0.452247191011236,0.9875776397515528,YAL046C,non_ess
0.12,0.04,4,1.0,0.016233766233766232,0.44336219336219335,1.1444444444444446,0.461038961038961,0.6197183098591549,YAL045C,non_ess
0.12,0.04,4,1.0,0.021084337349397592,0.588487282463186,1.0305555555555552,0.9367469879518072,0.9807073954983924,YAL044W-A,non_ess
0.12,0.04,7,0.7777777777777778,0.0234375,0.572021484375,0.8437499999999999,0.22265625,0.8421052631578947,YAL044C,non_ess
0.12,0.04,0,0.0,0.0042426813746287645,0.08618650526956045,0.2579322253399525,1.0,0.14722104369961814,YAL043C,ess
0.12,0.04,0,0.0,0.025,0.5935878214738786,0.8571428571428573,0.35543766578249336,1.1194029850746268,YAL042C-A,non_ess
0.12,0.04,7,0.7777777777777778,0.025,0.6683867368641261,1.0360248447204972,0.35445068163592625,0.8190045248868778,YAL042W,non_ess
0.12,0.04,0,0.0,0.003510140405616225,0.08880655226209049,0.42730434782608695,0.4122464898595944,0.8164616840113529,YAL041W,ess
0.12,0.04,0,1.0,0.006888633754305396,0.17792187954253166,0.8851931330472105,0.3140068886337543,0.7586837294332724,YAL040C,non_ess
0.12,0.04,6,0.75,0.016069221260815822,0.4221260815822002,0.2704741379310345,0.2088998763906057,0.3550295857988165,YAL039C,non_ess
0.12,0.04,0,1.0,0.0039946737683089215,0.11050155348424323,0.2533333333333333,0.5279627163781625,0.3001261034047919,YAL038W,ess
0.12,0.04,0,0.0,0.001026694045174538,0.028455395847592976,0.06567901234567902,1.0,1.0,YAL037C-B,non_ess
0.12,0.04,1,2.0,0.010869565217391304,0.3102484472049689,0.6,1.0,0.5869565217391305,YAL037C-A,non_ess
0.12,0.04,0,1.0,0.0136986301369863,0.399909537348152,0.8959119496855348,0.3013698630136986,1.7024793388429755,YAL037W,non_ess
0.12,0.04,2,4.0,0.016230838593327322,0.4738333021419943,1.1573982125124131,0.22633002705139765,1.3505976095617531,YAL036C,non_ess
0.12,0.04,0,0.0,0.00805523590333717,0.2486209584617098,0.7858064516129032,0.5615650172612198,0.639344262295082,YAL034W-A,ess
0.12,0.04,2,0.3333333333333333,0.015310233682514104,0.716745754618438,1.4074074074074074,0.22481869460112813,1.2652329749103943,YAL034C,non_ess
0.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,1.0,0.3320537428023033,YAL033W,ess
0.12,0.04,0,0.0,0.010535557506584723,0.520645237377642,0.7164179104477609,1.0,0.15364354697102722,YAL032C,ess
0.12,0.04,2,0.6666666666666666,0.003246753246753247,0.1373517786561265,1.0724637681159421,0.9058441558441559,0.5878136200716845,YAL031W-A,non_ess
0.12,0.04,4,4.0,0.009202453987730062,0.3893038143504935,1.0237154150197632,0.15425065731814194,1.1732954545454546,YAL031C,non_ess
0.12,0.04,6,2.0,0.012875536480686695,0.4954015941140405,0.7301587301587301,0.3562231759656652,1.283132530120482,YAL030W,non_ess
0.12,0.04,1,2.0,0.008607021517553794,0.4087729092562168,1.7394366197183098,0.09762174405436014,1.94431554524362,YAL029C,non_ess
0.12,0.04,1,1.0,0.013871374527112231,0.7521367521367522,1.8944444444444448,1.0,0.21752837326607816,YAL028W,non_ess
0.12,0.04,0,0.0,0.021656050955414008,1.1,2.0,0.19363057324840768,1.3157894736842104,YAL027W,non_ess
0.12,0.04,0,1.0,0.013729977116704805,0.7156331975219066,1.9390243902439024,1.0,1.0,YAL026C-A,non_ess
0.12,0.04,0,1.0,0.0027046963363658717,0.11062208015736416,0.553416149068323,0.29481190066388,0.5471226021684736,YAL026C,non_ess
0.12,0.04,0,1.0,0.0016252612026932901,0.08587670483908416,0.3974193548387097,0.4557696772695612,0.3138053998981151,YAL024C,non_ess
0.12,0.04,1,1.0,0.0065818341377797285,0.3209541665004587,0.6686217008797654,0.6941641070645019,0.2199747155499368,YAL023C,non_ess
0.12,0.04,1,2.0,0.01159047005795235,0.5933969443306211,1.0661157024793388,0.16934964584674822,0.9049429657794676,YAL022C,non_ess
0.12,0.04,2,0.5,0.005968961400716275,0.2618078300529554,0.4615384615384615,0.29009152407481104,0.4993141289437586,YAL021C,non_ess
0.12,0.04,1,0.16666666666666666,0.012987012987012988,0.5374947633012149,0.6671554252199413,0.17682317682317686,0.8305084745762711,YAL020C,non_ess
0.12,0.04,1,0.3333333333333333,0.012302284710017573,0.5201559753954306,0.6225961538461539,0.8980667838312829,0.7690802348336595,YAL019W-A,non_ess
0.12,0.04,0,0.0,0.009425625920471279,0.3639270891111834,1.5238095238095235,0.1923416789396171,0.788667687595712,YAL019W,non_ess
0.12,0.04,0,1.0,0.008188331627430911,0.2950948744193371,2.0,0.4984646878198567,1.8583162217659133,YAL018C,non_ess
