hits_count,reads_count,hits_count_pro,ratio_hits_prom,insertion_index,NI,NI_ratio,HFI,HFI_ratio,orf,label
0.12,0.04,21,2.625,0.025,1.1,0.4738881140554782,0.1942675159235669,0.5737704918032787,YAL069W,non_ess
0.12,0.04,12,0.9230769230769232,0.025,1.1,1.731707317073171,0.5039370078740157,1.2265625,YAL068W-A,non_ess
0.12,0.04,1,2.0,0.0027624309392265192,0.0898844418202522,0.2958015267175572,0.6795580110497238,0.6910569105691057,YAL068C,non_ess
0.12,0.04,7,0.875,0.025,1.1,1.0717557251908396,1.0,0.5550660792951542,YAL067W-A,non_ess
0.12,0.04,8,2.0,0.025,1.1,1.509025270758123,0.08422234699606962,2.02,YAL067C,non_ess
0.12,0.04,5,4.0,0.025,1.1,2.0,0.3961038961038961,1.7049180327868851,YAL066W,non_ess
0.12,0.04,0,0.0,0.015544041450777204,1.0586858022416372,0.4443514644351465,0.810880829015544,0.5559105431309904,YAL065C,non_ess
0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,YAL064W-B,non_ess
0.0,0.0,1,0.25,0.0,0.0,0.0,1.0,0.4578947368421053,YAL064C-A,non_ess
0.12,0.04,2,2.0,0.0035211267605633804,0.2411550643574365,0.482310128714873,0.6232394366197183,1.6045197740112995,YAL064W,non_ess
0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.7689655172413793,YAL063C-A,non_ess
0.12,0.04,0,0.0,0.006048387096774193,0.27486980483365353,0.9899356541824782,0.5375504032258065,0.6422878574777309,YAL063C,non_ess
0.12,0.04,33,1.9411764705882355,0.025,1.1,0.8090651558073653,0.04661325564457393,1.4218749999999998,YAL062W,non_ess
0.12,0.04,3,1.5,0.025,0.9645564526157054,0.6788075003372456,0.10694333599361533,1.08955223880597,YAL061W,non_ess
0.12,0.04,4,4.0,0.025,0.4469487737148276,0.4714856854004872,0.13937282229965156,0.79375,YAL060W,non_ess
0.12,0.04,1,0.5,0.007109004739336493,0.10132251031291904,0.2638074668312249,0.7582938388625592,0.5281250000000001,YAL059C-A,non_ess
0.12,0.04,7,1.0,0.007836990595611285,0.1116982741694144,0.3847192224622029,0.8526645768025078,0.9099264705882352,YAL059W,non_ess
0.12,0.04,2,0.3333333333333333,0.025,0.5249819639495967,0.7860197062651051,0.08687002652519894,1.7251908396946565,YAL058W,non_ess
0.12,0.04,30,3.75,0.025,0.4171367259350092,0.7606103958035288,0.8857142857142857,1.1290322580645162,YAL056C-A,non_ess
0.12,0.04,9,1.125,0.025,0.37808728460353946,0.9556264236902048,0.0984102952308857,0.946153846153846,YAL056W,non_ess
0.12,0.04,4,2.0,0.025,0.35820386866289045,0.6598328025477707,0.3284132841328413,0.9269662921348314,YAL055W,non_ess
0.12,0.04,11,2.75,0.025,0.3248388025039657,0.7211801129120378,0.09061186361513313,1.5412371134020617,YAL054C,non_ess
0.12,0.04,0,0.0,0.02126754572522331,0.2643371726556299,0.5192777626934564,0.11782220331773713,1.2851985559566788,YAL053W,non_ess
0.12,0.04,5,2.5,0.022589882278078267,0.2588106737402301,0.873729266987694,0.08876869233216672,1.1326164874551972,YAL051W,non_ess
