forest,accuracy,total_tree
forest_8_8_7_1489_88.0,0.8774805867126834,8
forest_6_10_14_1487_87.0,0.8740293356341674,14
forest_22_8_10_1744_90.0,0.8981880931837791,36
forest_5_7_6_1949_91.0,0.9119930974978432,41
forest_14_5_7_1549_92.0,0.9223468507333908,55
forest_15_6_11_2760_90.0,0.8964624676445211,70
forest_4_5_14_1490_91.0,0.91458153580673,74
forest_17_10_9_1478_92.0,0.9154443485763588,91
forest_26_10_17_2754_91.0,0.9050905953408108,117
forest_9_7_18_1474_92.0,0.9188955996548748,126
forest_14_4_17_1133_93.0,0.9283865401207938,140
forest_9_4_4_2408_91.0,0.911130284728214,149
forest_18_6_12_2246_92.0,0.9188955996548748,167
forest_25_8_19_1120_92.0,0.9206212251941328,192
forest_22_7_18_2266_92.0,0.9171699741156172,214
forest_8_4_10_1395_91.0,0.907679033649698,222
forest_9_9_15_1670_92.0,0.9188955996548748,231
forest_4_8_17_2334_90.0,0.903364969801553,235
forest_7_10_15_2351_90.0,0.903364969801553,242
forest_3_6_8_1688_92.0,0.9214840379637621,245
forest_7_8_15_1212_92.0,0.918032786885246,252
forest_6_6_6_1128_92.0,0.9163071613459879,258
forest_23_8_19_1593_92.0,0.9214840379637621,281
forest_22_4_4_2600_91.0,0.9137187230371008,303
forest_21_6_9_2059_91.0,0.90595340811044,324
forest_11_8_13_1002_91.0,0.9068162208800692,335
forest_6_9_5_1824_90.0,0.8999137187230369,341
forest_13_10_18_1715_91.0,0.9119930974978432,354
forest_16_4_15_2476_93.0,0.9292493528904228,370
forest_7_6_4_1369_92.0,0.9214840379637621,377
forest_3_9_5_2117_90.0,0.904227782571182,380
forest_13_6_8_1150_91.0,0.911130284728214,393
forest_19_9_18_2069_91.0,0.909404659188956,412
forest_21_9_14_2403_90.0,0.8973252804141502,433
forest_9_6_3_2341_91.0,0.9050905953408108,442
forest_19_5_13_1497_93.0,0.9292493528904228,461
forest_27_4_10_1901_91.0,0.90595340811044,488
forest_17_6_10_1871_91.0,0.908541846419327,505
forest_20_8_6_1756_90.0,0.9016393442622952,525
forest_24_5_3_1639_90.0,0.8999137187230369,549
forest_26_7_7_1921_92.0,0.9240724762726488,575
forest_9_9_12_2327_89.0,0.8921484037963762,584
forest_7_6_6_2287_90.0,0.9025021570319242,591
forest_6_4_13_1315_91.0,0.9102674719585848,597
forest_14_9_5_2266_90.0,0.9025021570319242,611
forest_24_5_15_1122_91.0,0.908541846419327,635
forest_20_5_5_1056_91.0,0.91458153580673,655
forest_15_8_5_1461_89.0,0.8947368421052632,670
forest_3_4_14_2690_91.0,0.9050905953408108,673
forest_21_10_19_1976_91.0,0.9050905953408108,694
forest_3_4_14_2322_92.0,0.9163071613459879,697
forest_26_9_5_1136_90.0,0.8990509059534081,723
forest_12_7_19_1266_91.0,0.911130284728214,735
forest_29_7_18_2759_89.0,0.8938740293356342,764
forest_19_4_11_1772_91.0,0.9102674719585848,783
forest_24_4_12_2273_92.0,0.9154443485763588,807
forest_16_8_16_1782_91.0,0.907679033649698,823
forest_3_9_11_2332_92.0,0.9163071613459879,826
forest_9_6_5_1872_92.0,0.9154443485763588,835
forest_22_8_6_1893_90.0,0.903364969801553,857
forest_20_4_13_2574_90.0,0.903364969801553,877
forest_16_10_18_2289_90.0,0.8999137187230369,893
forest_27_4_15_2532_92.0,0.9197584124245038,920
forest_25_6_5_1162_92.0,0.9249352890422778,945
forest_19_9_9_2207_91.0,0.911130284728214,964
forest_16_7_13_1727_91.0,0.9068162208800692,980
forest_25_9_11_1386_91.0,0.9119930974978432,1005
forest_7_10_8_1110_91.0,0.9128559102674721,1012
forest_23_6_7_2223_91.0,0.9119930974978432,1035
forest_5_7_18_1602_92.0,0.9214840379637621,1040
forest_10_4_8_1513_90.0,0.9025021570319242,1050
forest_8_10_19_2604_90.0,0.8964624676445211,1058
forest_25_6_8_2759_90.0,0.903364969801553,1083
forest_13_7_10_1729_91.0,0.9050905953408108,1096
forest_7_5_7_2488_91.0,0.91458153580673,1103
forest_13_10_3_1135_90.0,0.8999137187230369,1116
forest_19_5_13_1609_91.0,0.907679033649698,1135
forest_25_10_12_1414_90.0,0.904227782571182,1160
forest_16_6_3_1109_92.0,0.9163071613459879,1176
forest_8_8_18_1015_90.0,0.904227782571182,1184
forest_21_7_8_2703_92.0,0.9232096635030198,1205
forest_17_7_4_1398_90.0,0.8999137187230369,1222
forest_28_9_17_1093_90.0,0.903364969801553,1250
forest_23_5_16_2794_91.0,0.909404659188956,1273
forest_15_5_10_1114_92.0,0.918032786885246,1288
forest_22_5_9_1140_92.0,0.9154443485763588,1310
forest_9_4_5_2158_91.0,0.911130284728214,1319
forest_24_7_10_2216_91.0,0.909404659188956,1343
forest_3_8_18_1067_91.0,0.9068162208800692,1346
forest_23_9_17_2219_92.0,0.9197584124245038,1369
forest_21_5_14_2622_90.0,0.903364969801553,1390
forest_28_4_18_1606_91.0,0.9137187230371008,1418
forest_15_4_16_2736_90.0,0.903364969801553,1433
forest_5_8_17_1479_91.0,0.911130284728214,1438
forest_25_4_17_1034_92.0,0.9171699741156172,1463
forest_26_5_10_1020_91.0,0.9068162208800692,1489
forest_13_7_14_2653_91.0,0.9128559102674721,1502
forest_18_4_10_2106_92.0,0.9240724762726488,1520
forest_17_5_7_1870_89.0,0.8921484037963762,1537
forest_15_7_11_1988_91.0,0.9137187230371008,1552
