forest,accuracy,total_tree
forest_11_9_13_1485_88.0,0.8751814223512336,11
forest_15_7_4_1065_90.0,0.9013062409288825,26
forest_17_5_13_1389_92.0,0.9245283018867925,43
forest_16_6_16_1163_90.0,0.9042089985486212,59
forest_14_10_11_1497_92.0,0.9158200290275762,73
forest_22_7_10_1132_91.0,0.9143686502177069,95
forest_11_8_16_1632_92.0,0.9216255442670537,106
forest_17_7_18_1434_93.0,0.93033381712627,123
forest_20_5_18_1352_94.0,0.9404934687953556,143
forest_21_4_3_1327_92.0,0.9201741654571843,164
forest_18_10_9_1662_93.0,0.9274310595065312,182
forest_19_9_8_1641_94.0,0.9375907111756169,201
forest_21_8_15_1885_92.0,0.9245283018867925,222
forest_15_4_12_1225_92.0,0.9245283018867925,237
forest_29_6_10_1641_92.0,0.9201741654571843,266
forest_20_5_16_1632_94.0,0.9361393323657474,286
forest_10_8_19_1365_93.0,0.9274310595065312,296
forest_16_7_6_1537_94.0,0.9361393323657474,312
forest_11_10_6_1066_94.0,0.9361393323657474,323
forest_18_5_15_1625_92.0,0.9216255442670537,341
forest_12_7_10_1189_92.0,0.9245283018867925,353
forest_22_7_8_1660_94.0,0.9390420899854862,375
forest_13_9_15_1170_93.0,0.9346879535558781,388
forest_10_8_6_1677_93.0,0.93033381712627,398
forest_28_6_3_1289_93.0,0.9274310595065312,426
forest_28_6_11_1177_92.0,0.9201741654571843,454
forest_13_7_6_1335_91.0,0.9143686502177069,467
forest_15_8_9_1147_91.0,0.9114658925979681,482
forest_11_7_16_1036_94.0,0.9448476052249637,493
forest_26_7_15_1130_93.0,0.9317851959361393,519
