forest,accuracy,total_tree
forest_10_9_9_1569_89.0,0.8911465892597968,10
forest_11_9_6_1121_93.0,0.9274310595065312,21
forest_25_4_13_1777_91.0,0.9085631349782293,46
forest_19_10_3_1254_93.0,0.9332365747460087,65
forest_13_4_17_1813_92.0,0.9245283018867925,78
forest_11_8_15_1361_94.0,0.9390420899854862,89
forest_23_7_8_1842_93.0,0.9346879535558781,112
forest_15_5_15_1901_94.0,0.9361393323657474,127
forest_21_10_4_1692_93.0,0.9332365747460087,148
forest_28_8_17_1816_93.0,0.9317851959361393,176
forest_26_4_6_1192_94.0,0.941944847605225,202
forest_17_9_19_1393_93.0,0.9288824383164006,219
forest_16_4_7_1143_92.0,0.9230769230769231,235
forest_13_5_8_1965_92.0,0.9172714078374455,248
forest_19_7_11_1613_93.0,0.9274310595065312,267
forest_19_6_14_1061_93.0,0.9332365747460087,286
forest_28_10_17_1147_94.0,0.9433962264150944,314
forest_22_6_6_1095_93.0,0.9346879535558781,336
forest_23_5_9_1758_93.0,0.9274310595065312,359
forest_10_10_14_1932_92.0,0.9245283018867925,369
forest_17_9_3_1520_93.0,0.9346879535558781,386
forest_26_9_11_1588_95.0,0.9506531204644412,412
forest_10_4_9_1098_93.0,0.93033381712627,422
forest_10_6_3_1461_94.0,0.9433962264150944,432
forest_18_5_19_1252_93.0,0.9288824383164006,450
forest_28_10_14_1290_95.0,0.9477503628447025,478
forest_22_8_6_1779_94.0,0.9404934687953556,500
forest_12_5_18_1082_93.0,0.93033381712627,512
forest_14_7_4_1895_93.0,0.9317851959361393,526
forest_28_5_13_1971_93.0,0.9346879535558781,554
