forest,accuracy,precision,recall,fscore,total_tree
forest_25_10_6_1289_90.0,0.9006882989183874,0.8062388358106225,0.7873817762399078,0.796319687490705,25
forest_18_10_19_1452_91.0,0.9085545722713865,0.7981516564655591,0.8112396680245432,0.804473616207556,43
forest_10_10_16_1350_91.0,0.9124877089478859,0.8240241397021058,0.8028636123601798,0.8128833531448654,53
forest_25_5_7_1218_90.0,0.8987217305801377,0.7778163212210563,0.7724713367128228,0.7751028934695656,78
forest_20_5_7_1048_91.0,0.9075712881022615,0.813601743835404,0.7912299371109439,0.8017626078301261,98
forest_26_7_16_1103_92.0,0.9164208456243854,0.8343961530460386,0.8249580132491525,0.8295686427595508,124
forest_27_10_10_1063_90.0,0.9016715830875123,0.7905643738977073,0.7722549576016559,0.7809436010545724,151
forest_19_10_7_1487_91.0,0.911504424778761,0.8276871520542406,0.8205392455126255,0.8240484429065744,170
forest_25_5_6_1366_91.0,0.9085545722713865,0.8184318038969202,0.7901632302405499,0.8032648782222889,195
forest_12_10_10_1326_91.0,0.911504424778761,0.8250118532340212,0.8250118532340212,0.8250118532340212,207
forest_23_10_18_1122_90.0,0.9036381514257621,0.7934463241889091,0.8109749102767899,0.8017969644902634,230
forest_10_6_12_1389_92.0,0.9174041297935103,0.844062550904056,0.8212960146029815,0.832054165421575,240
forest_15_10_8_1497_92.0,0.9213372664700098,0.8389527621856706,0.8502589182968929,0.844454980652463,255
forest_28_7_6_1148_92.0,0.9233038348082596,0.8378631515046396,0.8251569072577953,0.8313246351172048,283
forest_28_9_6_1366_90.0,0.9036381514257621,0.804479368364826,0.7901990263459335,0.7970638540478905,311
forest_16_6_15_1361_92.0,0.9193706981317601,0.8322135607932163,0.8241936797524027,0.8281273185932632,327
forest_29_4_6_1341_93.0,0.9252704031465093,0.8430215851659032,0.8345946480684572,0.8387277158309407,356
forest_21_5_19_1308_92.0,0.9213372664700098,0.8575572343947166,0.8265998054037871,0.8409570724841662,377
forest_19_5_8_1492_92.0,0.9242871189773845,0.8163976430526807,0.8447509139520926,0.8296612105062808,396
forest_29_8_5_1023_92.0,0.9193706981317601,0.8244147157190636,0.8363138686131386,0.8301962860400717,425
forest_19_4_11_1317_91.0,0.911504424778761,0.8164751345131092,0.8237757731958762,0.8200580343802588,444
forest_27_9_5_1366_92.0,0.9154375614552606,0.824086482623068,0.8423084786814086,0.8327891042013977,471
forest_26_9_5_1299_91.0,0.9105211406096362,0.8111965433946857,0.8016273433249246,0.8062950396945829,497
forest_16_10_8_1445_92.0,0.9242871189773845,0.8489385990478966,0.8389231398329742,0.8438158794867856,513
forest_26_7_7_1319_91.0,0.9056047197640118,0.7883004313205043,0.7994632364344425,0.7937154544378898,539
forest_28_8_15_1017_92.0,0.9203539823008849,0.8429626532887402,0.8024901263499451,0.8208124422208929,567
forest_15_10_5_1101_92.0,0.9203539823008849,0.8211997768800392,0.8274430065652301,0.8242755207611164,582
forest_15_9_18_1374_91.0,0.9134709931170109,0.8130941704035874,0.796924437791311,0.8046825895663106,597
forest_26_9_16_1142_92.0,0.9193706981317601,0.8292555331991951,0.8331975891839062,0.8312081025939959,623
forest_24_8_10_1293_91.0,0.9105211406096362,0.8333786063534727,0.8350311058749156,0.8342013189081117,647
