forest,accuracy,total_tree
forest_18_7_18_1730_89.0,0.8908839779005525,18
forest_19_5_10_1789_92.0,0.9240331491712708,37
forest_21_10_15_1418_92.0,0.9212707182320442,58
forest_14_9_16_1982_95.0,0.9488950276243094,72
forest_27_8_8_1768_93.0,0.9295580110497238,99
forest_18_5_14_1137_94.0,0.9447513812154696,117
forest_20_10_13_1486_94.0,0.93646408839779,137
forest_14_5_8_1697_93.0,0.9323204419889503,151
forest_16_5_15_1773_95.0,0.9475138121546961,167
forest_23_9_4_1607_93.0,0.9323204419889503,190
forest_19_9_9_1338_93.0,0.9267955801104972,209
forest_25_9_14_1303_94.0,0.9378453038674033,234
forest_18_9_17_1044_93.0,0.925414364640884,252
forest_13_7_5_1291_95.0,0.9461325966850829,265
forest_27_5_13_1347_93.0,0.9337016574585635,292
forest_10_4_17_1154_94.0,0.93646408839779,302
forest_11_6_15_1367_93.0,0.9295580110497238,313
forest_15_4_17_1025_94.0,0.9406077348066298,328
forest_25_10_4_1544_93.0,0.925414364640884,353
forest_14_10_10_1866_94.0,0.93646408839779,367
forest_22_10_17_1640_93.0,0.925414364640884,389
forest_11_5_10_1065_93.0,0.9267955801104972,400
forest_10_9_11_1198_94.0,0.9392265193370166,410
forest_17_6_6_1524_93.0,0.9281767955801105,427
forest_10_4_8_1321_94.0,0.9392265193370166,437
forest_23_9_10_1101_94.0,0.9419889502762431,460
forest_18_4_16_1766_94.0,0.9447513812154696,478
forest_17_10_9_1004_92.0,0.9240331491712708,495
forest_16_9_9_1838_93.0,0.9267955801104972,511
forest_18_9_16_1700_94.0,0.9406077348066298,529
