tree,n_features,n_data,n_depth,acc
7,7,1672,6,0.8893360160965795
14,6,1066,9,0.8712273641851107
15,5,1358,4,0.8611670020120724
12,6,1065,12,0.8390342052313883
14,5,1329,13,0.8712273641851107
15,5,1363,6,0.869215291750503
18,5,1552,6,0.8571428571428571
15,4,1396,8,0.8672032193158954
25,5,1345,11,0.8752515090543259
24,6,1358,6,0.8732394366197183
6,6,1402,6,0.8672032193158954
6,6,1262,4,0.8350100603621731
7,5,1161,4,0.8490945674044266
6,5,1251,12,0.8309859154929577
12,7,1129,13,0.8591549295774648
7,4,1759,12,0.8490945674044266
9,6,1346,5,0.8450704225352113
10,6,1555,10,0.8591549295774648
18,5,1311,13,0.8832997987927566
15,7,1275,10,0.8732394366197183
18,6,1154,10,0.8712273641851107
12,6,1585,12,0.8430583501006036
18,7,1520,9,0.8591549295774648
23,5,1323,4,0.8853118712273642
19,5,1404,13,0.8752515090543259
26,6,1300,7,0.8611670020120724
6,7,1785,11,0.8551307847082495
8,4,1430,5,0.8893360160965795
11,5,1498,7,0.8772635814889336
7,6,1725,6,0.869215291750503
12,7,1198,6,0.8591549295774648
18,6,1245,11,0.8672032193158954
16,4,1033,7,0.8551307847082495
14,7,1335,4,0.8672032193158954
21,4,1279,12,0.8511066398390342
27,5,1054,14,0.8269617706237424
14,4,1360,14,0.8712273641851107
22,6,1755,3,0.8712273641851107
11,7,1716,11,0.8631790744466801
27,5,1087,7,0.8551307847082495
26,7,1529,13,0.8450704225352113
26,4,1563,13,0.8591549295774648
5,6,1118,14,0.8551307847082495
6,5,1287,3,0.8329979879275654
6,6,1373,12,0.8350100603621731
6,4,1556,14,0.8370221327967807
7,7,1365,10,0.8651911468812877
10,5,1260,4,0.8752515090543259
11,7,1029,7,0.8651911468812877
8,4,1145,6,0.8651911468812877
10,4,1241,8,0.8470824949698189
8,4,1487,14,0.8732394366197183
11,7,1167,8,0.8752515090543259
8,7,1480,12,0.8511066398390342
8,4,1587,7,0.8591549295774648
9,5,1538,6,0.8531187122736419
7,6,1592,6,0.8410462776659959
12,4,1322,10,0.8571428571428571
18,6,1160,6,0.8651911468812877
11,5,1261,14,0.8611670020120724
20,6,1360,5,0.8752515090543259
16,5,1126,11,0.8571428571428571
15,4,1226,13,0.8511066398390342
12,6,1454,11,0.8712273641851107
19,7,1057,8,0.8430583501006036
15,6,1466,4,0.8752515090543259
25,7,1182,3,0.8591549295774648
19,5,1585,10,0.8390342052313883
20,5,1236,7,0.8611670020120724
13,5,1592,8,0.869215291750503
17,4,1346,11,0.8511066398390342
21,4,1129,11,0.869215291750503
19,4,1331,13,0.8511066398390342
15,4,1587,12,0.8410462776659959
27,5,1202,8,0.8309859154929577
26,5,1198,9,0.8591549295774648
27,4,1720,9,0.8611670020120724
25,4,1629,5,0.8712273641851107
20,6,1762,14,0.8853118712273642
28,4,1775,5,0.8631790744466801
28,4,1633,12,0.8410462776659959
27,7,1709,11,0.8672032193158954
3,6,1102,11,0.8430583501006036
4,6,1663,12,0.8470824949698189
11,6,1011,5,0.8571428571428571
11,6,1158,14,0.8611670020120724
14,4,1070,17,0.8651911468812877
7,7,1284,14,0.8672032193158954
12,7,1270,4,0.8531187122736419
17,5,1342,14,0.8571428571428571
15,5,1222,5,0.8490945674044266
24,7,1245,9,0.8732394366197183
24,5,1613,19,0.8611670020120724
28,6,1750,16,0.8551307847082495
29,7,1376,7,0.8591549295774648
24,5,1634,9,0.8591549295774648
4,4,1369,8,0.8289738430583501
4,5,1698,8,0.8470824949698189
11,4,1198,11,0.8269617706237424
8,6,1795,6,0.8651911468812877
9,5,1515,12,0.8531187122736419
10,6,1249,11,0.8732394366197183
12,7,1123,8,0.8511066398390342
11,7,1585,11,0.8752515090543259
21,5,1167,5,0.8651911468812877
25,7,1099,15,0.8329979879275654
16,7,1618,8,0.8511066398390342
21,6,1667,4,0.869215291750503
26,6,1430,7,0.8571428571428571
21,4,1162,14,0.8752515090543259
26,7,1201,19,0.8490945674044266
27,5,1635,9,0.8531187122736419
9,6,1539,17,0.8651911468812877
9,5,1061,4,0.8933601609657947
14,5,1037,5,0.8873239436619719
24,6,1497,4,0.8873239436619719
19,6,1117,5,0.8792756539235412
