,orf
YDR240C,12
YKL180W,10
YMR200W,10
YHR143W-A,10
YDL097C,10
YOR020C,9
YPR181C,9
YER112W,9
YPR082C,9
YPR133C,9
YDR041W,9
YDR016C,9
YPR103W,9
YDL148C,9
YOR262W,9
YOR257W,9
YGR048W,9
YHR040W,9
YOL021C,9
YDL139C,9
YER148W,9
YMR239C,9
YKL154W,8
YOR159C,8
YGR013W,8
YOR236W,8
YBL074C,8
YPR169W,8
YJR007W,8
YOR278W,8
YDR177W,8
YFR051C,8
YPR055W,8
YMR227C,8
YDL092W,8
YLL035W,8
YFR042W,8
YPR178W,8
YPL146C,8
YML077W,8
YBR123C,8
YNL061W,8
YKL082C,8
YPL209C,8
YPR094W,8
YNR046W,8
YBR253W,8
YBR109C,7
YGR075C,7
YER157W,7
YMR213W,7
YGL201C,7
YKL059C,7
YIL115C,7
YPL094C,7
YKR022C,7
YHR170W,7
YDL141W,7
YKL024C,7
YGL150C,7
YHL015W,7
YGR280C,7
YER009W,7
YOR362C,7
YPR161C,7
YOR098C,7
YNL245C,7
YDL087C,7
YHR172W,7
YBR060C,7
YGL093W,7
YLR147C,7
YNL162W,7
YIL051C,7
YDR196C,7
YOR056C,7
YNL113W,7
YGR030C,7
YNL221C,7
YJL072C,6
YER006W,6
YGR156W,6
YDL030W,6
YPL151C,6
YNR026C,6
YDR168W,6
YDL235C,6
YDR208W,6
YDR166C,6
YHR166C,6
YHR058C,6
YPL076W,6
YDR527W,6
YGL061C,6
YGR191W,6
YNL002C,6
YOR103C,6
YML126C,6
YBR002C,6
YDL103C,6
YOR077W,6
YBR198C,6
YOL120C,6
YHR101C,6
YLR117C,6
YOR210W,6
YNL251C,6
YML098W,6
YOL077C,6
YMR240C,6
YBR254C,6
YDR170C,6
YDR394W,6
YNL124W,6
YML025C,5
YLR007W,5
YOL034W,5
YGR179C,5
YOR353C,5
YDR301W,5
YMR185W,5
YBR252W,5
YDR013W,5
YFR002W,5
YGR074W,5
YBR256C,5
YDR397C,5
YPR182W,5
YER021W,5
YHR068W,5
YLR051C,5
YKL022C,5
YER023W,5
YGR147C,5
YNL240C,5
YER147C,5
YLR336C,5
YHR005C-A,5
YJR022W,5
YPL082C,5
YPL117C,5
YMR236W,5
YLR106C,5
YIL129C,5
YJR017C,5
YPR108W,5
YIL061C,5
YIL104C,5
YDR224C,5
YDL132W,5
YDR044W,5
YKL052C,5
YPL235W,5
YLR298C,5
YDL058W,5
YJR002W,5
YML125C,5
YLR223C,4
YDL220C,4
YDR054C,4
YLR440C,4
YPL237W,4
YLR071C,4
YGL130W,4
YKL186C,4
YGR158C,4
YDR246W,4
YNL137C,4
YJL104W,4
YFL038C,4
YNL149C,4
YOR336W,4
YNL038W,4
YOR232W,4
YPL020C,4
YPL255W,4
YOR046C,4
YER048W-A,4
YBR202W,4
YPR168W,4
YEL026W,4
YNL282W,4
YCL054W,4
YKR037C,4
YGR065C,4
YIR015W,4
YPL153C,4
YKL192C,3
YAL032C,3
YPR107C,3
YIL144W,3
YNL075W,3
YOR370C,3
YJR093C,3
YJR023C,3
YAR008W,3
YDR468C,3
YOR157C,3
YOR294W,3
YKR083C,3
YBR152W,3
YFR050C,3
YOR329C,3
YDR187C,3
YBR154C,3
YLR167W,3
YIL031W,2
YGL169W,2
YLR438C-A,2
YNL306W,2
YGL207W,2
YPL012W,2
YMR197C,2
YNL039W,2
YGL068W,2
YGL116W,2
YOL040C,2
YHR036W,2
YPL126W,2
YKL112W,2
YNL244C,2
YBR142W,2
YNL181W,2
YDR086C,2
YKR071C,2
YPR010C,2
YCL004W,2
YDR308C,2
YLR275W,1
YGL073W,1
YHR083W,1
YBR070C,1
YIR006C,1
YJL125C,1
YBR102C,1
YPL143W,1
YLR010C,1
YGL225W,1
YBR079C,1
YKL013C,1
YIL078W,1
YGL030W,1
YDL045C,1
YDR376W,1
YHR148W,1
YOL005C,1
YGL113W,1
YHR020W,1
YML130C,1
YMR134W,1
YDR412W,1
YIR010W,1
YER104W,1
YGR267C,1
YMR049C,1
YDL043C,1
