,orf
YDL191W,11
YEL036C,11
YMR307W,10
YLR383W,10
YKR092C,10
YOL086C,10
YKL134C,10
YLR363C,10
YDR161W,10
YGR033C,10
YPL234C,10
YMR026C,10
YJR132W,10
YGR104C,9
YEL051W,9
YMR021C,9
YMR300C,9
YNR005C,9
YHR027C,9
YIL127C,9
YNL220W,9
YGL100W,9
YNR051C,9
YPR024W,9
YDR195W,9
YNL248C,9
YGR110W,8
YOR359W,8
YOR198C,8
YJL136C,8
YLR185W,8
YOL142W,8
YDR245W,8
YPL042C,8
YGL038C,8
YPR018W,8
YDR432W,8
YKL113C,8
YAR015W,8
YPL024W,8
YJL140W,8
YDR027C,8
YNL032W,8
YLR452C,8
YLR448W,7
YBR279W,7
YDL020C,7
YJL176C,7
YJL080C,7
YER111C,7
YGR262C,7
YDL005C,7
YOR008C,7
YJL124C,7
YPL045W,7
YGR061C,7
YJR121W,7
YNL186W,7
YHR102W,7
YER074W,7
YNL019C,7
YLR370C,7
YLR234W,7
YGL105W,7
YMR217W,7
YKR001C,7
YGL240W,7
YBR189W,7
YEL013W,7
YPR173C,7
YLR061W,7
YER056C-A,7
YGR231C,7
YER117W,7
YKL073W,7
YMR179W,7
YLR403W,7
YNL018C,7
YIL098C,7
YLR182W,6
YDR138W,6
YLR447C,6
YLR338W,6
YER026C,6
YPL139C,6
YLR320W,6
YPL090C,6
YDR520C,6
YHR165C,6
YIL052C,6
YOR331C,6
YIL128W,6
YDL013W,6
YML073C,6
YOR293W,6
YLR324W,6
YKL025C,6
YAL010C,6
YER151C,6
YMR032W,6
YOR214C,6
YKR082W,6
YJL180C,6
YFR054C,6
YDR477W,6
YPR135W,6
YNL297C,6
YLR396C,6
YAL016W,6
YLR423C,6
YHR026W,6
YDR219C,6
YEL029C,6
YJL204C,6
YBL072C,6
YGL189C,6
YPL178W,6
YJR090C,6
YLR228C,6
YNL138W-A,6
YCR009C,6
YMR312W,5
YPL254W,5
YKR035C,5
YOL004W,5
YIL084C,5
YHR205W,5
YKR024C,5
YBR170C,5
YKL212W,5
YOL076W,5
YGL106W,5
YOR106W,5
YNL302C,5
YNL225C,5
YLR268W,5
YAL026C,5
YLL007C,5
YOR290C,5
YCR028C,5
YHR210C,5
YGR132C,5
YKR019C,5
YBR156C,5
YHR160C,5
YNL048W,5
YMR125W,5
YDR289C,5
YDR343C,4
YBR097W,4
YBR017C,4
YMR077C,4
YCR097W,4
YDR069C,4
YOR297C,4
YKL139W,4
YOR209C,4
YLR224W,4
YML048W,4
YOR391C,4
YDL074C,4
YGL078C,4
YKL054C,4
YJL029C,4
YPL050C,4
YHR089C,4
YKL080W,4
YKL041W,4
YDR300C,4
YDR450W,4
YLR399C,4
YLR394W,4
YML013W,4
YER074W-A,4
YER095W,4
YPL249C-A,4
YLR244C,4
YHR155W,3
YGL135W,3
YOR147W,3
YER070W,3
YLR079W,3
YMR205C,3
YMR143W,3
YBL025W,3
YLR048W,3
YKR007W,3
YIL033C,3
YDL117W,3
YKL181W,3
YKL149C,3
YDR074W,3
YHR111W,3
YNL120C,3
YNL280C,3
YJL056C,3
YOR128C,3
YLR337C,3
YFR001W,3
YGL095C,3
YMR108W,3
YBR267W,2
YNL084C,2
YAL063C,2
YOR323C,2
YKL142W,2
YGL173C,2
YHL031C,2
YIR033W,2
YMR269W,2
YGR192C,2
YCR002C,2
YBL027W,2
YPR123C,1
YPL129W,1
YDR504C,1
YOL143C,1
YNL119W,1
YPL027W,1
YNL167C,1
YML024W,1
YLR193C,1
YHR199C-A,1
YGL071W,1
YDL006W,1
YDR137W,1
YLR357W,1
YKL188C,1
YBR040W,1
YBR077C,1
YLR350W,1
YAL012W,1
YGL194C,1
YLR192C,1
YNL139C,1
