,orf
YDR303C,32
YDL141W,30
YGL093W,28
YOR236W,28
YDR208W,28
YLR117C,28
YLR116W,28
YER147C,28
YLR007W,27
YMR213W,26
YHR040W,26
YNL149C,26
YOR077W,26
YER148W,26
YDR527W,26
YHR058C,26
YBR123C,26
YHR170W,26
YIL031W,26
YNL244C,25
YLR274W,25
YHL015W,25
YOR336W,25
YOR370C,25
YDR016C,25
YOR310C,25
YPL175W,25
YBR256C,25
YCR093W,25
YOL127W,25
YNL282W,25
YDR054C,25
YMR200W,25
YLR060W,25
YDL058W,24
YHR148W,24
YNL251C,24
YPR082C,24
YIL129C,24
YNL131W,24
YFL017W-A,24
YDL153C,24
YIL144W,24
YPL151C,24
YJL054W,24
YHR122W,24
YLR340W,24
YGL155W,24
YBR211C,24
YJR023C,24
YDR339C,24
YJR093C,24
YDR308C,23
YAR008W,23
YPR108W,23
YKR083C,23
YNL038W,23
YKR038C,23
YOR361C,23
YIL104C,23
YDR196C,23
YNR046W,23
YJR002W,23
YOR260W,23
YPL124W,23
YCL054W,23
YGR074W,23
YBR153W,23
YOL021C,23
YOR103C,23
YER023W,23
YML025C,23
YNL151C,23
YGR179C,23
YGR191W,23
YDL097C,23
YMR047C,23
YOL120C,23
YKL180W,22
YOR340C,22
YCL004W,22
YJR022W,22
YKL004W,22
YMR049C,22
YDR292C,22
YOR157C,22
YMR236W,22
YER043C,22
YIL115C,22
YHR196W,22
YER112W,22
YER159C,22
YGR156W,22
YBR011C,22
YML077W,22
YOR210W,22
YNL118C,22
YHR005C-A,22
YKL024C,22
YBR142W,22
YDR044W,22
YJL104W,22
YPR103W,22
YPR182W,22
YNL137C,22
YIL004C,22
YMR093W,22
YJL173C,22
YPL153C,22
YEL019C,22
YGR030C,22
YGR075C,21
YPR161C,21
YDL220C,21
YDL108W,21
YOL034W,21
YPR190C,21
YOR278W,21
YLR147C,21
YDR113C,21
YLR145W,21
YBL074C,21
YBR049C,21
YMR309C,21
YKL022C,21
YJR123W,21
YGR251W,21
YDR187C,21
YGR013W,21
YOL040C,21
YPL122C,21
YNL124W,21
YMR301C,21
YCR035C,21
YOR262W,21
YDR045C,21
YML098W,21
YLR243W,21
YNL162W,21
YDR041W,21
YDR086C,21
YPR107C,21
YGL123W,20
YGR158C,20
YLR323C,20
YDR141C,20
YIL061C,20
YHR070W,20
YNL007C,20
YPR133C,20
YOR232W,20
YOR362C,20
YNL245C,20
YMR239C,20
YLR051C,20
YJL014W,20
YNL061W,20
YMR227C,20
YBR109C,20
YLR022C,20
YDR168W,20
YJR017C,20
YKL186C,20
YFR050C,20
YDL147W,19
YER104W,19
YNL232W,19
YBR198C,19
YPR055W,19
YIL118W,19
YPL082C,19
YIL062C,19
YER021W,19
YDR437W,19
YOR257W,19
YAL032C,19
YER048W-A,19
YDL148C,19
YGR147C,19
YLR029C,19
YKR022C,19
YJL031C,19
YDR013W,19
YPR169W,19
YNL002C,19
YGR065C,19
YLR298C,19
YDL064W,19
YDR397C,19
YEL026W,18
YPR181C,18
YGL061C,18
YOR098C,18
YOL133W,18
YKL052C,18
YHR166C,18
YLR438C-A,18
YNL272C,18
YBR253W,18
YDR170C,18
YOL077C,18
YGL068W,18
YPL237W,18
YML126C,18
YPL255W,18
YER006W,18
YJL072C,18
YBR252W,18
YFL039C,18
YBR152W,18
YDR240C,18
YDL139C,18
YPL117C,18
YOR020C,18
YLR336C,18
YDR166C,18
YPR143W,17
YDL087C,17
YPR094W,17
YOR353C,17
YDR412W,17
YLR010C,17
YKR037C,17
YFR052W,17
YKL192C,17
YPR168W,17
YGR280C,17
YER146W,17
YLR355C,17
YNL240C,17
YLR195C,17
YFL024C,17
YCL059C,17
YGR024C,17
YDL132W,17
YML125C,16
YDL217C,16
YOR224C,16
YDR468C,16
YPL020C,16
YLR163C,16
YPR112C,16
YGR048W,16
YJL156C,16
YER157W,16
YKL154W,16
YLR167W,16
YMR197C,16
YDR394W,16
YJR007W,16
YOR329C,16
YPL094C,16
YKL082C,16
YIR010W,16
YGL201C,16
YMR131C,16
YPR113W,16
YDR177W,16
YKL112W,16
YMR240C,16
YDL092W,16
YHR172W,16
YNL260C,16
YMR235C,16
YML093W,15
YJL090C,15
YDL004W,15
YOR181W,15
YOR159C,15
YOL139C,15
YEL034W,15
YHR083W,15
YGR119C,15
YPR086W,15
YFR002W,15
YDL103C,15
YGL150C,15
YGL073W,15
YOR294W,15
YBR079C,15
YHR036W,14
YIL068C,14
YIR022W,14
YCR012W,14
YLR275W,14
YGL116W,14
YIL051C,14
YPL143W,14
YDL208W,14
YMR185W,13
YDL030W,13
YKL059C,13
YFR051C,13
YML065W,13
YPR178W,13
YGL169W,13
YMR079W,13
YMR290C,13
YHR143W-A,13
YFL038C,12
YNL113W,12
YBR254C,11
YNL306W,11
YLL035W,11
YPR010C,11
YHR101C,11
YOL026C,11
YHR068W,10
YLR186W,10
YKL144C,10
YKR071C,10
YCL052C,10
YDL235C,9
YPL126W,9
YDR224C,9
YMR128W,9
YGL207W,8
YLR223C,8
YBR247C,7
YPR110C,7
YIR015W,6
YML114C,5
YML010W,4
YJL091C,4
YJR072C,3
YDR301W,3
YMR076C,2
YPR019W,2
YKL088W,2
YBR202W,2
YBR004C,2
YAL041W,1
YGL018C,1
YMR117C,1
YNR054C,1
YHR088W,1
YBR167C,1
YML064C,1
YGR116W,1
YNR011C,1
YDR201W,1
YDL043C,1
YIL078W,1
YOR145C,1
YOR281C,1
YDR373W,1
YOR143C,1
YDR088C,1
YLL036C,1
YOR272W,1
YMR013C,1
YIL091C,1
YHR190W,1
YPR088C,1
YBR002C,1
YDR118W,1
YHR188C,1
YKR086W,1
