,orf
YCR028C,34
YCR081W,30
YOR128C,30
YHR025W,30
YGL078C,29
YDL185W,28
YER070W,28
YLR182W,28
YDR289C,28
YGR033C,27
YER107C,27
YLR363C,27
YNL019C,27
YKL134C,27
YDR027C,26
YOR073W,26
YFR054C,26
YMR179W,25
YLR403W,25
YNL199C,25
YGL240W,25
YGR192C,25
YIL098C,25
YLR418C,25
YGL022W,25
YOR214C,25
YJR145C,25
YEL029C,25
YBL099W,24
YJL176C,24
YMR205C,24
YML013W,24
YLR337C,24
YLR399C,24
YLR447C,24
YBR191W,24
YMR032W,24
YGL095C,24
YKL054C,24
YML048W,24
YDR149C,24
YLR234W,24
YER074W,23
YGR262C,23
YKR001C,23
YHR027C,23
YDR069C,23
YHR026W,23
YGR110W,23
YDL013W,23
YPL125W,23
YLR370C,23
YOR323C,23
YBR127C,23
YLR079W,23
YJL140W,23
YDR075W,23
YDR129C,23
YHR089C,23
YIL033C,23
YOR293W,23
YLR224W,23
YLR435W,22
YEL036C,22
YJL029C,22
YAL010C,22
YOR147W,22
YFL057C,22
YCR009C,22
YDR349C,22
YGR104C,22
YPL139C,22
YDR504C,22
YER095W,22
YDR195W,22
YMR217W,22
YLR148W,22
YAL012W,22
YMR116C,22
YEL051W,22
YHR165C,21
YPL086C,21
YMR108W,21
YOR106W,21
YOR391C,21
YOR008C,21
YDL006W,21
YGR132C,21
YPL042C,21
YLR061W,21
YPL031C,21
YNL018C,21
YKL073W,21
YIL049W,21
YBR017C,21
YEL013W,21
YBR170C,21
YOL051W,21
YDR245W,21
YMR307W,21
YCR047C,21
YPL254W,21
YPR135W,21
YBR156C,21
YPL249C-A,21
YKL143W,21
YGL038C,21
YNR005C,21
YKR092C,21
YGL189C,21
YNL220W,21
YEL044W,21
YGL105W,20
YGR162W,20
YPL178W,20
YMR077C,20
YLR396C,20
YNL032W,20
YMR021C,20
YNL186W,20
YGR167W,20
YKL002W,20
YBL025W,20
YLR320W,20
YLL006W,20
YIL052C,20
YMR026C,20
YGL100W,20
YMR300C,20
YDL040C,20
YLR048W,20
YNR023W,20
YJL180C,20
YAL016W,19
YOR014W,19
YER026C,19
YNL248C,19
YJR121W,19
YBL027W,19
YPL188W,19
YDR456W,19
YBR097W,19
YPL234C,19
YNL139C,19
YJR132W,19
YLR383W,19
YOL004W,19
YBR112C,19
YDL005C,19
YOL076W,19
YER151C,19
YKL149C,19
YIL127C,19
YLL054C,19
YDL074C,19
YKL139W,19
YOR388C,19
YMR125W,19
YNL225C,19
YLR448W,18
YDL116W,18
YLR423C,18
YDL179W,18
YKR007W,18
YNL120C,18
YPR173C,18
YNL048W,18
YGR240C,18
YOL072W,18
YPL024W,18
YNL297C,18
YJL204C,18
YAL026C,18
YDR138W,18
YER056C-A,18
YLR244C,18
YOL086C,17
YMR269W,17
YEL046C,17
YDR300C,17
YGL173C,17
YLR268W,17
YKL025C,17
YDR520C,17
YGR231C,17
YPR024W,17
YKR024C,17
YPL050C,17
YCR097W,17
YPL045W,17
YDR219C,17
YOR290C,17
YBR267W,17
YLR185W,16
YMR143W,16
YMR133W,16
YCR033W,16
YHL031C,16
YHR155W,16
YJL136C,16
YIL072W,16
YHR005C,16
YKL181W,16
YER074W-A,16
YDR388W,16
YGR092W,16
YNL169C,16
YGR155W,16
YLR304C,16
YAL013W,16
YBL072C,16
YKL121W,15
YOL142W,15
YIL084C,15
YHR111W,15
YPL049C,15
YOR331C,15
YGL106W,15
YER117W,15
YKL080W,15
YGR061C,15
YNL138W-A,15
YHR160C,15
YJL080C,15
YBR168W,15
YML121W,15
YDR477W,15
YKR082W,14
YHR102W,14
YLR150W,14
YLR250W,14
YLR452C,14
YIR033W,14
YER019W,14
YJL124C,14
YJR090C,14
YNR051C,14
YDR432W,14
YDR161W,14
YPL194W,14
YML073C,14
YDR127W,13
YPL106C,12
YGL135W,12
YMR275C,12
YLR324W,12
YCR002C,11
YKR014C,11
YDR207C,11
YAR015W,10
YNL280C,10
YER116C,9
YPL239W,9
YBR054W,9
YJL056C,8
YEL020C-B,8
YDR074W,8
YJR136C,7
YKL092C,7
YBR077C,6
YGL167C,6
YKL212W,6
YHR064C,5
YNL098C,5
YIL082W,4
YNL084C,3
YLR025W,3
YOR312C,2
YPL037C,2
YOR198C,2
YGR243W,2
YML024W,1
YML112W,1
YLR295C,1
YBR299W,1
YBR279W,1
YLR394W,1
YHR059W,1
YKR035C,1
YPR164W,1
YIL115W-A,1
YKL113C,1
YMR325W,1
YDL020C,1
YOL156W,1
YGL127C,1
YBR189W,1
YNL055C,1
YGL197W,1
YEL034C-A,1
YDL160C,1
YER052C,1
YLR273C,1
YLR434C,1
YPR123C,1
YOR359W,1
