,orf
YNL306W,30
YPR182W,30
YBR254C,30
YPR169W,29
YDL087C,28
YDL217C,28
YGR251W,28
YOR224C,28
YGR191W,28
YIR008C,28
YDR208W,27
YIL062C,27
YMR236W,27
YMR093W,27
YBR256C,27
YKL180W,26
YIL118W,26
YNL061W,26
YMR047C,26
YJR093C,26
YLR147C,26
YDR041W,26
YOR232W,26
YOR143C,25
YDR527W,25
YBR202W,25
YHR196W,25
YNL282W,25
YHR172W,25
YGR030C,25
YKL192C,25
YIL031W,25
YJL090C,25
YKL022C,25
YDR045C,25
YDL108W,25
YGL093W,25
YJL173C,25
YOR159C,25
YBR252W,25
YDR196C,24
YPR094W,24
YER147C,24
YIL061C,24
YGR074W,24
YDR308C,24
YJR022W,24
YHL015W,24
YOL040C,24
YKL059C,24
YBR198C,24
YJR123W,24
YDR166C,24
YGL116W,24
YER157W,24
YDL139C,23
YIL144W,23
YJL014W,23
YER159C,23
YNL151C,23
YNR046W,23
YPR168W,23
YDR141C,23
YLR117C,23
YGL150C,23
YNL162W,23
YNL113W,23
YFR051C,23
YNL002C,23
YGR280C,23
YLR007W,23
YML093W,22
YLR167W,22
YDR177W,22
YDL148C,22
YOL077C,22
YDL030W,22
YCR093W,22
YLR438C-A,22
YPL020C,22
YHR166C,22
YGL018C,22
YLR298C,22
YPR178W,22
YOR370C,22
YHR170W,22
YDL103C,22
YPR104C,22
YPR086W,22
YKL112W,22
YKL082C,21
YML125C,21
YDR016C,21
YDL141W,21
YMR239C,21
YPR107C,21
YLR060W,21
YPR103W,21
YBR152W,21
YNL137C,21
YPL235W,21
YPR181C,21
YFL017W-A,21
YOR098C,21
YOR362C,21
YOL034W,21
YMR301C,21
YPL211W,21
YNL131W,21
YGL201C,21
YNL181W,21
YFR002W,21
YKL004W,21
YDL097C,21
YER023W,21
YKL186C,21
YBR154C,20
YHR101C,20
YGR147C,20
YGR179C,20
YOR210W,20
YOL120C,20
YDL058W,20
YHR036W,20
YDL235C,20
YMR200W,20
YLR355C,20
YPL082C,20
YDL004W,20
YMR309C,20
YJL091C,20
YOR020C,20
YFR050C,20
YGL061C,20
YNL149C,20
YBL074C,20
YML126C,20
YGR158C,20
YJL072C,20
YMR197C,19
YDL092W,19
YJR007W,19
YGR116W,19
YPL153C,19
YJR017C,19
YOR336W,19
YML077W,19
YGR156W,19
YMR227C,19
YGR065C,19
YKR083C,19
YOR278W,19
YER048W-A,19
YKR071C,19
YPL255W,19
YBR079C,19
YDL132W,19
YJL054W,19
YOR262W,19
YPR161C,19
YGR048W,19
YLR051C,18
YGL073W,18
YDR168W,18
YIL068C,18
YKL052C,18
YIL129C,18
YER006W,18
YBR049C,18
YPL076W,18
YLR071C,18
YKR037C,18
YAL032C,18
YJL104W,18
YPR055W,18
YPR082C,18
YJR023C,18
YOR260W,18
YDR044W,18
YDR086C,18
YEL026W,18
YDR397C,18
YHR040W,18
YGR075C,18
YOL021C,18
YNL240C,18
YML098W,18
YOL133W,18
YJL156C,18
YPL209C,18
YHR058C,18
YER021W,18
YDR437W,18
YDR468C,17
YHR143W-A,17
YFR052W,17
YKL024C,17
YOR103C,17
YBR142W,17
YFL024C,17
YLR116W,17
YOR236W,17
YBR123C,17
YHR068W,17
YDR187C,17
YML025C,17
YNL124W,17
YOL026C,17
YER104W,17
YCL054W,17
YOR157C,17
YDR240C,17
YPR108W,17
YIL051C,17
YDR054C,17
YDL220C,16
YPR190C,16
YBR211C,16
YNL038W,16
YLR195C,16
YPL094C,16
YER112W,16
YPL126W,16
YLR336C,16
YPL124W,16
YEL034W,16
YBR060C,16
YCR012W,16
YOR056C,16
YNR026C,16
YAR008W,16
YHR005C-A,15
YNL221C,15
YOR353C,15
YJR002W,15
YKR022C,15
YMR185W,15
YPL151C,15
YPL237W,15
YDR394W,15
YOL139C,15
YPL117C,15
YDR013W,15
YNL244C,14
YOL127W,14
YER146W,14
YBR253W,14
YEL019C,14
YOR077W,14
YDL064W,13
YPR133C,13
YPL012W,13
YMR213W,13
YGL068W,13
YDR170C,13
YDR224C,13
YNL118C,12
YKL154W,12
YNL251C,12
YLR223C,12
YNL245C,12
YNL260C,12
YGR013W,11
YGL169W,11
YMR240C,11
YFR042W,11
YDR292C,11
YCL052C,11
YPL146C,10
YFL039C,10
YOR294W,10
YDR301W,9
YIL115C,9
YHR148W,7
YIR010W,7
YER148W,5
YOR329C,5
YCR035C,5
YKR038C,5
YBR002C,4
YKL210W,4
YLR274W,4
YNL272C,3
YGL155W,3
YHR122W,2
YNR016C,2
YLR010C,2
YMR208W,2
YLR440C,2
YIL075C,2
YOR046C,2
YNL007C,2
YER009W,1
YBR011C,1
YLR008C,1
YMR134W,1
YOL094C,1
YBL040C,1
YOL097C,1
YLL035W,1
YGR246C,1
YOR174W,1
YOR194C,1
YMR290C,1
YGL123W,1
YGR005C,1
YGR024C,1
YMR079W,1
YBL026W,1
YDL147W,1
YMR028W,1
YLR005W,1
YDL111C,1
YDR118W,1
YBR153W,1
YNL075W,1
YPL122C,1
YDL208W,1
YNL039W,1
YMR235C,1
YCL004W,1
YMR131C,1
YPR088C,1
YDL043C,1
YLR186W,1
YHR070W,1
YML114C,1
YOL038W,1
YPR143W,1
