,orf
YLR363C,36
YJL204C,31
YOR073W,29
YDR138W,29
YDR027C,28
YDL179W,28
YFR054C,28
YOR297C,28
YPL086C,27
YGR262C,27
YLR435W,27
YHL031C,27
YNL186W,27
YOR331C,27
YKR024C,27
YBR017C,27
YIL127C,27
YMR275C,27
YDR456W,26
YOR332W,26
YGL078C,26
YPL188W,26
YML024W,26
YDL191W,26
YDR127W,26
YGL106W,26
YBR189W,26
YBL099W,26
YDR195W,26
YPR018W,26
YJR121W,25
YEL034C-A,25
YHR102W,25
YDR074W,25
YKL143W,25
YLR383W,25
YBR279W,25
YEL036C,24
YJL029C,24
YMR307W,24
YJL080C,24
YPL049C,24
YFL057C,24
YJL180C,24
YMR125W,24
YER070W,24
YPL090C,24
YCR047C,24
YDL005C,24
YER116C,24
YJR090C,24
YOR323C,23
YDR129C,23
YIL098C,23
YMR269W,23
YDR289C,23
YKL134C,23
YNL297C,23
YBL027W,23
YJL124C,23
YKL181W,23
YMR021C,23
YCR009C,23
YOR147W,23
YMR179W,23
YGL038C,23
YJL140W,23
YGL095C,23
YHR160C,23
YBR097W,23
YOR014W,23
YKR082W,23
YKL149C,23
YPL249C-A,23
YPL234C,22
YOR359W,22
YGR104C,22
YGR240C,22
YDL006W,22
YNL199C,22
YLR061W,22
YDR075W,22
YPR024W,22
YGR162W,22
YJL176C,22
YGL240W,22
YBR267W,22
YMR205C,22
YDR504C,22
YLR324W,22
YGR192C,22
YLR396C,21
YNL302C,21
YLR224W,21
YAL037C-B,21
YPL129W,21
YLR452C,21
YGL105W,21
YGL135W,21
YDL040C,21
YDL013W,21
YLR268W,21
YBR077C,21
YMR143W,21
YNL225C,21
YER056C-A,21
YDL020C,21
YML073C,21
YMR133W,21
YGL100W,21
YGL173C,21
YOR391C,21
YLR234W,21
YCR053W,21
YDR237W,21
YDR388W,21
YPL125W,21
YDR300C,21
YOR293W,21
YDR245W,21
YDR207C,21
YNL018C,20
YBR168W,20
YKL002W,20
YGR061C,20
YIL033C,20
YHR165C,20
YIL128W,20
YML121W,20
YJL175W,20
YNL220W,20
YDR219C,20
YNL120C,20
YDR161W,20
YMR242C,20
YOL076W,20
YLR403W,20
YLR394W,20
YAL013W,20
YKL073W,20
YHR005C,20
YER074W,20
YDR477W,20
YOR214C,20
YPL042C,20
YKL054C,20
YNL138W-A,20
YKR007W,20
YOL142W,20
YIR033W,19
YPL024W,19
YGR155W,19
YHR026W,19
YCR081W,19
YLR448W,19
YNL248C,19
YLR250W,19
YDR520C,19
YML013W,19
YKR001C,19
YKL139W,19
YPL045W,19
YLR337C,19
YEL044W,19
YMR312W,19
YGR231C,19
YBR191W,19
YBR103W,19
YNL048W,19
YKL080W,19
YGR110W,19
YER074W-A,19
YBL025W,19
YPL254W,19
YLR423C,19
YBR112C,19
YGR132C,19
YOL051W,19
YNL192W,18
YAR015W,18
YKR092C,18
YCR002C,18
YHR205W,18
YNL055C,18
YHR155W,18
YIL052C,18
YMR116C,18
YEL029C,18
YHR027C,18
YGR285C,18
YER151C,18
YJR122W,18
YLL054C,18
YPL106C,18
YBR156C,18
YAL012W,18
YKL113C,18
YKL025C,18
YLR399C,18
YOR113W,18
YOR008C,17
YER026C,17
YJL136C,17
YHL011C,17
YMR032W,17
YGR033C,17
YKL121W,17
YOL086C,17
YGL022W,17
YGL189C,17
YOL004W,17
YBR127C,17
YML048W,17
YNL280C,17
YLR048W,17
YDL061C,17
YMR108W,17
YDR069C,17
YAL016W,17
YER117W,17
YPR173C,17
YDL074C,17
YOR106W,17
YLR320W,17
YLR079W,17
YEL013W,16
YDR381C-A,16
YLR370C,16
YEL046C,16
YLR338W,16
YLR447C,16
YKL041W,16
YNR051C,16
YHR025W,16
YDR432W,16
YAL010C,16
YLL006W,16
YNR005C,16
YPL139C,16
YBR170C,16
YOR198C,15
YGR092W,15
YLR185W,15
YCR097W,15
YNL032W,15
YMR300C,15
YPR135W,15
YEL051W,15
YKR035C,15
YNL019C,15
YOR290C,15
YLR244C,15
YHR141C,15
YEL027W,15
YLR182W,15
YJR102C,15
YHR111W,15
YCR033W,15
YAL026C,15
YMR077C,14
YDL185W,14
YIL084C,14
YDR181C,14
YCR028C,14
YDR140W,14
YMR217W,14
YOR128C,14
YBL072C,14
YJR132W,14
YKL142W,13
YOR388C,13
YPL178W,13
YDR343C,13
YER095W,13
YLR148W,13
YER107C,13
YMR026C,13
YNL139C,12
YHR089C,12
YPL050C,10
YAL063C,9
YGL058W,9
YHR169W,8
YKL212W,8
YLR304C,6
YDR349C,6
YNL084C,5
YKR019C,4
YGL212W,4
YPR070W,4
YDR005C,4
YLR228C,4
YNR023W,3
YIL040W,3
YDR174W,2
YLR357W,2
YBL033C,2
YOR028C,2
YHR041C,2
YOL013C,2
YJL056C,2
YLL007C,1
YGL206C,1
YIL082W,1
YGL223C,1
YGL127C,1
YGR271C-A,1
YJL179W,1
YBR054W,1
YDL117W,1
YDR395W,1
YKL176C,1
YDR024W,1
YBR173C,1
YGL218W,1
YKL110C,1
YER173W,1
YJL071W,1
YAR068W,1
YMR014W,1
YNL098C,1
YDR173C,1
YLR065C,1
YPR101W,1
