,orf
YNL075W,32
YKL144C,28
YOL094C,28
YGL097W,26
YLL035W,26
YOR329C,26
YER148W,25
YGR091W,25
YER009W,24
YKL210W,23
YOR004W,23
YHR122W,23
YIL075C,23
YOL005C,23
YCL004W,22
YBR002C,22
YFL038C,22
YNL007C,22
YLR022C,21
YGL130W,21
YOR046C,21
YKL058W,20
YDR301W,20
YIR010W,19
YHR070W,19
YPL122C,19
YKR038C,18
YPL143W,18
YCR035C,18
YDL043C,18
YLR163C,18
YNL267W,18
YDL145C,17
YHR148W,16
YJR072C,16
YIR015W,15
YML114C,14
YGL155W,13
YIL115C,13
YMR131C,12
YPR010C,12
YLR274W,9
YDL147W,9
YNL262W,9
YGR246C,6
YPR048W,5
YBL026W,4
YDR164C,4
YMR290C,4
YML064C,3
YMR112C,3
YIL078W,3
YBL034C,3
YPR034W,2
YNL039W,2
YLR186W,2
YLR275W,2
YNL232W,1
YGL137W,1
YMR059W,1
YHR188C,1
YBR167C,1
YLR243W,1
YOR256C,1
YFL037W,1
YDL102W,1
YNR054C,1
YBR011C,1
