,orf
YGR030C,37
YNL151C,32
YDR301W,32
YML093W,30
YGL207W,29
YNL240C,29
YHL015W,29
YOL040C,28
YNL118C,28
YPL143W,28
YML064C,28
YDR394W,28
YGL150C,27
YDR527W,27
YCR093W,27
YNL061W,27
YIL129C,27
YGR048W,26
YAL033W,26
YDL097C,26
YBR256C,26
YKR083C,26
YHR172W,26
YPR168W,26
YBR079C,26
YCL054W,26
YPR181C,26
YPL255W,26
YNL002C,26
YIR008C,26
YDL030W,26
YFL017W-A,25
YOR210W,25
YGR191W,25
YJR023C,25
YDL141W,25
YPR103W,25
YOL077C,25
YPL124W,25
YNL137C,25
YOR232W,25
YHR068W,25
YOL120C,25
YLR117C,25
YMR134W,25
YDR397C,24
YGR158C,24
YDL004W,24
YML125C,24
YPL012W,24
YGR156W,24
YPR178W,24
YBL074C,24
YGL073W,24
YLR229C,24
YGR147C,24
YMR236W,24
YIL118W,24
YJR022W,24
YML098W,24
YDL235C,24
YOL127W,23
YNR026C,23
YLR223C,23
YMR093W,23
YDL045C,23
YOR224C,23
YML025C,23
YDL058W,23
YHR101C,23
YLR438C-A,23
YDR168W,23
YIL075C,23
YMR047C,23
YNL131W,23
YDR246W,23
YPR133C,23
YPR169W,23
YBR202W,23
YMR309C,23
YPR190C,22
YHR143W-A,22
YDR240C,22
YDR016C,22
YNL282W,22
YLR060W,22
YHR166C,22
YER146W,22
YJR123W,22
YDR086C,21
YNL251C,21
YHR040W,21
YPR108W,21
YHR036W,21
YFL024C,21
YIL068C,21
YFR002W,21
YDR170C,21
YBR198C,21
YJL072C,21
YCL052C,21
YDL148C,21
YOR260W,21
YJL104W,21
YIL115C,21
YOR077W,21
YLR167W,21
YHR058C,21
YDL087C,21
YCR012W,21
YOL034W,21
YOR236W,20
YNL245C,20
YMR239C,20
YBR142W,20
YGR179C,20
YJR002W,20
YPL153C,20
YJL090C,20
YKL022C,20
YDR468C,20
YLR007W,20
YOR157C,20
YKR037C,20
YJL173C,20
YGL018C,20
YGR091W,20
YGL068W,20
YBR211C,20
YER021W,20
YML126C,20
YOR329C,19
YMR213W,19
YDR187C,19
YOR143C,19
YNL306W,19
YER112W,19
YLR336C,19
YDR292C,19
YPR088C,19
YER147C,19
YJL014W,19
YPL209C,19
YGL201C,19
YKL004W,19
YIL051C,19
YDR113C,19
YJL054W,19
YPL076W,19
YIL031W,19
YGR280C,19
YPL020C,19
YBR252W,19
YJL156C,19
YGL061C,19
YJL091C,19
YKL180W,19
YER157W,19
YOR370C,19
YNL260C,19
YBR109C,18
YOR257W,18
YPL117C,18
YKL052C,18
YPR182W,18
YPR055W,18
YDR196C,18
YER006W,18
YPR094W,18
YGR116W,18
YJR093C,18
YCR035C,18
YDR166C,18
YKL154W,18
YIL062C,18
YDL108W,18
YKR022C,17
YOR362C,17
YER023W,17
YBR152W,17
YDR044W,17
YMR200W,17
YJR017C,17
YNL181W,17
YFR051C,17
YEL019C,17
YHR170W,17
YFR052W,17
YKL112W,17
YPL063W,17
YGR065C,17
YPL082C,17
YJR007W,17
YNL038W,17
YGL169W,17
YOR103C,17
YLR298C,17
YPR082C,17
YDR177W,17
YBL026W,17
YPR104C,17
YLR147C,17
YDL139C,17
YKL059C,17
YMR227C,17
YIL061C,16
YFR050C,16
YKL024C,16
YNL162W,16
YDR013W,16
YNL149C,16
YBR254C,16
YER048W-A,16
YDL092W,16
YDR054C,16
YDR376W,16
YGR074W,16
YIL144W,16
YDL132W,16
YLR051C,16
YBR154C,16
YOL022C,16
YGR013W,16
YOR159C,16
YPL151C,16
YPL237W,15
YMR301C,15
YLR195C,15
YML077W,15
YOR336W,15
YNL124W,15
YMR240C,15
YNR046W,15
YBR123C,15
YDR041W,15
YKL082C,15
YHR005C-A,14
YPR161C,14
YLR116W,14
YEL026W,14
YKL186C,14
YIL078W,14
YNL244C,14
YKL192C,14
YDR437W,14
YNL113W,14
YOL133W,14
YGL093W,14
YGL247W,13
YPR107C,13
YGR075C,13
YPL094C,13
YDR208W,13
YGL047W,13
YOR278W,13
YGR251W,12
YAL032C,12
YGL116W,12
YDR308C,12
YDL220C,11
YPL235W,11
YMR185W,11
YER104W,11
YKR071C,11
YGR245C,10
YPL126W,9
YOR262W,9
YLR071C,9
YML049C,9
YDL217C,9
YOL139C,8
YIL109C,7
YCL004W,7
YPR010C,5
YFR042W,5
YPR086W,5
YJL019W,4
YER159C,4
YOR020C,3
YFL039C,3
YOR372C,3
YJL087C,2
YBR253W,2
YDR141C,2
YDR081C,2
YOR056C,2
YKL210W,2
YBR060C,2
YPL146C,2
YPL211W,2
YNL189W,2
YIL104C,2
YDL064W,2
YLR274W,1
YDR429C,1
YNL188W,1
YER093C,1
YMR197C,1
YLR440C,1
YNL232W,1
YGL130W,1
YOL123W,1
YIR015W,1
YML114C,1
YMR001C,1
YDR045C,1
YLR106C,1
YER148W,1
YER022W,1
YBR002C,1
YKL089W,1
YLR355C,1
