,orf
YML121W,33
YER151C,29
YCR002C,29
YJR122W,29
YOR147W,29
YDL005C,29
YMR217W,29
YDL006W,28
YMR307W,27
YKR035C,27
YKL025C,27
YHR027C,26
YDR127W,26
YLR148W,26
YBR097W,25
YLR182W,25
YDR069C,25
YNL138W-A,25
YGL078C,25
YPL129W,25
YGR092W,25
YOR332W,25
YGL189C,25
YBR279W,25
YJL180C,25
YGR061C,25
YMR108W,25
YDR161W,24
YMR077C,24
YPR024W,24
YLR423C,24
YMR116C,24
YMR275C,24
YEL044W,23
YBL072C,23
YER117W,23
YDL040C,23
YHR102W,23
YFL057C,23
YOL076W,23
YKL113C,23
YJL080C,23
YLR061W,23
YLR324W,23
YKL181W,23
YNL297C,23
YPL178W,23
YLR403W,22
YPL086C,22
YNL055C,22
YDR181C,22
YML073C,22
YHR205W,22
YER095W,22
YNL186W,22
YDR195W,22
YKR092C,22
YGL095C,22
YLR250W,21
YGR104C,21
YFR054C,21
YCR081W,21
YKL002W,21
YMR143W,21
YBL027W,21
YHR111W,21
YMR312W,21
YMR300C,21
YMR133W,21
YDL061C,21
YGL105W,21
YPL234C,21
YML048W,21
YGL100W,21
YKL139W,21
YDR300C,20
YDR219C,20
YJR121W,20
YHL031C,20
YHR005C,20
YBR267W,20
YPL049C,20
YLR452C,20
YBR156C,20
YAL016W,20
YKR007W,20
YDR381C-A,20
YNL302C,20
YDR245W,20
YLR363C,20
YPL050C,20
YDL074C,20
YLR048W,20
YOR359W,19
YNL139C,19
YJL140W,19
YDL185W,19
YLR185W,19
YKR082W,19
YHR160C,19
YJR145C,19
YNL225C,19
YPL024W,19
YOR198C,19
YIL072W,19
YGR132C,19
YEL051W,19
YHR165C,19
YGR192C,19
YGL135W,19
YOR128C,19
YIL098C,19
YOR073W,19
YER070W,19
YIL052C,19
YOL142W,19
YLR435W,19
YEL046C,19
YOR209C,19
YBR189W,19
YAL012W,18
YJL176C,18
YHR089C,18
YOR106W,18
YBR077C,18
YLR399C,18
YKL073W,18
YKL080W,18
YLL006W,18
YMR205C,18
YGL240W,18
YDL013W,18
YLR320W,18
YIR033W,18
YGL022W,18
YDR456W,18
YLR244C,18
YNL248C,18
YOR391C,18
YCR047C,18
YLR448W,18
YOL051W,18
YIL084C,17
YBR221C,17
YGR231C,17
YLR268W,17
YLR079W,17
YBR168W,17
YKL054C,17
YER074W-A,17
YHR026W,17
YDR138W,17
YDR207C,17
YOR214C,17
YDR520C,17
YJL204C,17
YNL220W,17
YBR103W,17
YLR447C,17
YOR290C,17
YEL036C,17
YMR125W,17
YOR331C,17
YPL254W,17
YNL019C,17
YNL048W,16
YMR021C,16
YDR129C,16
YDR075W,16
YOL072W,16
YPL188W,16
YER074W,16
YMR269W,16
YBR170C,16
YOR008C,16
YGR162W,16
YLR394W,16
YCR097W,16
YKL143W,16
YKL149C,16
YHL011C,16
YPR173C,16
YMR179W,15
YGR240C,15
YLR234W,15
YJR132W,15
YLR338W,15
YDR027C,15
YDR289C,15
YML013W,15
YER107C,14
YGR110W,14
YAR015W,14
YLR370C,14
YOL086C,14
YKL134C,14
YLR396C,14
YDR349C,14
YHR025W,13
YNR005C,13
YDR388W,13
YAL026C,13
YER026C,13
YAL013W,13
YPL125W,13
YCR009C,13
YLR383W,12
YDR140W,12
YCR033W,12
YOR323C,12
YLR224W,11
YHR155W,11
YCR028C,11
YNR051C,9
YOR297C,8
YGR285C,8
YML024W,7
YNL084C,6
YLR304C,6
YGL173C,6
YNL280C,5
YAL037C-B,5
YPR123C,5
YIL028W,4
YHR141C,4
YER044C,4
YER056C-A,3
YKL142W,3
YMR026C,3
YDL020C,3
YDL191W,3
YLR228C,3
YBR173C,2
YGR271C-A,2
YGL223C,2
YIL049W,2
YJL095W,2
YKL041W,2
YLR150W,2
YER029C,2
YHL030W-A,2
YOR014W,1
YAL063C,1
YJL029C,1
YGL167C,1
YEL020C-B,1
YOR113W,1
YDR364C,1
YMR035W,1
YBR127C,1
YNL192W,1
YLR350W,1
YGR262C,1
YDR450W,1
YFR001W,1
YOR211C,1
YGL058W,1
YDL116W,1
YDR385W,1
YDR005C,1
YGL194C,1
YHR041C,1
YIL148W,1
YDR418W,1
YLR295C,1
YNL059C,1
YIL040W,1
YLR388W,1
YBR040W,1
YER111C,1
