,orf
YML125C,31
YIL061C,30
YLR060W,30
YDR054C,28
YER006W,28
YDL141W,28
YGR113W,28
YER012W,28
YJR007W,27
YNR026C,27
YNR026C,26
YLR336C,26
YER023W,26
YIL118W,26
YDL092W,26
YCL059C,26
YGL061C,26
YOR098C,26
YKR022C,26
YLR438C-A,26
YJL072C,26
YOR336W,26
YPL235W,25
YHR068W,25
YPR161C,25
YNL002C,25
YJL090C,25
YER147C,25
YDL030W,25
YOL022C,25
YDR301W,25
YPL082C,25
YOR362C,24
YER104W,24
YGR065C,24
YCR093W,24
YMR227C,24
YDR527W,24
YBR152W,24
YHL015W,24
YJL156C,24
YMR200W,24
YMR213W,24
YOR157C,24
YMR301C,24
YNR046W,24
YPL124W,23
YPL237W,23
YBR202W,23
YBR153W,23
YOR236W,23
YPR108W,23
YPL146C,23
YJR017C,23
YGR179C,23
YGR280C,23
YLR229C,23
YAL032C,23
YMR239C,23
YDR170C,23
YGL093W,23
YGR147C,23
YPL117C,23
YOR262W,23
YCL054W,23
YNL240C,23
YOL127W,23
YIL051C,23
YIL031W,23
YPR094W,23
YIL129C,23
YGL247W,23
YPR133C,23
YFR002W,22
YOL120C,22
YGL150C,22
YFL045C,22
YBR142W,22
YPR107C,22
YJR002W,22
YPL126W,22
YDR113C,22
YNL007C,22
YOR077W,22
YNL282W,22
YJR093C,22
YNL131W,22
YGL018C,22
YKL154W,22
YPL012W,22
YPR103W,22
YHR170W,22
YDR166C,22
YOL040C,22
YGR013W,22
YDL103C,22
YJL014W,22
YER146W,22
YHR166C,22
YLR167W,22
YHR101C,21
YKL180W,21
YKL004W,21
YNL188W,21
YHR172W,21
YMR033W,21
YFR052W,21
YFR050C,21
YLR071C,21
YOL077C,21
YHR058C,21
YPR055W,21
YBR252W,21
YLR298C,21
YPR143W,21
YNL149C,21
YDL004W,21
YER157W,21
YOL021C,21
YGR156W,21
YGR075C,21
YHR005C-A,21
YER112W,21
YCL052C,20
YKR037C,20
YGL207W,20
YDL132W,20
YNL151C,20
YOL034W,20
YDL147W,20
YML093W,20
YPL063W,20
YPL094C,20
YMR240C,20
YGL169W,20
YIL144W,20
YKL186C,20
YPR082C,20
YOR278W,20
YBL074C,20
YPL151C,20
YML098W,20
YDR168W,20
YDR086C,20
YJL173C,20
YPR178W,20
YGR158C,20
YCR012W,20
YJL091C,20
YPR168W,20
YKL052C,20
YDR376W,20
YDR468C,19
YLR051C,19
YIL068C,19
YML126C,19
YOR143C,19
YBR154C,19
YMR134W,19
YGL201C,19
YKL022C,19
YDR412W,19
YHR040W,19
YGL123W,19
YDR044W,19
YOR232W,19
YPR190C,19
YPR088C,19
YDL097C,19
YOR224C,19
YBR109C,19
YDR016C,19
YDR013W,19
YKL059C,19
YEL019C,19
YGR116W,19
YNL038W,19
YDR308C,19
YNL306W,19
YLR116W,19
YDR292C,19
YEL034W,19
YBL026W,19
YKL192C,19
YGL116W,19
YBR123C,18
YML025C,18
YKL112W,18
YDL087C,18
YNL260C,18
YIL062C,18
YLR323C,18
YBR079C,18
YMR047C,18
YBR254C,18
YDR041W,18
YPR104C,18
YBR198C,18
YLR195C,18
YNL137C,18
YDL139C,18
YAR008W,18
YNL244C,18
YLR223C,17
YGR191W,17
YLR340W,17
YLR007W,17
YJL104W,17
YKL082C,17
YGR251W,17
YEL026W,17
YHR070W,17
YDR208W,17
YDL148C,17
YJR123W,17
YPR169W,17
YHR143W-A,17
YJL054W,17
YJR022W,17
YOR329C,17
YDR397C,17
YNL181W,17
YGR030C,17
YOR056C,16
YPL143W,16
YGL068W,16
YNL251C,16
YDR437W,16
YDL058W,16
YNL061W,16
YLL035W,16
YLR117C,16
YDL235C,16
YMR197C,16
YOR260W,16
YIL115C,16
YIL075C,15
YER021W,15
YIR022W,15
YML077W,15
YNL245C,15
YOR103C,15
YFR051C,15
YMR093W,15
YDR177W,15
YGR074W,15
YBR211C,15
YPL020C,15
YPL076W,14
YOR294W,14
YJR023C,14
YBR256C,14
YPL153C,14
YMR236W,14
YNL113W,14
YDL045C,14
YDR196C,14
YDR187C,14
YML064C,14
YDR240C,13
YDR394W,13
YOR370C,13
YIR008C,13
YGR091W,13
YPL175W,13
YPR113W,13
YOR257W,12
YNL221C,12
YML130C,12
YMR185W,12
YGR024C,12
YKL024C,11
YGR048W,11
YPR181C,11
YMR309C,10
YDR246W,10
YCR035C,9
YGR128C,9
YIL078W,9
YGL073W,9
YDL217C,7
YBR196C,7
YGL130W,6
YGR099W,6
YLR243W,6
YNL124W,5
YKR083C,5
YOL139C,5
YER043C,5
YBR049C,4
YER093C,4
YPL255W,4
YNL118C,3
YDL220C,3
YOR353C,3
YJL031C,3
YIL004C,3
YDL064W,3
YKL021C,3
YPL209C,2
YMR079W,2
YNR016C,2
YAL033W,2
YPR035W,2
YHR164C,2
YER159C,2
YHR020W,2
YFL005W,1
YKL089W,1
YNL232W,1
YIL106W,1
YGL047W,1
YLL050C,1
YDL208W,1
YOR340C,1
YLR075W,1
YGL113W,1
YBL092W,1
YPL122C,1
YDR373W,1
YHR036W,1
YDR339C,1
YBR011C,1
YOL066C,1
YOL133W,1
YOR335C,1
YPR112C,1
YDL014W,1
YPR010C,1
YIL091C,1
YDL015C,1
YIL104C,1
YEL002C,1
YIL022W,1
YKR038C,1
YDL153C,1
YLR033W,1
YPL211W,1
YLR029C,1
YNL189W,1
YLR163C,1
YHR196W,1
