,orf
YLR234W,30
YER074W-A,29
YMR205C,27
YDL185W,27
YER070W,27
YDR069C,27
YBR189W,27
YJL140W,27
YLL006W,27
YKL143W,26
YER095W,26
YGL123C-A,26
YLR148W,26
YOL051W,26
YOR014W,26
YKL113C,26
YEL036C,26
YBR127C,26
YBR279W,26
YGR132C,26
YMR307W,25
YJR122W,25
YGR262C,25
YHR165C,25
YLR322W,25
YNL248C,25
YMR077C,25
YLR447C,25
YOR008C,24
YDR320C-A,24
YOR323C,24
YDR138W,24
YCR028C,24
YIR009W,24
YDR207C,24
YNL084C,24
YLR412C-A,24
YLR435W,24
YER117W,24
YHR205W,24
YLR370C,24
YGL095C,24
YEL044W,24
YPL178W,23
YGR061C,23
YDR161W,23
YDR520C,23
YHR005C,23
YOR073W,23
YHR026W,23
YLR185W,23
YGR231C,23
YMR179W,23
YIL142C-A,23
YGL260W,23
YML073C,23
YLR244C,22
YOR147W,22
YOL072W,22
YCR097W,22
YML013W,22
YBL027W,22
YMR133W,22
YJL180C,22
YGL135W,22
YMR275C,22
YER026C,22
YDR456W,22
YML121W,22
YAL012W,22
YMR026C,22
YMR021C,22
YLR061W,22
YHR160C,22
YDR195W,22
YPL086C,22
YMR108W,22
YGR285C,22
YGR105W,22
YDR075W,22
YAL026C,21
YDR127W,21
YIR033W,21
YOR391C,21
YOL142W,21
YPL125W,21
YLR224W,21
YDR245W,21
YBL072C,21
YJL029C,21
YPL045W,21
YOR290C,21
YLR396C,21
YGL022W,21
YCR009C,21
YHL031C,21
YGR104C,21
YBR097W,21
YLR403W,21
YDR219C,21
YLR383W,20
YGR192C,20
YIL098C,20
YLR324W,20
YLR268W,20
YML048W,20
YKL080W,20
YNL139C,20
YNL048W,20
YLR182W,20
YBR168W,20
YOL086C,20
YKR001C,20
YMR217W,19
YER151C,19
YLR320W,19
YOR376W-A,19
YJR121W,19
YER074W,19
YPR173C,19
YDL013W,19
YLR079W,19
YKR035C,19
YHR199C-A,19
YNL138W-A,19
YHR155W,19
YBR156C,19
YOR209C,19
YGR240C,19
YDR510C-A,19
YGL100W,19
YFL057C,19
YKL054C,18
YPR024W,18
YDR504C,18
YJL080C,18
YKL002W,18
YHR111W,18
YGL173C,18
YLR295C,18
YBL071C-B,18
YIL072W,18
YHR025W,18
YOR128C,18
YKR082W,18
YIL084C,18
YAR015W,18
YDL006W,18
YKL073W,18
YHR089C,18
YMR116C,18
YLR250W,18
YEL051W,18
YLR423C,17
YLR363C,17
YNL225C,17
YMR143W,17
YLR448W,17
YGR162W,17
YBR077C,17
YBR170C,17
YPL049C,17
YBR267W,17
YMR125W,17
YKL134C,17
YIL028W,17
YCR002C,17
YPL024W,17
YNL186W,17
YIL052C,16
YMR300C,16
YCR033W,16
YDR388W,16
YDR289C,16
YDL005C,16
YGL078C,16
YDR129C,16
YHR102W,16
YBL100C,16
YDR140W,16
YKL149C,16
YKL138C-A,16
YBR103W,16
YER107C,16
YEL046C,16
YEL020C-B,16
YLR434C,16
YDL040C,16
YNR005C,15
YAL016W,15
YLR399C,15
YOR214C,15
YKR092C,15
YML024W,15
YOR198C,15
YHR027C,15
YKL181W,15
YGL105W,15
YCR047C,15
YOL076W,15
YDR382W,15
YPL254W,14
YKL025C,14
YNL297C,14
YLR048W,14
YFR054C,14
YNL220W,14
YJL204C,14
YGL240W,13
YPL188W,13
YLR452C,13
YPL050C,13
YGL189C,13
YAL013W,13
YMR269W,13
YJL124C,13
YDR027C,12
YER056C-A,12
YOR106W,11
YJR132W,11
YDL191W,11
YJL176C,10
YJL056C,10
YNL055C,10
YDR300C,10
YOR297C,8
YLR394W,8
YKL139W,8
YHR169W,7
YBR221C,6
YDR149C,6
YCR081W,5
YPL234C,5
YOR359W,5
YIL049W,4
YLR228C,4
YDR070C,4
YGR092W,3
YGR227W,3
YLR304C,3
YHL011C,3
YDR074W,2
YDL020C,2
YLR252W,2
YOR350C,2
YKL142W,2
YAL063C,2
YDL061C,2
YBL033C,2
YPL037C,2
YNL154C,2
YMR250W,2
YPR101W,2
YJR145C,1
YPL129W,1
YER019W,1
YDR542W,1
YNL192W,1
YHR072W-A,1
YGL244W,1
YNL280C,1
YDL074C,1
YBR063C,1
YIL148W,1
YDR477W,1
YNR051C,1
YER071C,1
YLR264W,1
YNL330C,1
YLR357W,1
YNL229C,1
YNL199C,1
YOL150C,1
YIR020C,1
YFL016C,1
YKL043W,1
YKL110C,1
YLL007C,1
YJR090C,1
YBR112C,1
