,orf
YER148W,30
YOR145C,29
YOR046C,27
YJR065C,26
YNL221C,25
YER093C,25
YDL031W,25
YDR082W,24
YHR196W,24
YER171W,23
YOR272W,21
YDR081C,21
YOR098C,20
YOL066C,20
YJL019W,19
YNL189W,19
YDL103C,19
YGL155W,19
YAR008W,18
YML114C,18
YBL092W,17
YOL021C,17
YGR113W,17
YIL104C,17
YMR131C,16
YML130C,16
YHR148W,15
YBR196C,15
YPL122C,15
YMR298W,14
YNL112W,14
YDR118W,14
YKL021C,14
YOR340C,13
YDL084W,13
YMR290C,12
YDR088C,10
YGR218W,9
YBR060C,8
YLR163C,7
YDL014W,7
YJR072C,7
YDR280W,6
YNL262W,5
YDL015C,4
YDL043C,4
YBR070C,4
YDL064W,4
YOR256C,3
YBR160W,3
YLR078C,3
YBR088C,2
YNR011C,2
YDL145C,1
YGR119C,1
YDR390C,1
YPR019W,1
YOR056C,1
YFL045C,1
YOR249C,1
YHR188C,1
YNL039W,1
YPR048W,1
YDR429C,1
YIR015W,1
YMR049C,1
YLR275W,1
YLR409C,1
YER012W,1
YOR361C,1
YLR022C,1
YOL026C,1
YBR102C,1
YER159C,1
YDL055C,1
YPR165W,1
YNL272C,1
YOR294W,1
YHR083W,1
YNR017W,1
