,orf
YGR024C,31
YMR131C,29
YNL138W-A,28
YNL271C,28
YOL072W,27
YOR340C,27
YBR267W,27
YJL124C,26
YJR122W,26
YLR186W,25
YOR329C,25
YFL037W,24
YBR077C,23
YLR285W,23
YGR245C,23
YOR262W,23
YNL039W,23
YPL234C,22
YDL017W,22
YOR122C,22
YLR250W,22
YKL202W,22
YGR047C,22
YKL006W,22
YKL002W,22
YOR294W,21
YOR331C,21
YDR381C-A,21
YPR088C,21
YNL262W,21
YLR323C,21
YKL210W,21
YBR221C,21
YDR141C,21
YCR097W,21
YER074W-A,21
YPL082C,20
YKR007W,20
YDR342C,20
YGL169W,20
YOR094W,19
YJL091C,19
YKL082C,19
YIL098C,19
YMR212C,19
YKL144C,19
YDR164C,19
YOR098C,18
YBR123C,18
YDR140W,17
YBL111C,17
YPL280W,17
YDR439W,17
YDR388W,17
YPL174C,17
YNL055C,17
YMR140W,16
YDR456W,16
YAL012W,16
YNR005C,16
YOR046C,16
YHR070W,15
YDL145C,15
YFL057C,14
YBR060C,9
YPL126W,9
YHR218W,7
YDL061C,6
YDR118W,6
YLR005W,6
YDL146W,6
YEL044W,4
YNL007C,3
YDL102W,3
YLR447C,3
YHR188C,3
YHR170W,2
YPR104C,2
YOR060C,2
YNL075W,2
YOR209C,2
YNL112W,2
YAR071W,2
YBR161W,2
YJR159W,2
YPR141C,1
YKL045W,1
YCR081W,1
YGR075C,1
YBR302C,1
YPL049C,1
YKL145W,1
YPR139C,1
YER093C,1
YLR185W,1
