,orf
YPL143W,32
YNL033W,28
YBR234C,28
YGR271C-A,27
YHR064C,26
YKL142W,25
YER056C-A,25
YDR096W,24
YDL020C,24
YNL335W,24
YNL222W,23
YOR232W,23
YCR053W,23
YER094C,23
YGR262C,23
YDR074W,22
YMR026C,22
YIR008C,21
YHR107C,21
YJL174W,21
YNL334C,21
YJR141W,21
YNL312W,20
YHR141C,20
YFL005W,20
YLR145W,20
YKL042W,20
YNR023W,20
YGL173C,19
YBR192W,19
YJR158W,19
YIL172C,19
YDR002W,18
YGR120C,17
YPL090C,17
YLR192C,16
YMR128W,15
YGL225W,15
YJR041C,14
YGL207W,14
YJL221C,13
YKL060C,13
YPR202W,12
YML112W,10
YLR155C,9
YLR157C,9
YER190W,7
YMR323W,7
YPL209C,7
YLR160C,6
YJR123W,5
YDL045C,5
YIL127C,4
YOL004W,4
YJL029C,3
YML037C,3
YLR158C,3
YER021W,3
YJL031C,2
YNL034W,2
YBR198C,2
YBR017C,2
YDL075W,1
YLR039C,1
YGR033C,1
YOL078W,1
YNL310C,1
YKR105C,1
YJR140C,1
YOR148C,1
YFL017C,1
YLR462W,1
