,orf
YCR035C,37
YBR253W,34
YPL153C,30
YLR243W,30
YMR309C,29
YMR093W,29
YLR438C-A,28
YOR361C,28
YKR083C,28
YJL054W,28
YFL024C,28
YBR079C,28
YER048W-A,28
YML093W,27
YGR013W,27
YDL147W,27
YGR251W,27
YJL173C,27
YOR336W,27
YGL116W,26
YER023W,26
YOL127W,26
YKR071C,26
YOR098C,26
YPR108W,26
YDL064W,26
YIL004C,26
YNL244C,26
YHR040W,25
YPR094W,25
YDL217C,25
YNL245C,25
YBR152W,25
YNL240C,25
YPR143W,25
YPL255W,25
YPL094C,25
YMR047C,24
YBR252W,24
YGL073W,24
YNL149C,24
YOL034W,24
YOL133W,24
YGR024C,24
YPL124W,24
YBR011C,24
YNL251C,24
YJL156C,24
YKL004W,24
YGL155W,24
YHR101C,24
YPL237W,24
YBR256C,24
YDR166C,24
YMR213W,24
YER147C,23
YPR055W,23
YOR210W,23
YDR308C,23
YIR010W,23
YMR185W,23
YDL004W,23
YLR029C,23
YJL031C,23
YBR049C,23
YGR030C,23
YDR339C,23
YPL122C,23
YFR052W,23
YPR010C,23
YKL052C,23
YOL120C,23
YPR182W,22
YLR116W,22
YHR070W,22
YER006W,22
YNR046W,22
YER157W,22
YJL090C,22
YGL150C,22
YOR232W,22
YLR355C,22
YKL082C,22
YOR077W,22
YKL112W,22
YNL038W,22
YMR239C,22
YDL097C,22
YLR323C,22
YBR153W,22
YDR303C,22
YPR190C,22
YDL220C,22
YOR340C,22
YDL030W,22
YOR329C,22
YCR093W,22
YCL052C,21
YMR227C,21
YGL061C,21
YPR178W,21
YGL123W,21
YOR257W,21
YOR370C,21
YOR260W,21
YIL129C,21
YPL117C,21
YMR079W,21
YBR123C,21
YGL201C,21
YGR048W,21
YHR170W,21
YHR196W,21
YML025C,21
YJR023C,21
YHR058C,21
YLR340W,21
YFR050C,21
YGL068W,21
YER159C,21
YGR074W,21
YDR412W,21
YLR060W,21
YCL059C,21
YPL082C,20
YKL022C,20
YPR169W,20
YIL031W,20
YJL104W,20
YKL180W,20
YML126C,20
YKR022C,20
YER021W,20
YDL153C,20
YPR133C,20
YPR103W,20
YLR117C,20
YKL186C,20
YDL208W,20
YDR113C,20
YHR148W,20
YOL021C,20
YNL007C,20
YLR007W,20
YGL093W,20
YHR166C,20
YOR103C,20
YGR147C,20
YOR310C,20
YNL124W,20
YNL282W,20
YDL132W,20
YGR075C,20
YJR123W,20
YML065W,20
YBL074C,20
YER148W,20
YOL077C,20
YKL059C,20
YER146W,20
YDR044W,20
YIL104C,19
YMR236W,19
YDR240C,19
YNL162W,19
YGR179C,19
YGR065C,19
YJR017C,19
YIL061C,19
YPR082C,19
YCL054W,19
YMR197C,19
YBR198C,19
YKR037C,19
YPR181C,19
YNL260C,19
YKL192C,19
YEL026W,19
YCL004W,19
YBR142W,19
YGR280C,19
YIL068C,19
YNL131W,19
YFL039C,19
YJR022W,19
YER104W,19
YHR083W,19
YFL017W-A,18
YPR107C,18
YNL061W,18
YLR145W,18
YHR036W,18
YOL040C,18
YDR086C,18
YML125C,18
YKL024C,18
YBR211C,18
YEL019C,18
YBR109C,18
YGR119C,18
YJL014W,18
YMR301C,18
YOR224C,18
YLR298C,18
YDR141C,18
YML077W,18
YDR187C,18
YDR170C,18
YBR002C,18
YDL148C,18
YNL151C,18
YLR010C,18
YHR143W-A,18
YOR262W,18
YDL058W,18
YBR254C,18
YMR049C,18
YOR020C,18
YDR196C,18
YKL154W,17
YMR240C,17
YNL118C,17
YHR005C-A,17
YOR159C,17
YOR353C,17
YAL032C,17
YGR156W,17
YDL139C,17
YDL092W,17
YJR093C,17
YDR468C,17
YLR051C,17
YER112W,17
YGR191W,17
YDR016C,17
YJR007W,17
YPL175W,17
YDR041W,16
YAR008W,16
YLR147C,16
YPR161C,16
YIL115C,16
YDR013W,16
YIL144W,16
YPL020C,16
YFR002W,16
YHL015W,16
YJR002W,16
YDL141W,16
YER043C,16
YHR172W,16
YDL235C,16
YDL108W,16
YMR131C,16
YDR437W,16
YLR274W,16
YCR012W,16
YPR113W,16
YJL072C,16
YLR022C,15
YMR200W,15
YDR208W,15
YIR022W,15
YDR292C,15
YLR167W,15
YOR294W,15
YBR247C,15
YFR051C,15
YGR158C,15
YOR278W,15
YNL002C,15
YOR236W,15
YPR168W,15
YDL087C,14
YPL143W,14
YDR177W,14
YIL118W,14
YOR157C,14
YLR163C,14
YDR168W,14
YNL232W,14
YOL139C,14
YOL026C,14
YNL306W,14
YDR054C,14
YOR362C,14
YNL113W,14
YML114C,13
YMR290C,13
YHR122W,13
YDL103C,13
YKR038C,13
YPL151C,13
YIL062C,13
YEL034W,13
YDR394W,12
YLL035W,12
YNL137C,12
YIL051C,11
YDR397C,11
YDR527W,10
YDR045C,10
YML098W,10
YNL272C,10
YMR128W,9
YOR181W,9
YLR336C,9
YFL038C,8
YIR015W,8
YDR224C,7
YAL033W,6
YGL018C,5
YPR086W,5
YDR201W,5
YGL169W,4
YKL210W,4
YKL144C,4
YDL043C,4
YMR235C,4
YHR068W,4
YJR072C,3
YPR019W,3
YPL211W,3
YLR033W,3
YDR429C,3
YNL075W,3
YMR117C,3
YPR112C,3
YOR056C,2
YJL091C,2
YOR004W,2
YBR202W,2
YMR208W,2
YDR246W,2
YOR046C,2
YBR154C,1
YNL026W,1
YPL076W,1
YLR078C,1
YPR175W,1
YKR086W,1
YOR074C,1
YGL122C,1
YGL075C,1
YDR301W,1
YDL028C,1
YBR060C,1
YGL238W,1
YNL152W,1
YIL091C,1
YDL045C,1
YNL188W,1
YKL088W,1
YLR129W,1
YGR246C,1
YPL209C,1
YJL076W,1
YLR195C,1
YPR048W,1
YNL158W,1
YLR223C,1
YDR487C,1
YOL078W,1
YER003C,1
YNL062C,1
YLR071C,1
YPR034W,1
