,orf
YBR252W,33
YBR079C,33
YBR153W,32
YDL030W,31
YER043C,30
YKL024C,29
YLR117C,29
YNL113W,29
YFL017W-A,29
YGL150C,28
YGR065C,28
YOR224C,28
YNL260C,28
YLR010C,27
YEL034W,27
YPR182W,27
YMR227C,27
YKR083C,26
YGR024C,26
YLR145W,26
YOR103C,26
YNL306W,26
YMR309C,26
YLR060W,26
YMR131C,26
YJL072C,26
YLR355C,26
YJR022W,26
YBR011C,26
YGR147C,26
YNL002C,26
YHR196W,26
YLR438C-A,26
YGR179C,25
YER147C,25
YJL014W,25
YNL124W,25
YER157W,25
YML065W,25
YJR123W,25
YOL034W,25
YJL156C,25
YMR240C,25
YJR072C,25
YGL093W,25
YNL149C,25
YOR020C,25
YFR051C,25
YDR168W,25
YER148W,25
YGR280C,25
YJL031C,25
YOR098C,25
YKL112W,25
YOR077W,25
YER048W-A,24
YGR030C,24
YPR082C,24
YIL061C,24
YPR107C,24
YDR054C,24
YBR254C,24
YDL087C,24
YHR070W,24
YIL104C,24
YDR412W,24
YBR253W,24
YGR251W,24
YJR002W,24
YKL022C,23
YNL162W,23
YOL040C,23
YGL155W,23
YPR133C,23
YFR050C,23
YLR243W,23
YKR071C,23
YPL237W,23
YMR079W,23
YHR036W,23
YPR108W,23
YIR010W,23
YFR002W,23
YHR068W,23
YFR052W,22
YPR161C,22
YPL094C,22
YDR246W,22
YPR143W,22
YLR340W,22
YCR035C,22
YOR210W,22
YCR093W,22
YPR181C,22
YDR224C,22
YDL004W,22
YPL082C,22
YDR166C,22
YER146W,22
YNL137C,22
YER112W,22
YFL039C,22
YDL139C,22
YOR336W,22
YGR156W,22
YNL244C,22
YDR196C,22
YIL115C,22
YML125C,22
YOR157C,22
YKL192C,22
YIL144W,21
YGL116W,21
YGL061C,21
YDL235C,21
YHR148W,21
YOL026C,21
YJR023C,21
YDR086C,21
YDR397C,21
YPL143W,21
YNL245C,21
YMR197C,21
YNL038W,21
YER104W,21
YIL031W,21
YPR094W,21
YNL118C,21
YOL127W,21
YOL139C,21
YNL131W,21
YMR239C,21
YML077W,21
YKL059C,21
YJR007W,21
YDR394W,21
YGL073W,21
YLR116W,21
YDR240C,21
YMR185W,20
YOR294W,20
YPL124W,20
YKL052C,20
YPL153C,20
YLR167W,20
YHR005C-A,20
YHR166C,20
YKL004W,20
YBR152W,20
YIL062C,20
YNL232W,20
YKR022C,20
YBR123C,20
YEL019C,20
YKL186C,20
YMR236W,20
YPR190C,20
YOR329C,20
YIL068C,20
YGL123W,20
YFL024C,20
YOR370C,20
YCL054W,20
YKL082C,20
YCL052C,20
YBR198C,20
YHR122W,20
YLR323C,20
YML025C,20
YCR012W,20
YGR048W,20
YMR213W,20
YPL255W,19
YHR058C,19
YPR178W,19
YGR075C,19
YDR308C,19
YHL015W,19
YLR298C,19
YIL051C,19
YDR045C,19
YDR041W,19
YML093W,19
YIL118W,19
YPR168W,19
YBR002C,19
YOR232W,19
YDL092W,19
YDR437W,19
YAR008W,19
YGR074W,19
YMR290C,19
YPR169W,19
YNL007C,19
YJR017C,19
YER021W,19
YBR142W,19
YPL151C,19
YDR527W,19
YGL169W,19
YCL059C,19
YDL058W,19
YOL120C,19
YJR093C,19
YKL180W,19
YGR191W,18
YHR040W,18
YLR029C,18
YDR292C,18
YNL151C,18
YJL104W,18
YER023W,18
YER006W,18
YPL020C,18
YDL153C,18
YGL068W,18
YDR303C,18
YGR158C,18
YNR046W,18
YDR468C,18
YDR177W,18
YDL064W,18
YFL038C,18
YER159C,18
YJL173C,18
YJL090C,18
YNL282W,18
YKR037C,18
YDR016C,18
YOR278W,18
YDL217C,17
YDL220C,17
YMR047C,17
YHR170W,17
YGR013W,17
YDR170C,17
YDR141C,17
YBL074C,17
YKL154W,17
YMR049C,17
YOL133W,17
YDR339C,17
YDL208W,17
YEL026W,17
YDL148C,17
YOR310C,17
YOR362C,17
YOR236W,16
YDR113C,16
YLR051C,16
YMR200W,16
YHR101C,16
YLR336C,16
YML126C,16
YDL141W,16
YDR208W,16
YBR256C,16
YIR022W,16
YLR007W,16
YHR172W,16
YDR187C,16
YPL122C,16
YDL097C,16
YDL147W,16
YHR143W-A,16
YMR301C,16
YLR022C,16
YGL201C,15
YOL077C,15
YBR211C,15
YCL004W,15
YOR181W,15
YHR083W,15
YDL108W,15
YML114C,15
YOL021C,15
YBR049C,15
YDR044W,15
YOR361C,15
YKR038C,15
YLR274W,14
YIL129C,14
YNL251C,14
YOR260W,14
YOR257W,14
YDR013W,14
YNL240C,14
YNL061W,14
YMR093W,14
YOR159C,13
YLR163C,13
YPR055W,13
YJL054W,13
YOR262W,13
YPR113W,13
YAL032C,12
YIL004C,12
YLR147C,12
YPL117C,12
YLR223C,12
YDL103C,12
YOR340C,11
YPR103W,11
YLR275W,11
YDL132W,11
YGR119C,10
YPL175W,9
YLR195C,9
YOR353C,5
YNL272C,5
YPL126W,4
YPR112C,4
YKR086W,3
YMR235C,3
YDR429C,3
YBR202W,3
YDL120W,3
YMR128W,3
YBR070C,2
YLR078C,2
YLR033W,2
YPL076W,2
YMR208W,2
YPL012W,2
YPR048W,2
YHR188C,2
YNR026C,2
YLR071C,2
YBR247C,1
YDL043C,1
YLR215C,1
YIR006C,1
YDL003W,1
YOR281C,1
YDL008W,1
YMR013C,1
YDL105W,1
YML064C,1
YKL058W,1
YNL075W,1
YPR110C,1
YPL266W,1
YGL137W,1
YDR398W,1
YOR004W,1
YKL144C,1
YBL040C,1
YJL091C,1
