,orf
YMR108W,32
YBR017C,31
YNL032W,30
YKL139W,29
YOL086C,29
YCR097W,28
YDR074W,28
YGR110W,28
YDR129C,27
YDR477W,27
YDR161W,27
YOR290C,27
YKL121W,27
YNL186W,27
YDL020C,27
YHR089C,26
YGR132C,26
YGR155W,26
YMR077C,26
YML121W,26
YCR028C,26
YNL169C,26
YGL106W,26
YJL204C,25
YKL143W,25
YLR061W,25
YHR025W,25
YLR370C,25
YER107C,25
YBR097W,25
YLR337C,25
YGL100W,25
YPL106C,25
YNL297C,24
YLR399C,24
YLR452C,24
YDR520C,24
YIR033W,24
YBR127C,24
YGR240C,24
YJR090C,24
YDR349C,24
YBR170C,24
YCR081W,24
YPL045W,24
YMR217W,24
YBR077C,24
YOR214C,24
YFL057C,23
YMR116C,23
YKL073W,23
YGR231C,23
YJL124C,23
YOR014W,23
YLR079W,23
YPL050C,23
YOR293W,23
YPL188W,23
YER151C,23
YER074W-A,23
YGR092W,23
YNL248C,23
YJL176C,23
YAL012W,23
YKL080W,23
YNR023W,22
YPL042C,22
YDR219C,22
YHR027C,22
YBR112C,22
YMR275C,22
YIL098C,22
YKR024C,22
YPL249C-A,22
YAR015W,22
YNL225C,22
YDL185W,22
YGL105W,22
YMR026C,21
YGL038C,21
YAL016W,21
YEL044W,21
YDL040C,21
YMR143W,21
YNL280C,21
YGL078C,21
YBR191W,21
YPL254W,21
YLR304C,21
YPR024W,21
YBR156C,20
YLR403W,20
YCR009C,20
YJR121W,20
YCR002C,20
YIL072W,20
YIL084C,20
YDR300C,20
YGL022W,20
YKL054C,20
YPL139C,20
YKL134C,20
YDR075W,20
YCR047C,20
YOL142W,20
YJL080C,20
YDR165W,20
YOR323C,20
YLR396C,20
YDL116W,20
YOR391C,20
YGR104C,20
YPL086C,20
YHR165C,20
YHL031C,20
YKR007W,20
YBR168W,20
YLR447C,20
YDL005C,20
YML048W,20
YNL018C,20
YEL013W,20
YDL013W,20
YDL006W,20
YPL024W,20
YLR448W,19
YOR073W,19
YPR173C,19
YMR300C,19
YMR133W,19
YJL029C,19
YOR388C,19
YER117W,19
YMR021C,19
YOL076W,19
YGL240W,19
YGL095C,19
YPL234C,19
YMR125W,19
YJR145C,19
YLR324W,19
YBL099W,19
YJL136C,19
YKR092C,19
YMR307W,19
YDR127W,19
YLR048W,19
YMR179W,19
YNR005C,19
YLR268W,19
YNL199C,18
YIL033C,18
YDR069C,18
YHR111W,18
YGR033C,18
YHR155W,18
YMR205C,18
YGR167W,18
YEL046C,18
YLR185W,18
YPL194W,18
YGR192C,18
YEL036C,18
YEL029C,18
YGL173C,18
YGL189C,18
YER095W,18
YPL125W,18
YDR195W,18
YJR132W,17
YMR032W,17
YLR435W,17
YDR456W,17
YLR244C,17
YML073C,17
YPL178W,17
YIL127C,17
YLR423C,17
YPR135W,17
YLL006W,17
YDL179W,17
YDR504C,17
YBL072C,17
YDR207C,17
YJL180C,17
YOL072W,17
YNL048W,17
YKL149C,17
YHR026W,17
YHR005C,17
YOR106W,17
YEL051W,16
YGR262C,16
YGR061C,16
YIL052C,16
YDR432W,16
YAL013W,16
YNL019C,16
YPL031C,16
YER056C-A,16
YJL140W,16
YLR363C,16
YEL020C-B,16
YNL138W-A,16
YOR331C,16
YLR182W,16
YKR001C,16
YER074W,16
YFR054C,16
YNR051C,16
YDR149C,16
YLL054C,16
YOL004W,15
YDL074C,15
YHR102W,15
YAL010C,15
YNL220W,15
YOL051W,15
YCR033W,15
YNL139C,15
YLR234W,15
YBR267W,15
YDR027C,15
YDR138W,15
YAL026C,15
YOR008C,14
YML013W,14
YNL120C,14
YKL181W,14
YOL156W,14
YER070W,14
YOR147W,14
YDR289C,14
YPL049C,14
YLR418C,14
YKL025C,14
YKR082W,14
YBL027W,14
YER026C,14
YDR245W,13
YBL025W,13
YGR162W,13
YLR148W,13
YJR136C,13
YIL082W,13
YLR320W,13
YGL135W,13
YOR128C,12
YIL049W,12
YLR224W,12
YLR394W,12
YDR388W,11
YLR383W,11
YNL098C,10
YMR269W,10
YKL212W,9
YDR181C,8
YKL002W,7
YJR122W,6
YER019W,5
YLR250W,4
YOR198C,4
YOR297C,3
YKL092C,3
YKL176C,3
YDR024W,3
YGR243W,3
YDR096W,3
YNL055C,2
YNL034W,2
YNL336W,2
YIL128W,2
YPL037C,2
YOR028C,2
YKR035C,2
YHR160C,2
YLR025W,1
YBR279W,1
YNL271C,1
YDL191W,1
YKL113C,1
YMR140W,1
YER116C,1
YBR189W,1
YDR038C,1
YBR299W,1
YDR225W,1
YHR205W,1
YBR054W,1
YBL100C,1
YNL192W,1
