,orf
YHR064C,31
YKL041W,31
YNL084C,30
YDL074C,29
YLR337C,27
YKL054C,26
YOL086C,26
YLR448W,25
YPL086C,25
YHL031C,25
YGL105W,24
YNL297C,24
YBR173C,24
YPL098C,23
YGR132C,23
YMR269W,22
YBR191W,22
YOR198C,22
YBR189W,22
YMR021C,22
YLR150W,21
YDR069C,21
YLR403W,21
YER117W,21
YGL095C,21
YMR300C,21
YDR289C,21
YJL180C,20
YKL134C,20
YDR129C,20
YDR382W,20
YER044C,19
YPL129W,19
YDR161W,19
YAR015W,19
YPL037C,19
YGL058W,19
YPR024W,18
YKL143W,18
YLR244C,18
YEL036C,18
YLR264W,18
YKR024C,17
YHR005C,17
YCR047C,17
YPL125W,17
YGL078C,17
YCR009C,16
YDR245W,15
YCR028C,15
YCR002C,14
YDL081C,14
YDL040C,14
YPR173C,14
YMR143W,14
YLR399C,13
YGL100W,13
YGL194C,11
YGL127C,10
YEL029C,10
YDR140W,10
YKL009W,9
YDR165W,8
YDR300C,8
YBR097W,7
YJR132W,7
YMR077C,6
YPL254W,6
YKR001C,6
YKL181W,5
YMR108W,5
YKL025C,5
YBR221C,4
YER019W,4
YEL013W,3
YPL031C,3
YPL042C,3
YGR231C,3
YLR396C,3
YDR456W,3
YEL046C,3
YJR090C,2
YGL173C,2
YCR033W,2
YBL099W,2
YLR357W,2
YGR110W,2
YKR082W,2
YPR018W,2
YJL080C,2
YHR111W,2
YDR049W,1
YOL013C,1
YIL038C,1
YBR159W,1
YNL192W,1
YIR037W,1
YNL169C,1
YNL080C,1
YKL002W,1
YER095W,1
YCR098C,1
YBR279W,1
YLR200W,1
YDR477W,1
YPR163C,1
YER041W,1
YDR162C,1
YJR121W,1
YJL110C,1
YER151C,1
YLR144C,1
YKL149C,1
YKL113C,1
YMR259C,1
YCR034W,1
YFL027C,1
YDR005C,1
YIL128W,1
YNL167C,1
