,orf
YDR292C,31
YJR041C,31
YEL019C,31
YDR041W,30
YDR002W,30
YGL201C,29
YBR167C,29
YKL058W,29
YMR236W,28
YCR012W,28
YKL112W,28
YPR181C,28
YIL115C,27
YBR049C,27
YOR004W,27
YFL017W-A,27
YER147C,27
YOR077W,27
YLR007W,27
YLR298C,27
YBR002C,26
YGL073W,26
YGR251W,26
YKL024C,26
YAR019C,26
YBR253W,26
YML125C,26
YOR157C,26
YOR224C,25
YIR022W,25
YOR362C,25
YDR086C,25
YHR196W,25
YMR260C,25
YMR213W,25
YPR103W,25
YIL129C,25
YDL087C,25
YOL077C,25
YGR048W,25
YDL004W,25
YDL141W,24
YFL038C,24
YDL097C,24
YER006W,24
YPR161C,24
YLR116W,24
YOL005C,24
YBR152W,24
YIL004C,24
YLR029C,24
YNL251C,24
YDR390C,24
YOL026C,24
YPR168W,24
YMR240C,24
YGL068W,23
YBR102C,23
YBR202W,23
YDR045C,23
YGR074W,23
YLR051C,23
YDR166C,23
YOR370C,23
YHR166C,23
YFR050C,23
YBL074C,23
YER009W,23
YDR208W,23
YOL120C,23
YNR017W,23
YDR187C,23
YCL052C,23
YGL155W,23
YIL061C,23
YDR468C,23
YFL039C,23
YLR223C,23
YNL222W,23
YPR169W,23
YKL192C,23
YNR054C,23
YCR093W,23
YOR103C,23
YER023W,22
YKL004W,22
YOR020C,22
YNL260C,22
YNL151C,22
YER146W,22
YML126C,22
YHR040W,22
YHR143W-A,22
YLR078C,22
YOR336W,22
YMR047C,22
YDR013W,22
YKL059C,22
YPR107C,22
YKL154W,22
YDR201W,22
YLR355C,22
YMR298W,22
YPR019W,22
YMR208W,22
YJR067C,22
YPR086W,22
YNL310C,22
YDL008W,22
YNL038W,22
YFR052W,21
YDR437W,21
YCL054W,21
YNL131W,21
YLR117C,21
YEL026W,21
YDR301W,21
YDR224C,21
YKL052C,21
YER112W,21
YPR048W,21
YMR059W,21
YJL143W,21
YLR274W,21
YIL068C,21
YJR022W,21
YHR036W,21
YDL208W,21
YLR147C,21
YGR030C,21
YHR101C,21
YNL124W,21
YMR185W,21
YJR017C,21
YML077W,21
YKL006C-A,21
YOR361C,21
YIL051C,20
YML114C,20
YNL002C,20
YDR394W,20
YLR409C,20
YDL148C,20
YNL061W,20
YDR527W,20
YNL245C,20
YMR227C,20
YLR008C,20
YML025C,20
YML093W,20
YMR239C,20
YGR280C,20
YIL144W,20
YOR249C,20
YIR015W,20
YLR275W,20
YDL217C,20
YGL001C,20
YLR167W,20
YIL063C,20
YGR013W,20
YKR037C,20
YLR010C,20
YGL116W,20
YBR254C,20
YHR148W,20
YNR046W,20
YDL043C,20
YDL132W,20
YLR145W,19
YKL186C,19
YOR236W,19
YPL255W,19
YDR454C,19
YNL232W,19
YAL033W,19
YKL088W,19
YOR257W,19
YNL113W,19
YHR172W,19
YBR011C,19
YDR404C,19
YKL019W,19
YJR023C,19
YAL032C,19
YOR260W,19
