,orf
YPL106C,31
YOL076W,29
YNL048W,27
YPL050C,27
YOR290C,27
YLR182W,26
YCR028C,26
YNL199C,26
YGL105W,26
YAL013W,25

YOR047C,25
YKL134C,25
YJR145C,25
YLR448W,25
YOR391C,25
YDR237W,25
YLR244C,24
YLR148W,24
YNR051C,24
YDL185W,24
YGR231C,24
YDR027C,24
YPR135W,24
YCR038C,24
YGL244W,24
YPL024W,23
YHR027C,23
YGL038C,23
YDR219C,23
YBR040W,23
YKR082W,23
YJR132W,23
YLR224W,23
YPL273W,23
YPL139C,23
YDL074C,23
YOR073W,23
YHR005C,23
YMR125W,23
YML048W,23
YHR111W,23
YBR279W,23
YGR155W,22
YHR102W,22
YPR024W,22
YLR418C,22
YMR205C,22
YEL046C,22
YMR275C,22
YCL069W,22
YFR054C,22
YBR161W,22
YKL041W,22
YDL005C,22
YKL080W,22
YJL176C,22
YLR383W,22
YMR143W,22
YPL023C,22
YDR432W,21
YOR293W,21
YKR001C,21
YDL116W,21
YLR399C,21
YBR103W,21
YAL037C-B,21
YLR324W,21
YNL280C,21
YIR033W,21
YKL113C,21
YOR036W,21
YDR349C,21
YKR092C,21
YGR162W,21
YKL073W,21
YPL125W,21
YDL146W,20
YBL113C,20
YGR118W,20
YAL026C,20
YML121W,20
YOL051W,20
YHR025W,20
YJL140W,20
YDR038C,20
YBL027W,20
YLR061W,20
YPL145C,20
YNL098C,20
YPL281C,20
YDR138W,20
YDR477W,20
YNL069C,20
YJR136C,20
YHL050C,20
YDR450W,20
YDR165W,19
YKR024C,19
YJL136C,19
YMR300C,19
YJR090C,19
YEL036C,19
YDR245W,19
YNL018C,19
YHR089C,19
YLR464W,19
YMR307W,19
YNL169C,19
YMR179W,19
YLL006W,19
YEL076C-A,19
YPL254W,19
YHR218W,19
YPL045W,19
YDR342C,19
YJL204C,19
YER095W,19
YNL236W,18
YPL042C,18
YNL336W,18
YDL013W,18
YMR133W,18
YPL086C,18
YDR343C,18
YLR338W,18
YFL066C,18
YDR069C,18
YLR452C,18
YDR520C,18
YMR021C,18
YBR189W,18
YIL072W,18
YER117W,18
YPR141C,18
YDL006W,18
YEL029C,18
YBR156C,18
YOR388C,18
YOR214C,18
YEL051W,18
YIL052C,17
YMR217W,17
YDR300C,17
YLR403W,17
YBR168W,17
YNL220W,17
YDL247W,17
YNL139C,17
YIL084C,17
YDL179W,17
YMR032W,17
YDR129C,17
YDR075W,17
YLL054C,17
YBR112C,17
YLR320W,17
YAR071W,17
YLR363C,17
YBL111C,17
YBR200W,17
YMR212C,17
YER184C,17
YGL078C,17
YER151C,17
YBL072C,16
YLR284C,16
YPR173C,16
YCR002C,16
YMR142C,16
YHR219W,16
YGL240W,16
YDR470C,16
YKL139W,16
YAL010C,16
YIL018W,16
YJL180C,16
YPL280W,16
YPR018W,16
YKL025C,16
YLR394W,16
YLR286C,16
YNL297C,16
YOL156W,15
YLR285W,15
YKL092C,15
YAL016W,15
YGR110W,15
YNL225C,15
YOR312C,15
YHR165C,15
YGR192C,14
YER074W,14
YKL054C,14
YBR097W,14
YLR337C,14
YJR121W,14
YKL143W,14
YGR240C,14
YKL006W,13
YLR423C,13
YBR302C,13
YDL040C,13
YBL099W,13
YKR035C,13
YKL181W,13
YKL202W,13
YHR205W,12
YAL063C,12
YLR268W,12
YBR170C,12
YNL302C,12
YDL191W,12
YOR393W,12
YDR195W,11
YNL271C,11
YDR161W,11
YMR140W,10
YPR139C,9
YKL121W,9
YNL186W,9
YML132W,9
YER040W,8
YML073C,8
YOR198C,8
YOR094W,8
YMR116C,8
YDR181C,7
YNL248C,7
YDR005C,7
YPL084W,7
YLR350W,7
YPL174C,7
YOR147W,7
YGL095C,6
YGR227W,6
YIL148W,6
YGR061C,6
YJR159W,6
YJL124C,6
YLR369W,6
YBR191W,6
YOR180C,6
YDR295C,6
YGR104C,6
YDR439W,5
YOR008C,5
YJL080C,5
YPL188W,5
YGR132C,4
YOR359W,4
YMR323W,4
YHL031C,4
YOL136C,4
YDR074W,3
YER190W,3
YBR063C,3
YDR456W,3
YMR108W,3
YHR213W,3
YDR395W,3
YGR092W,3
YNL119W,2
YDL160C,2
YLL046C,2
YDR289C,2
YER026C,2
YLR370C,2
YDL245C,2
YKL106W,2
YNL034W,2
YKL009W,2
YLR396C,2
YER011W,2
YPR202W,2
YDL075W,2
YPL129W,2
YPL049C,2
YLR192C,2
YDR360W,2
YOR106W,2
YER056C-A,1
YEL076C,1
YOR113W,1
YLR065C,1
YOR136W,1
YHR141C,1
YBR077C,1
YPR027C,1
YPL180W,1
YGR033C,1
YLR048W,1
YPL178W,1
YLR447C,1
YOR209C,1
YMR182C,1
YGL189C,1
YMR026C,1
YKR007W,1
YNL033W,1
YGL020C,1
YBR017C,1
YHL049C,1
YBR267W,1
YMR322C,1
YDR025W,1
YKL142W,1
YGR027C,1
YMR173W-A,1
YAR015W,1
YER029C,1
YJL222W,1
YML032C,1
YLR150W,1
YOR184W,1
YOR014W,1
YAL012W,1
YOR323C,1
YDR534C,1
YPL249C-A,1
YNL032W,1
YBL025W,1
YGL058W,1
