,orf
YFL005W,35
YDR208W,31
YGL201C,30
YIL068C,30
YMR227C,29
YDR224C,28
YDR390C,27
YOR145C,27
YGL068W,27
YGL001C,26
YDL148C,26
YGL030W,26
YOR361C,26
YCR012W,26
YMR298W,26
YDR166C,25
YPR143W,25
YCL052C,25
YDL097C,25
YLR195C,25
YFL038C,25
YPR190C,25
YLR355C,25
YPR178W,25
YBR002C,25
YNL137C,24
YNL251C,24
YNL149C,24
YHR058C,24
YDR328C,24
YHL015W,24
YCL031C,24
YNL113W,24
YDL141W,24
YNL260C,24
YJL014W,23
YBR143C,23
YBR135W,23
YMR314W,23
YNL282W,23
YOR157C,23
YML125C,23
YCR093W,23
YKL013C,23
YBR152W,23
YFR051C,23
YDL108W,23
YNR046W,23
YDR292C,22
YER009W,22
YGR158C,22
YHR083W,22
YPL255W,22
YER023W,22
YOL077C,22
YKL186C,22
YKL004W,22
YNL158W,22
YGR074W,22
YMR239C,22
YNL245C,22
YKL052C,22
YOR336W,22
YER048W-A,22
YBR254C,22
YFR002W,22
YBR211C,22
YGR280C,22
YFL017W-A,22
YBR049C,22
YOR148C,21
YHR005C-A,21
YMR240C,21
YMR260C,21
YPR169W,21
YGR147C,21
YDR394W,21
YDR054C,21
YDL217C,21
YPL124W,21
YDR404C,21
YNL244C,21
YDR196C,21
YJL143W,21
YDL208W,21
YDR454C,21
YLR117C,21
YDR437W,21
YJL072C,21
YDL087C,21
YML049C,21
YLR163C,21
YJL054W,21
YNL312W,20
YKL141W,20
YER159C,20
YDR527W,20
YGR120C,20
YBR167C,20
YLR147C,20
YIL144W,20
YER146W,20
YPR094W,20
YOR236W,20
YGR046W,20
YIL118W,20
YML025C,20
YOR077W,20
YNR054C,20
YKL024C,20
YOR020C,20
YMR059W,20
YDR468C,20
YNL061W,20
YIL104C,20
YDR002W,20
YDR086C,20
YDL139C,20
YKL059C,20
YLR022C,19
YDR412W,19
YOR159C,19
YLR008C,19
YHR196W,19
YNL110C,19
YOR362C,19
YGR095C,19
YGL245W,19
YKL060C,19
YOR210W,19
YNL124W,19
YGL061C,19
YEL034W,19
YLR007W,19
YPR016C,19
YJR022W,19
YPR168W,18
YKL154W,18
YGR172C,18
YHR172W,18
YDR041W,18
YGR156W,18
YOL034W,18
YGR277C,18
YJL090C,18
YPR086W,18
YKL042W,18
YOL021C,18
YBR109C,18
YDL166C,18
YBR192W,18
YPR181C,18
YLR438C-A,18
YIR022W,18
YNL306W,18
YMR301C,18
YOR194C,17
YPR107C,17
YJR002W,17
YOR103C,17
YCL054W,17
YGR013W,17
YJL173C,17
YNR017W,17
YPL117C,17
YNL222W,17
YDR168W,17
YPR082C,17
YNL038W,17
YOR257W,17
YML077W,17
YHR036W,17
YOR278W,17
YLR060W,17
YFL024C,16
YDR044W,16
YBR102C,16
YJR017C,16
YJR023C,16
YGR030C,16
YER112W,16
YLR223C,16
YDR187C,16
YBR253W,16
YNR026C,16
YBL074C,16
YDR308C,16
YOL127W,16
YBR155W,16
YDR177W,16
YKR062W,15
YNL178W,15
YPL211W,15
YGR191W,15
YJR041C,15
YGR065C,15
YIL051C,15
YNL240C,15
YLR145W,15
YIL062C,15
YML093W,15
YGL093W,15
YPL151C,15
YJL111W,14
YDR397C,14
YLR298C,14
YGR082W,14
YGR179C,14
YDL092W,14
YFR050C,14
YML114C,13
YJL167W,13
YER006W,13
YBR202W,13
YFL039C,13
YHR166C,13
YHR143W-A,13
YDR429C,13
YLR071C,13
YLR078C,13
YGL116W,13
YPL209C,12
YEL019C,12
YEL026W,12
YEL002C,12
YDR353W,11
YNR043W,11
YLR340W,11
YGL073W,11
YMR112C,11
YPR085C,10
YGL169W,10
YER148W,10
YPR161C,10
YOR353C,9
YNL232W,9
YPR048W,8
YLR029C,8
YKL089W,8
YDR170C,8
YHR068W,6
YJR141W,6
YOL123W,6
YBR011C,6
YBL026W,5
YOR340C,4
YLR197W,4
YDR301W,4
YNL002C,3
YOR256C,3
YIL091C,3
YKL006C-A,3
YLR336C,3
YOL120C,3
YIL142W,3
YGR140W,3
YPR133C,2
YIL061C,2
YDR160W,2
YGL238W,2
YML098W,2
YGL247W,2
YBL097W,2
YGL018C,2
YLR359W,2
YDL235C,2
YBR252W,2
YIR006C,2
YJR006W,2
YGL122C,2
YMR047C,2
YFR052W,2
YGL225W,2
YPL122C,2
YDR460W,2
YKL088W,2
YBR070C,2
YNL262W,1
YFR042W,1
YOR057W,1
YDR188W,1
YJR065C,1
YPL012W,1
YIL129C,1
YBR243C,1
YGR047C,1
YOR217W,1
YDL120W,1
YLR430W,1
YDL145C,1
YMR288W,1
YNR003C,1
YKL145W,1
YGL150C,1
YDL058W,1
YDL132W,1
YNR011C,1
YJL010C,1
YOL078W,1
YKL173W,1
YBR038W,1
YHR020W,1
YOR249C,1
YKR071C,1
YIL078W,1
YOR056C,1
