,orf
YKL139W,31
YLR061W,29
YIL018W,29
YAL063C,28
YDL116W,27
YKL143W,27
YNL169C,27
YDR300C,27
YKL202W,26
YDL006W,26
YMR125W,25
YDR075W,25
YDL191W,25
YLR320W,24
YDR165W,24
YDR129C,24
YDL185W,24
YDR138W,24
YIR033W,24
YDR245W,24
YAL026C,24
YBR103W,23
YAL016W,23
YNL225C,23
YAR071W,23
YKL092C,23
YNL018C,23
YLR403W,23
YKR035C,23
YJR121W,23
YOR388C,23
YLR284C,22
YGR192C,22
YDR038C,22
YDL013W,22
YIL072W,22
YGR240C,22
YIL084C,22
YOR293W,22
YOR290C,22
YKR014C,22
YPL050C,22
YCR002C,22
YML048W,21
YKL073W,21
YER151C,21
YBL113C,21
YMR300C,21
YDR342C,21
YJL204C,21
YLR394W,21
YNL186W,21
YMR275C,21
YKL080W,21
YBL111C,21
YGR110W,21
YKL041W,21
YLR244C,21
YDR295C,21
YDR195W,20
YNL048W,20
YMR021C,20
YMR217W,20
YOR073W,20
YLR383W,20
YGL105W,20
YMR032W,20
YDR074W,20
YBL072C,20
YJR132W,20
YNL069C,19
YEL036C,19
YER184C,19
YHR005C,19
YDR432W,19
YOR359W,19
YPL086C,19
YKR082W,19
YBR189W,19
YLR286C,19
YPL273W,19
YLR448W,19
YJR145C,19
YPL254W,19
YDR027C,19
YDR237W,18
YEL029C,18
YPR018W,18
YBR168W,18
YLR399C,18
YJL140W,18
YHR025W,18
YHR165C,18
YPL145C,18
YBR279W,18
YML121W,17
YMR143W,17
YHR111W,17
YCR038C,17
YKR001C,17
YJL176C,17
YPL045W,17
YPL042C,16
YGL038C,16
YDL146W,16
YGL078C,16
YLR224W,16
YPL049C,16
YAL037C-B,16
YOR312C,16
YPL023C,16
YNL220W,16
YBR156C,16
YDL040C,16
YLL054C,15
YCR028C,15
YDL075W,15
YDL179W,15
YKL025C,15
YOR047C,15
YBR112C,14
YNL271C,14
YOR036W,14
YNL139C,14
YMR205C,14
YGL189C,14
YNL280C,14
YLR337C,13
YKL142W,13
YMR307W,13
YPL188W,13
YGR231C,13
YPL024W,13
YHR218W,13
YHR027C,13
YBL099W,12
YPR024W,12
YKR092C,12
YNR051C,12
YLL006W,12
YIL128W,12
YDL074C,12
YML037C,11
YAL010C,11
YJL080C,11
YDR477W,11
YOR198C,10
YDR219C,10
YNL119W,10
YGL244W,9
YPR135W,9
YOL051W,9
YGR167W,9
YDR005C,8
YER040W,8
YKL121W,8
YDR096W,8
YDR069C,8
YDR349C,7
YOL004W,7
YLR234W,7
YNL336W,7
YBR063C,7
YAR015W,6
YNL199C,5
YER190W,5
YKR105C,5
YPR141C,5
YPL084W,5
YLR435W,3
YGR162W,3
YEL051W,3
YDR395W,3
YIL082W,3
YOR180C,3
YIL052C,2
YBR017C,2
YOR147W,2
YGL058W,2
YHR010W,2
YMR116C,2
YPL106C,2
YOL156W,1
YJL095W,1
YOR106W,1
YOL136C,1
YPL178W,1
YLL046C,1
YGR061C,1
YKL009W,1
YLR048W,1
YGL020C,1
YOR332W,1
YHR219W,1
YCR053W,1
YBL086C,1
YGR262C,1
YOL086C,1
YNL334C,1
YJL219W,1
YBL027W,1
YOR014W,1
YGL194C,1
YEL013W,1
YDR534C,1
YGL173C,1
YLR370C,1
YDR125C,1
YNR005C,1
