,orf
YDR301W,29
YGR251W,29
YFR002W,29
YJL143W,29
YPR055W,29
YLR022C,29
YBR252W,29
YBR135W,28
YMR047C,28
YLR117C,28
YIL068C,28
YIL061C,27
YFL024C,27
YJL173C,27
YPL122C,27
YJR023C,26
YMR240C,26
YPR178W,26
YLR275W,26
YGL093W,26
YKL192C,26
YLR355C,25
YPR133C,25
YER159C,25
YNR026C,25
YPL153C,25
YGR082W,25
YIR006C,25
YKL058W,25
YNL131W,25
YMR134W,25
YDL030W,24
YLR010C,24
YLR195C,24
YDL141W,24
YCL052C,24
YLR336C,24
YIL062C,24
YGL116W,24
YDR086C,24
YGR030C,24
YMR049C,24
YBL018C,24
YML098W,23
YIR015W,23
YIR010W,23
YMR112C,23
YDR468C,23
YIL031W,23
YPR094W,23
YNL232W,23
YLR007W,23
YOR210W,23
YPR048W,23
YKR037C,23
YBR102C,23
YDR044W,23
YOR157C,23
YGR191W,23
YNR054C,23
YMR131C,23
YER157W,23
YDR404C,23
YPR168W,23
YOR224C,22
YGR245C,22
YGL068W,22
YOR257W,22
YMR200W,22
YHR040W,22
YPL117C,22
YDR013W,22
YKL088W,22
YKL019W,22
YMR227C,22
YOR370C,22
YFR050C,22
YHR083W,22
YBR254C,22
YJL156C,22
YDL148C,22
YLR147C,22
YPL124W,22
YMR236W,22
YOL021C,22
YBL074C,22
YFL038C,22
YNL306W,22
YDL108W,22
YJR072C,22
YDL220C,22
YGL073W,21
YDR016C,21
YJR002W,21
YML093W,21
YML049C,21
YPR161C,21
YDR187C,21
YCR012W,21
YPL076W,21
YFL039C,21
YBR256C,21
YPL151C,21
YDR429C,21
YPR086W,21
YDR196C,21
YOR260W,21
YDL208W,21
YKL052C,21
YGR179C,21
YKR083C,21
YGL201C,21
YIL118W,21
YHR058C,21
YHR005C-A,21
YDR208W,20
YKL210W,20
YER009W,20
YDR397C,20
YBR011C,20
YPR169W,20
YMR093W,20
YKL006C-A,20
YML077W,20
YDR045C,20
YPL255W,20
YOR077W,20
YER104W,20
YFR052W,20
YNR011C,20
YBR202W,20
YDR454C,20
YMR301C,20
YNL244C,20
YOL040C,20
YJL014W,20
YDR527W,20
YGR156W,20
YLR409C,20
YNL240C,20
YGR280C,20
YGL097W,20
YNR046W,20
YDR394W,20
YLR029C,20
YDR041W,20
YML114C,20
YDL004W,19
YKR071C,19
YLR051C,19
YOR353C,19
YDL058W,19
YKL059C,19
YDL097C,19
YIL144W,19
YJL104W,19
YGR147C,19
YBR253W,19
YER148W,19
YLR298C,19
YDR292C,19
YHR101C,19
YLR163C,19
YML025C,19
YLR438C-A,19
YFL017W-A,19
YOR362C,19
YDR054C,19
YJR041C,19
YIL063C,19
YPR107C,19
YLR060W,19
YDL087C,19
YPL209C,19
YHR166C,19
YDL217C,19
YMR239C,19
YLR071C,19
YDR177W,19
YER112W,19
YGL030W,19
YMR260C,18
YIR022W,18
YBR142W,18
YHL015W,18
YAL032C,18
YLR078C,18
YPR082C,18
YJR067C,18
YPL094C,18
YOR148C,18
YDR390C,18
YNL260C,18
YNL310C,18
YIL051C,18
YNL038W,18
YKL013C,18
YJR022W,18
YJR093C,18
YBR152W,18
YOR361C,18
YDR168W,18
YNL137C,18
YOR145C,18
YOL133W,18
YNL245C,18
YGL245W,17
YOR336W,17
YJR017C,17
YNL061W,17
YNR016C,17
YNL158W,17
YPR108W,17
YMR298W,17
YPR181C,17
YMR213W,17
YHR172W,17
YER146W,17
YML126C,17
YKL024C,17
YLR223C,17
YHR196W,17
YKL112W,17
YPR190C,17
YOL034W,17
YMR309C,17
YJL090C,17
YDL139C,17
YJL072C,17
YBR167C,16
YLR008C,16
YAL033W,16
YBR002C,16
YPR182W,16
YBR211C,16
YCR093W,16
YMR185W,16
YDR002W,16
YLR116W,16
YDR246W,16
YPR103W,16
YKL154W,16
YPR019W,16
YBR049C,16
YEL019C,16
YJL054W,16
YNL282W,16
YBR109C,16
YCL004W,16
YDL092W,16
YOR340C,16
YOR236W,15
YEL034W,15
YOR159C,15
YGR048W,15
YDR437W,15
YOL077C,15
YOR020C,15
YIL104C,15
YCL054W,15
YER006W,15
YNL251C,15
YGR158C,15
YOL005C,15
YNL124W,15
YER048W-A,15
YHR143W-A,15
YBR070C,15
YOL026C,15
YFR051C,15
YDR164C,15
YKL004W,15
YML125C,14
YEL002C,14
YOR103C,14
YGR074W,14
YNL113W,14
YNL222W,14
YNR017W,14
YJL031C,14
YKL122C,14
YEL026W,14
YDR308C,14
YGR065C,13
YER147C,13
YDR328C,13
YGR013W,13
YKL186C,13
YDR166C,13
YKL022C,13
YLR145W,13
YNL149C,13
YNL002C,13
YGL001C,13
YMR059W,13
YIL091C,12
YGR120C,12
YIL004C,12
YMR117C,12
YER023W,12
YGL061C,11
YDR201W,10
YLR167W,10
YBL026W,9
YFL017C,9
YIL129C,9
YOR278W,8
YJL011C,8
YDL132W,8
YMR128W,8
YGL155W,7
YGL225W,6
YDR170C,6
YKL060C,6
YKR079C,5
YPL211W,5
YDL017W,5
YOR249C,5
YHR042W,5
YNL112W,4
YBR154C,4
YGL150C,4
YNL162W,4
YHR036W,3
YKL145W,3
YHR188C,3
YMR208W,3
YDL043C,3
YER094C,3
YBR192W,3
YBR060C,3
YDR460W,2
YHR068W,2
YLR323C,2
YPL020C,2
YJL174W,2
YPR183W,2
YKR086W,2
YKL042W,2
YER018C,2
YDL008W,2
YDL145C,2
YDL103C,2
YOL120C,2
YML064C,1
YBR079C,1
YFL037W,1
YPL043W,1
YPL146C,1
YLR222C,1
YGL128C,1
YHR186C,1
YDR238C,1
YDR088C,1
YGR047C,1
YKL196C,1
YGL113W,1
YOR004W,1
YGR267C,1
YJR065C,1
