,orf
YOR359W,31
YLR399C,31
YLR244C,30
YAR015W,29
YHR025W,29
YDR165W,29
YAL016W,29
YHR165C,29
YIL018W,28
YPL042C,28
YGL078C,28
YBR302C,28
YJR132W,27
YKR082W,27
YGL105W,27
YMR133W,27
YPR024W,27
YLR337C,27
YPL024W,27
YDR027C,27
YLR061W,26
YJR090C,26
YHR205W,26
YJR145C,26
YBR097W,26
YLR148W,26
YBR191W,26
YOR290C,26
YPL050C,26
YDR075W,26
YEL029C,26
YCL069W,25
YGR110W,25
YNL280C,25
YPL281C,25
YPR139C,25
YOR036W,25
YNL169C,25
YNL098C,25
YJL204C,24
YPL280W,24
YCR002C,24
YDR520C,24
YPL023C,24
YLR448W,24
YHL050C,24
YKL025C,24
YNL199C,24
YKL092C,24
YKL134C,24
YHR218W,24
YKL054C,24
YML048W,24
YHR005C,24
YBL072C,23
YKL121W,23
YPL049C,23
YPL139C,23
YMR300C,23
YBR156C,23
YEL046C,23
YNL236W,23
YKR092C,23
YJL136C,23
YHR213W,23
YNR051C,23
YPL129W,23
YMR142C,23
YDL116W,23
YLR286C,23
YDR432W,23
YML073C,23
YLR268W,22
YAL037C-B,22
YBR112C,22
YBL113C,22
YDR343C,22
YOR073W,22
YGL240W,22
YEL076C-A,22
YGR240C,22
YER074W,22
YNL048W,22
YDR129C,22
YPL086C,22
YLR338W,22
YMR032W,22
YDL146W,21
YAL013W,21
YLR320W,21
YDR349C,21
YDR245W,21
YER184C,21
YIR033W,21
YER026C,21
YOR332W,21
YPL045W,21
YGR192C,21
YKL073W,21
YDR149C,21
YOR198C,21
YBR168W,21
YKR001C,21
YLR403W,20
YHR111W,20
YLR452C,20
YMR205C,20
YDR237W,20
YLR182W,20
YBL111C,20
YDL191W,20
YDR295C,20
YOL136C,20
YBR279W,20
YJL176C,20
YDL247W,20
YLR394W,20
YJL140W,20
YDL074C,20
YNL336W,20
YJL180C,20
YPR018W,20
YLR369W,20
YDR195W,20
YGR104C,20
YLR423C,20
YDL013W,20
YPL254W,20
YOR214C,20
YBR103W,20
YDL075W,20
YNL225C,20
YLL006W,19
YEL036C,19
YOR312C,19
YJR121W,19
YAL010C,19
YIL128W,19
YMR217W,19
YNL271C,19
YDL185W,19
YGR231C,19
YCR028C,19
YNL119W,19
YAR071W,19
YKR105C,19
YFR054C,19
YMR021C,19
YDR477W,19
YHR102W,19
YIL148W,19
YDR069C,19
YOL076W,19
YKL143W,19
YDR161W,19
YDR038C,19
YGL038C,19
YKL142W,19
YPR173C,19
YMR125W,19
YPL084W,18
YLR464W,18
YLR324W,18
YMR143W,18
YOR393W,18
YBL027W,18
YBR189W,18
YLR350W,18
YER151C,18
YMR307W,18
YPL145C,18
YML132W,18
YDR342C,18
YDR450W,18
YEL076C,18
YBR200W,18
YPL273W,18
YKL113C,18
YOR293W,18
YIL084C,18
YBL099W,18
YOL051W,18
YDR219C,18
YNL069C,18
YAL026C,18
YCR038C,18
YKL181W,18
YNL033W,18
YKL041W,18
YFL066C,18
YIL052C,18
YOR047C,17
YMR212C,17
YNL139C,17
YLR383W,17
YML121W,17
YNL018C,17
YOR388C,17
YLR418C,17
YHR089C,17
YNL019C,17
YNL297C,17
YGR061C,17
YKL080W,17
YAL063C,17
YOR391C,17
YBR040W,17
YIL072W,17
YLL054C,17
YHR027C,17
YDL040C,17
YOL004W,16
YNL186W,16
YML013W,16
YPR135W,16
YOR094W,16
YEL051W,16
YDL005C,16
YHR219W,15
YKR035C,15
YGR155W,15
YER117W,15
YNL220W,15
YPL106C,15
YPR141C,15
YKR024C,15
YHR026W,15
YGL244W,15
YDR470C,15
YOL156W,15
YDR300C,15
YDR138W,15
YKL202W,14
YNL302C,14
YMR179W,14
YJR159W,14
YGR132C,14
YBR161W,14
YMR275C,13
YGR092W,13
YLR284C,13
YKL006W,13
YEL013W,13
YOR147W,13
YLR363C,13
YDR181C,13
YER095W,13
YGL095C,12
YDL006W,12
YOR008C,11
YML037C,11
YPL125W,11
YCR047C,10
YDR289C,10
YLR234W,10
YOR180C,9
YGL189C,8
YHL011C,8
YKR014C,7
YKL139W,7
YLR039C,7
YLR048W,6
YNL248C,6
YER056C-A,6
YJL080C,6
YDR439W,5
YDR040C,5
YNL197C,4
YLR224W,4
YLR157C,4
YMR269W,4
YHR010W,4
YPL090C,3
YGL100W,3
YGL258W,3
YLR370C,3
YDL061C,3
YJL110C,3
YNL034W,3
YLR192C,3
YCL067C,2
YLL007C,2
YCR039C,2
YBR170C,2
YOL086C,2
YCR033W,2
YCL068C,2
YJR136C,2
YJR140C,1
YBR173C,1
YGR243W,1
YDR137W,1
YDR360W,1
YGR167W,1
YHR215W,1
YLR435W,1
YGL022W,1
YLR158C,1
YBR221C,1
YOR113W,1
YBR063C,1
YHR141C,1
YMR173W-A,1
YBR077C,1
YDL179W,1
YDR005C,1
YMR312W,1
YHR214W,1
YER070W,1
YJR160C,1
YLR160C,1
YIL028W,1
YMR140W,1
YJL038C,1
YLR155C,1
YHR099W,1
YDR096W,1
YOR152C,1
YNL335W,1
YMR026C,1
YOR154W,1
YNL032W,1
YHL049C,1
YJL124C,1
YKL002W,1
YPL249C-A,1
