,orf
YGL122C,30
YJL076W,29
YDR160W,27
YMR131C,27
YLR005W,27
YLR323C,27
YDR141C,26
YDL017W,26
YPL012W,23
YGL169W,23
YKL144C,23
YOR340C,23
YNL007C,23
YNL039W,22
YCL043C,22
YIL075C,22
YBR004C,22
YKL082C,22
YKL210W,21
YDL102W,21
YHR068W,21
YOL094C,21
YJL104W,21
YLR066W,21
YER003C,21
YDR164C,20
YNL075W,20
YPL242C,20
YLR186W,19
YOR329C,19
YOR046C,18
YDR243C,18
YPR187W,18
YKL145W,18
YHR070W,18
YMR028W,18
YCR054C,17
YDL145C,17
YPR133C,16
YDL120W,16
YOR281C,16
YNL262W,16
YDL235C,16
YOR294W,16
YOR122C,16
YLR229C,15
YGL238W,14
YDL165W,13
YFL037W,13
YPL082C,13
YGR024C,12
YBR079C,12
YHR072W,12
YER093C,9
YBR060C,7
YDR047W,6
YGR047C,5
YJL087C,4
YGR245C,3
YIL109C,2
YJL125C,2
YOR174W,2
YLR106C,2
YMR308C,1
YGR091W,1
YOR143C,1
YNL163C,1
YGR116W,1
YBL034C,1
YPL126W,1
YOR060C,1
YPR088C,1
YNL267W,1
