,orf
YDL245C,33
YOR323C,28
YNL334C,27
YNL033W,26
YMR026C,26
YJR158W,26
YGL189C,26
YER190W,25
YOR128C,24
YPL090C,23
YJL221C,23
YLR158C,23
YGR262C,22
YAR015W,22
YHR141C,22
YLR048W,22
YOR359W,21
YDL075W,21
YDR074W,21
YHR064C,21
YDR040C,21
YIL082W,20
YOR106W,20
YPR202W,20
YGR132C,20
YOR332W,20
YER056C-A,19
YPL178W,19
YNL019C,19
YPL129W,19
YNL335W,19
YOL142W,18
YLR192C,18
YKR105C,17
YGR092W,17
YIL172C,17
YMR323W,16
YDR289C,16
YLR157C,15
YMR108W,14
YGR271C-A,14
YHL031C,14
YJL222W,14
YER026C,13
YDL160C,13
YBL086C,13
YLR160C,13
YML013W,12
YLR155C,10
YHL011C,4
YOR113W,4
YOL004W,4
YIL173W,3
YML133C,3
YLR234W,2
YCR047C,2
YIL033C,2
YDL246C,2
YIL127C,1
YOL136C,1
YDR385W,1
YKL106W,1
YMR312W,1
YKL142W,1
YDL020C,1
YNL197C,1
YGL076C,1
YNL034W,1
YPL226W,1
YML080W,1
YIL038C,1
YGL135W,1
YML037C,1
YML074C,1
YER070W,1
