,orf
YKL210W,30
YGR047C,29
YFL037W,28
YIL075C,27
YOR060C,26
YOR122C,25
YLR005W,25
YKL045W,25
YKL145W,23
YOR281C,23
YBR079C,23
YNL075W,22
YHR070W,22
YHR072W,22
YDR243C,22
YKL144C,22
YLR066W,22
YKL006W,22
YNR003C,22
YOR294W,21
YOR329C,21
YPL012W,20
YDL145C,20
YDR439W,20
YPL174C,20
YGR245C,20
YNL039W,20
YNL007C,20
YGL169W,19
YHR068W,19
YOR046C,19
YGL122C,19
YDR164C,19
YDR047W,19
YKL082C,19
YDL235C,19
YMR212C,18
YGR024C,18
YLR186W,18
YPR133C,18
YPL082C,18
YDL165W,18
YNL262W,17
YDL017W,17
YDR141C,17
YCL043C,17
YLR323C,16
YMR028W,15
YJL124C,15
YGL238W,14
YOR340C,14
YER003C,14
YDL120W,14
YMR131C,14
YJL104W,13
YGR091W,13
YPR187W,12
YDR160W,12
YJL076W,9
YOL094C,8
YDL102W,8
YBR060C,5
YNL267W,4
YHR188C,2
YER093C,2
YBR004C,1
YLR440C,1
YLL011W,1
YMR140W,1
YOR217W,1
YDR118W,1
YDR362C,1
