,orf
YMR108W,30
YNL312W,28
YIL082W,26
YJL222W,26
YGR271C-A,26
YEL076C,26
YKL142W,26
YDL045C,25
YLR048W,25
YBL086C,24
YDL160C,24
YMR323W,24
YNL033W,24
YMR312W,23
YLR192C,23
YML037C,23
YKR105C,23
YDL075W,23
YGL189C,22
YJR141W,22
YOR359W,22
YAR015W,22
YOL004W,22
YHL011C,22
YLR160C,22
YDR096W,21
YHL049C,21
YLR155C,21
YGR092W,21
YJL174W,21
YER056C-A,21
YHR064C,20
YLR234W,20
YPL129W,20
YOR332W,20
YNL034W,20
YGR262C,20
YIL173W,20
YPL090C,20
YBR192W,20
YHR141C,19
YOR106W,19
YER190W,18
YGL135W,18
YHR107C,18
YDR289C,18
YJR158W,18
YPR202W,17
YLR157C,17
YER026C,17
YLR158C,17
YGR132C,17
YDR074W,16
YDL020C,16
YNL334C,16
YKL042W,16
YNL335W,16
YMR026C,16
YIL172C,16
YCR047C,15
YNL019C,15
YJL221C,14
YDL245C,13
YOR128C,13
YKL060C,11
YCR009C,10
YOL142W,9
YCL068C,6
YHL031C,6
YGR120C,4
YDL246C,4
YBR063C,3
YOL136C,2
YDR207C,2
YFL005W,2
YER070W,1
YNL119W,1
YGL258W,1
YHR026W,1
YGL173C,1
YGL150C,1
YOR113W,1
YDR127W,1
