,orf
YMR212C,30
YLR229C,28
YPL126W,27
YJL124C,26
YGL238W,26
YDL102W,25
YGL169W,25
YLR323C,25
YJL076W,25
YGR091W,25
YPR187W,24
YJL104W,23
YCR054C,23
YLR350W,23
YPL082C,22
YOR046C,22
YKL082C,22
YER093C,21
YDR164C,21
YPL266W,21
YGL122C,21
YBL034C,20
YMR131C,20
YDL111C,19
YMR028W,19
YDL165W,19
YHR188C,19
YBR123C,19
YNL267W,19
YHR068W,18
YER003C,18
YNL112W,18
YDL017W,18
YDL120W,18
YDL235C,18
YLR186W,17
YDR141C,16
YOR340C,16
YDR047W,16
YBR060C,16
YPR133C,15
YGR024C,14
YJL034W,14
YOL094C,14
YMR140W,13
YOR094W,13
YCL043C,13
YNL262W,12
YDR118W,10
YLR132C,3
YOR262W,3
YDR460W,3
YOR217W,2
YOR174W,2
YLR106C,1
YLR234W,1
YDR096W,1
YJL125C,1
YGL137W,1
YOR373W,1
