,orf
YDL220C,32
YIL031W,30
YDR394W,30
YGR082W,29
YLR010C,29
YMR213W,29
YDR246W,29
YJL156C,28
YBR211C,28
YGR048W,27
YDR196C,27
YKR083C,27
YKR038C,27
YOR278W,27
YGR074W,27
YER157W,27
YFL024C,27
YBR049C,27
YHR172W,27
YGL001C,27
YDR044W,27
YDR054C,26
YGR147C,26
YAR008W,26
YDL008W,26
YOR004W,26
YDL217C,26
YDL004W,26
YBR256C,26
YNL306W,26
YBR202W,26
YHR005C-A,25
YHR101C,25
YHR083W,25
YOR361C,25
YJR023C,25
YOL133W,25
YBR109C,25
YLR223C,25
YGR030C,25
YDR527W,25
YFR051C,25
YKL058W,25
YNL244C,25
YMR309C,25
YDR397C,24
YOR236W,24
YGR179C,24
YKL192C,24
YPL020C,24
YHR148W,24
YPR048W,24
YGL169W,24
YMR047C,24
YOR224C,24
YMR185W,24
YOR157C,24
YER048W-A,24
YBR002C,24
YNR017W,24
YOR148C,23
YMR236W,23
YPR169W,23
YOR260W,23
YKR037C,23
YKL022C,23
YDR201W,23
YKL024C,23
YOL026C,23
YMR049C,23
YOL005C,23
YPL153C,23
YMR093W,23
YGR251W,23
YFR052W,23
YDR045C,23
YJR072C,23
YGL201C,22
YMR200W,22
YPL117C,22
YLR195C,22
YML114C,22
YMR301C,22
YFL017W-A,22
YLR022C,22
YNL260C,22
YGL093W,22
YFL038C,22
YLR336C,22
YER006W,22
YIL115C,22
YNL222W,22
YOR159C,22
YNL151C,22
YCL004W,22
YNL149C,22
YLR275W,22
YMR112C,22
YGL116W,22
YLR163C,22
YDL097C,22
YGR191W,22
YBR102C,22
YKL059C,22
YJL072C,21
YPL211W,21
YJL014W,21
YDL087C,21
YGR013W,21
YNR026C,21
YPR019W,21
YLR116W,21
YPR161C,21
YOL021C,21
YPL124W,21
YDR437W,21
YGL150C,21
YDL058W,21
YIR010W,21
YDR224C,21
YML126C,21
YPR182W,21
YBL018C,21
YDL208W,21
YDR468C,21
YJL173C,21
YFR050C,21
YPR107C,21
YFR002W,21
YFL039C,21
YBR167C,21
YLR438C-A,21
YGL097W,21
YBR253W,20
YDR177W,20
YMR117C,20
YLR060W,20
YBR142W,20
YEL034W,20
YER023W,20
YEL026W,20
YJL054W,20
YNL240C,20
YLR409C,20
YKL112W,20
YER009W,20
YKL052C,20
YOR249C,20
YPR103W,20
YJR041C,20
YLR274W,20
YPR094W,20
YDR041W,20
YNL002C,20
YPR133C,20
YGL030W,20
YDR292C,20
YOR353C,20
YDR429C,20
YCR093W,20
YOR020C,20
YCL052C,19
YKL088W,19
YJR017C,19
YDR187C,19
YNL113W,19
YLR071C,19
YIL129C,19
YNR046W,19
YGL068W,19
YDR328C,19
YNR016C,19
YCL054W,19
YIL091C,19
YDR013W,19
YNL038W,19
YML025C,19
YBR135W,19
YIL068C,19
YGR158C,19
YGL061C,19
YBL074C,19
YER159C,19
YJR093C,19
YPL122C,19
YEL002C,19
YGR280C,19
YIR006C,19
YBR152W,19
YLR008C,19
YOL120C,18
YLR167W,18
YBR234C,18
YKL013C,18
YPR082C,18
YGL073W,18
YBR254C,18
YHR196W,18
YER112W,18
YOR145C,18
YDR308C,18
YBR070C,18
YML125C,18
YDL030W,18
YER146W,18
YPL255W,18
YPL094C,18
YDR170C,18
YOR362C,18
YNL124W,18
YKR071C,18
YIL062C,18
YDR208W,18
YNL137C,18
YJR022W,18
YPR181C,18
YDL139C,17
YBR011C,17
YOR294W,17
YDR404C,17
YDL132W,17
YNL251C,17
YJR002W,17
YHL015W,17
YLR298C,17
YDL148C,17
YHR040W,17
YOL034W,17
YPR108W,17
YMR059W,17
YML098W,17
YMR260C,17
YER148W,17
YGR065C,17
YDR454C,17
YAL032C,17
YDR240C,17
YHR058C,17
YPL209C,17
YAR019C,17
YJL143W,17
YJL090C,17
YKL019W,17
YIL104C,17
YLR145W,17
YLR147C,17
YEL019C,17
YNL232W,17
YOR103C,17
YPR190C,17
YPL151C,17
YDR166C,17
YDR002W,16
YIR022W,16
YMR298W,16
YMR239C,16
YER012W,16
YGL245W,16
YKR079C,16
YHR143W-A,16
YKL006C-A,16
YKL004W,16
YPR168W,16
YDL141W,16
YMR240C,16
YPR086W,16
YOR257W,16
YOR370C,16
YML049C,16
YCR012W,15
YKL154W,15
YJL011C,15
YOR336W,15
YDR086C,15
YOL077C,15
YMR227C,15
YBR252W,15
YHR036W,15
YGR120C,15
YIR015W,15
YIL061C,15
YDR390C,15
YKL186C,14
YML077W,14
YPR055W,14
YHR166C,14
YNL061W,14
YNL158W,14
YNL282W,14
YDL043C,14
YNR011C,14
YNR054C,14
YML093W,14
YOR077W,14
YOR210W,14
YDL108W,14
YIL063C,14
YJR067C,13
YER147C,13
YIL144W,13
YOL040C,13
YPL063W,13
YER104W,13
YAL033W,13
YLR078C,13
YIL118W,13
YNL310C,13
YLR355C,13
YPL076W,13
YDL092W,13
YLR029C,13
YNL245C,13
YDR168W,13
YLR117C,13
YLR007W,13
YLR051C,12
YFL017C,12
YPR178W,12
YDR016C,12
YDR164C,12
YBL026W,12
YMR134W,11
YJL031C,11
YGR156W,11
YMR197C,10
YIL051C,10
YNL131W,10
YDR301W,9
YKL060C,8
YKL141W,8
YGL225W,8
YFL005W,8
YDR141C,7
YOL127W,7
YDL166C,7
YOR256C,7
YOL094C,7
YDL145C,7
YGL155W,6
YCL017C,6
YBR004C,5
YDR211W,5
YDR047W,5
YOR143C,5
YOR340C,5
YKL145W,4
YPL082C,4
YLR106C,3
YNL110C,3
YNL162W,3
YJL174W,3
YPL012W,3
YHR072W,3
YHR042W,2
YBR154C,2
YOR181W,2
YJL076W,2
YDL147W,2
YFR042W,2
YPR088C,2
YMR208W,2
YIL142W,2
YDR021W,1
YJL104W,1
YKL014C,1
YHR070W,1
YAR007C,1
YKL082C,1
YJL050W,1
YOL022C,1
YDL105W,1
YDR412W,1
YLR249W,1
YGL113W,1
YKL144C,1
YOL078W,1
YHR122W,1
YOR281C,1
YLR075W,1
YER003C,1
YDR243C,1
YHR088W,1
YKL042W,1
YPL028W,1
YDR362C,1
YGL247W,1
YNL075W,1
YBR123C,1
YMR314W,1
YNL007C,1
YDL209C,1
YHR068W,1
YGR245C,1
