,orf
YJL140W,31
YKR024C,31
YBL113C,29
YJR159W,28
YKL181W,28
YCR028C,27
YBL027W,27
YNL302C,27
YJL204C,27
YHL050C,26
YDL146W,26
YML121W,26
YKL139W,26
YDR195W,26
YPL024W,26
YNL186W,26
YNR051C,26
YMR125W,26
YJL180C,26
YDR129C,25
YOL076W,25
YKL202W,25
YHR102W,25
YOL051W,25
YLR418C,25
YMR275C,25
YNL236W,25
YLR182W,25
YDR450W,25
YGR118W,25
YDR349C,25
YDL075W,24
YHR165C,24
YBR097W,24
YPR139C,24
YOR198C,24
YGR162W,24
YMR032W,24
YML132W,24
YBR112C,24
YMR217W,24
YPL139C,24
YLL006W,24
YDR149C,23
YLR338W,23
YDR470C,23
YLR423C,23
YFR054C,23
YKR092C,23
YLR383W,23
YML013W,23
YDR432W,23
YGR104C,23
YMR205C,23
YNL199C,23
YNL280C,23
YKL080W,23
YAL016W,22
YGR240C,22
YPR173C,22
YFL066C,22
YBR200W,22
YLR148W,22
YDR245W,22
YNL225C,22
YEL013W,22
YBR040W,22
YGL105W,22
YBL099W,22
YGR132C,22
YML073C,22
YPL273W,22
YDR342C,22
YJL136C,22
YHR219W,22
YOR214C,22
YAL037C-B,22
YIL084C,22
YLR224W,22
YLR394W,22
YLR464W,22
YGL244W,22
YPL023C,22
YER190W,22
YDR161W,21
YMR143W,21
YNL069C,21
YMR116C,21
YHR027C,21
YDL013W,21
YLR452C,21
YAR015W,21
YDR138W,21
YOR094W,21
YMR307W,21
YGR155W,21
YPL125W,21
YKL092C,21
YDL006W,21
YGR231C,21
YBR170C,21
YOR073W,21
YIL072W,21
YBR302C,21
YKL041W,21
YHR089C,21
YAR071W,21
YNL220W,21
YBR161W,20
YPL145C,20
YOR391C,20
YDR343C,20
YHR005C,20
YCR038C,20
YKL054C,20
YJR121W,20
YGR110W,20
YER095W,20
YDL116W,20
YPL280W,20
YOR393W,20
YGL189C,20
YDL074C,20
YHR218W,20
YPL042C,20
YDR027C,20
YOR312C,20
YLR337C,19
YIL052C,19
YLR061W,19
YLR268W,19
YGL095C,19
YBL072C,19
YJL080C,19
YML048W,19
YIL148W,19
YKL006W,19
YNL139C,19
YPL045W,19
YGL240W,19
YDR038C,19
YLR363C,19
YLR403W,19
YLR285W,19
YJR136C,19
YBR279W,19
YHR111W,19
YLR350W,19
YBR189W,19
YEL051W,19
YLR448W,19
YLR324W,18
YDR219C,18
YDL040C,18
YPR018W,18
YBR168W,18
YJR090C,18
YMR212C,18
YBL111C,18
YBR191W,18
YIL018W,18
YOR180C,18
YMR142C,18
YDR520C,18
YJL176C,18
YDR300C,18
YPL106C,18
YOR293W,18
YOR290C,18
YJR132W,18
YNL048W,18
YPL084W,18
YDL191W,18
YGL038C,18
YDL185W,18
YPL281C,17
YLR244C,17
YNL336W,17
YLR399C,17
YKL113C,17
YOL156W,17
YKL073W,17
YLR320W,17
YMR179W,17
YDL247W,17
YBR156C,17
YJR145C,17
YKR035C,17
YMR133W,17
YEL036C,17
YGR192C,17
YIR033W,17
YNL098C,17
YKL143W,17
YER117W,17
YGR262C,17
YGR092W,17
YAL010C,17
YNL297C,16
YEL046C,16
YNL018C,16
YDR165W,16
YMR300C,16
YER184C,16
YLR435W,16
YDR069C,16
YNL169C,16
YLL054C,16
YPL254W,16
YKR001C,15
YDR075W,15
YKL134C,15
YPL050C,15
YGL078C,15
YLR284C,15
YPR024W,15
YNL271C,15
YAL013W,15
YDR237W,15
YKR082W,15
YOR388C,14
YPL086C,14
YAL063C,14
YLR286C,14
YMR021C,14
YEL076C-A,14
YDR439W,14
YER056C-A,14
YHR025W,14
YDR477W,14
YAL026C,14
YBR103W,14
YKL121W,14
YNL248C,14
YEL029C,13
YOR323C,13
YKL025C,13
YOR128C,13
YER040W,13
YER074W,13
YCL069W,13
YCR002C,13
YPR135W,12
YDR295C,12
YOR036W,12
YPL188W,12
YPR141C,12
YDL005C,12
YOR106W,12
YLR048W,11
YPL129W,11
YJL221C,11
YDL179W,11
YIL172C,11
YER151C,10
YIL127C,10
YOR332W,9
YDR289C,8
YOR008C,7
YDR395W,7
YKR014C,7
YHL031C,6
YER026C,6
YKR007W,6
YOR147W,5
YOR359W,5
YLR039C,4
YOL136C,4
YEL044W,4
YHR213W,4
YGR033C,3
YPL049C,3
YNL334C,3
YGL135W,3
YBR017C,3
YOR047C,3
YNL034W,3
YLR369W,3
YDR181C,3
YPL090C,3
YLR192C,3
YNL033W,3
YIL128W,3
YNL174W,2
YKL009W,2
YNL019C,2
YGL058W,2
YOL142W,2
YNL119W,2
YPL178W,2
YNL084C,2
YHR205W,2
YCL068C,2
YOL079W,1
YMR173W-A,1
YDR515W,1
YLR065C,1
YLR155C,1
YPR202W,1
YPL226W,1
YEL076C,1
YJL222W,1
YOR113W,1
YKL048C,1
YGR167W,1
YLR370C,1
YCL001W-A,1
YNR023W,1
YGR293C,1
YDR025W,1
YGR061C,1
YLR157C,1
YJR158W,1
YPR164W,1
YGR271C-A,1
YIL082W,1
YOR009W,1
YPL033C,1
