,orf
YDR328C,32
YDR429C,32
YIR010W,31
YNR011C,31
YJL174W,31
YBR202W,30
YGR065C,30
YDR177W,29
YOL034W,29
YPR019W,29
YCR012W,28
YBR002C,28
YIL063C,28
YML064C,28
YLR116W,28
YJL034W,28
YOL077C,28
YDR054C,28
YGR179C,27
YMR185W,27
YHR143W-A,27
YML098W,27
YIR015W,26
YIL004C,26
YBR102C,26
YER012W,26
YNL113W,26
YBR167C,26
YDR016C,26
YER112W,26
YLR022C,26
YMR049C,25
YNL282W,25
YBR070C,25
YKL154W,25
YBL018C,25
YBR253W,25
YOR336W,25
YNR017W,25
YMR213W,25
YMR240C,25
YOR370C,25
YKL112W,25
YLR145W,25
YMR301C,25
YFR051C,25
YMR260C,25
YKR071C,24
YGL245W,24
YJL014W,24
YIL031W,24
YFL005W,24
YIR022W,24
YDL166C,24
YOR224C,24
YOR020C,24
YIL051C,24
YPR082C,24
YJL156C,24
YNL038W,24
YOR145C,24
YDL217C,24
YBR252W,24
YPL117C,24
YDL097C,24
YDL208W,23
YGL068W,23
YJR072C,23
YKL122C,23
YNL310C,23
YLR355C,23
YMR134W,23
YIL118W,23
YMR112C,23
YPR181C,23
YEL026W,23
YOR361C,23
YJL054W,23
YJR002W,23
YNL245C,23
YLR029C,23
YER146W,23
YKR083C,23
YOR249C,23
YIL062C,22
YJR041C,22
YDL148C,22
YLR195C,22
YKL022C,22
YDL220C,22
YHR172W,22
YGR013W,22
YDR208W,22
YDR170C,22
YBR109C,22
YDR045C,22
YCR093W,22
YHR036W,22
YMR093W,22
YKL024C,22
YPR086W,22
YOL005C,22
YBR154C,22
YMR200W,22
YMR298W,22
YDR468C,22
YPR055W,22
YEL002C,22
YNL162W,22
YIL068C,22
YDR168W,22
YKL059C,22
YDR308C,22
YGL001C,22
YAL032C,22
YMR059W,21
YEL019C,21
YER157W,21
YDL139C,21
YOR340C,21
YKL019W,21
YER006W,21
YDR397C,21
YOR236W,21
YDL108W,21
YHR058C,21
YOL026C,21
YKR037C,21
YBL026W,21
YHR005C-A,21
YOR157C,21
YDL141W,21
YKL052C,21
YCL052C,21
YPL151C,21
YNL251C,21
YJL072C,21
YHR166C,21
YER147C,21
YLR275W,21
YDR201W,21
YBR135W,21
YDR086C,21
YOR257W,21
YPL124W,21
YPR190C,21
YKL004W,21
YLR438C-A,21
YML114C,21
YBR011C,20
YGR280C,20
YLR298C,20
YEL034W,20
YOL127W,20
YER148W,20
YDR394W,20
YKL192C,20
YOL133W,20
YFR050C,20
YPL076W,20
YGR156W,20
YIR006C,20
YNR026C,20
YER009W,20
YNL222W,20
YHR101C,20
YIL104C,20
YOR353C,20
YKL186C,20
YPR168W,20
YIL144W,20
YOR159C,20
YKL006C-A,20
YDR292C,20
YPR161C,20
YJR017C,20
YML126C,20
YKL042W,20
YGL116W,20
YDR437W,20
YKL058W,20
YNL158W,19
YDR527W,19
YGL093W,19
YOR103C,19
YPR108W,19
YER159C,19
YJR067C,19
YDR390C,19
YNL260C,19
YLR010C,19
YNR016C,19
YOL021C,19
YLR071C,19
YIL115C,19
YDR404C,19
YDR246W,19
YPL255W,19
YOR278W,19
YGR030C,19
YLR078C,19
YPR133C,19
YAL033W,19
YLR051C,19
YPR048W,19
YBR142W,19
YML049C,18
YDL008W,18
YNL306W,18
YML093W,18
YPR107C,18
YPL209C,18
YNL137C,18
YDL004W,18
YMR239C,18
YPR178W,18
YFL038C,18
YOL040C,18
YBR256C,18
YHR040W,18
YGL073W,18
YER048W-A,18
YDR196C,18
YGL030W,18
YNL002C,18
YGR147C,18
YPL153C,18
YML077W,17
YDL092W,17
YOR077W,17
YGR158C,17
YKL088W,17
YJR093C,17
YML125C,17
YLR008C,17
YJR022W,17
YLR336C,17
YNR054C,17
YML025C,17
YPL094C,17
YBR049C,17
YPR169W,17
YER023W,17
YHL015W,17
YFL017W-A,17
YBR211C,17
YFR002W,17
YLR117C,17
YLR223C,17
YNL149C,17
YKL013C,17
YOR362C,17
YNL131W,17
YDL087C,17
YDR002W,17
YCL054W,17
YGL097W,16
YPL122C,16
YJR023C,16
YDR454C,16
YBR254C,16
YKL141W,16
YPR182W,16
YDR187C,16
YGR074W,16
YLR007W,16
YLR147C,16
YNL244C,16
YJL143W,16
YOR210W,16
YGR251W,16
YBR152W,16
YPL211W,16
YHR083W,16
YBL074C,16
YLR163C,15
YNL124W,15
YHR196W,15
YGL061C,15
YJL011C,15
YGL201C,15
YOR004W,15
YIL061C,15
YMR309C,15
YGR082W,15
YNL240C,15
YJL090C,14
YNL112W,14
YDR166C,14
YOR148C,14
YGR191W,14
YKL060C,14
YPR103W,14
YJL173C,14
YFL024C,14
YLR060W,14
YNL232W,14
YGR120C,14
YPL063W,14
YPR094W,13
YFR042W,13
YMR047C,13
YDR013W,13
YLR167W,13
YCL004W,13
YFL039C,13
YGL225W,13
YDR041W,13
YMR227C,12
YDR044W,12
