,orf
YBR112C,34
YGR231C,30
YLR182W,30
YKL041W,29
YDR027C,29
YAR071W,28
YDR038C,27
YJL136C,27
YOR312C,27
YHR111W,27
YBR168W,27
YDL040C,27
YKL080W,27
YPL139C,27
YGR192C,27
YPR018W,26
YBL027W,26
YGL244W,26
YHL050C,26
YBR189W,26
YBR279W,26
YNL098C,26
YOL051W,26
YLR403W,26
YGL240W,26
YGR240C,26
YIL084C,26
YOR214C,25
YER117W,25
YMR021C,25
YNL297C,25
YBL113C,25
YDR300C,25
YDL005C,25
YDL116W,25
YMR300C,25
YDR349C,25
YPL086C,25
YAL016W,25
YOR147W,25
YPL084W,25
YNL048W,24
YOR388C,24
YLR464W,24
YDR245W,24
YOR293W,24
YEL036C,24
YEL051W,24
YBL086C,24
YKL113C,24
YMR143W,24
YBL072C,24
YOL136C,23
YPL254W,23
YDR129C,23
YLR244C,23
YML048W,23
YHR218W,23
YDL146W,23
YPL042C,23
YEL029C,23
YDR161W,23
YMR133W,23
YLR350W,22
YAL063C,22
YGL105W,22
YJL080C,22
YEL046C,22
YAL037C-B,22
YNL302C,22
YNL139C,22
YAL026C,22
YLR452C,22
YCR028C,22
YDR342C,22
YHR102W,21
YHR025W,21
YPL023C,21
YLR148W,21
YER151C,21
YKL134C,21
YDR470C,21
YDR295C,21
YJL180C,21
YKL202W,21
YLR423C,21
YGR110W,21
YEL076C-A,21
YKL054C,21
YDR195W,21
YJR132W,21
YLR394W,21
YLR399C,21
YER095W,20
YER184C,20
YLR448W,20
YPL045W,20
YNL220W,20
YOR393W,20
YBR200W,20
YLL054C,20
YNL186W,20
YDR219C,20
YIL018W,20
YHR005C,20
YDR069C,20
YNL199C,20
YDR520C,20
YLR383W,20
YMR032W,20
YDR343C,20
YLR324W,20
YDR237W,19
YNR051C,19
YHR205W,19
YKR092C,19
YOR036W,19
YKR082W,19
YOR290C,19
YBL111C,19
YKL143W,19
YML073C,19
YNL069C,19
YMR179W,19
YKR035C,19
YDR138W,19
YDR450W,19
YGL078C,19
YCR038C,19
YAL013W,19
YMR205C,19
YBR156C,19
YMR307W,19
YCL069W,19
YML121W,19
YJL176C,19
YKL092C,18
YKL121W,18
YER190W,18
YFL066C,18
YHR219W,18
YNL018C,18
YMR217W,18
YNL119W,18
YPL125W,18
YIL052C,18
YKL073W,18
YBR097W,18
YHR165C,18
YPR141C,18
YLR286C,18
YJR090C,18
YLR061W,18
YIL148W,18
YJL204C,18
YPL050C,18
YNL169C,17
YPL280W,17
YPR024W,17
YAL010C,17
YCR002C,17
YPL049C,17
YKL181W,17
YDL006W,17
YMR125W,17
YLR320W,17
YLL006W,17
YKL025C,17
YMR275C,17
YPL273W,17
YLR284C,17
YNL336W,17
YDL013W,16
YLR418C,16
YGL038C,16
YNL280C,16
YDL185W,16
YKL139W,16
YDR075W,16
YMR142C,16
YBR302C,16
YPL145C,16
YIL072W,16
YDL074C,16
YML132W,16
YDR207C,16
YKR024C,16
YDR477W,16
YDL247W,16
YOR073W,15
YKR001C,15
YBL099W,15
YBR103W,15
YPR135W,15
YPL281C,15
YNL225C,15
YDL179W,15
YDL191W,15
YHR027C,15
YLR268W,15
YLR337C,15
YDR432W,15
YPL024W,15
YNL236W,15
YPR173C,14
YJR136C,14
YIR033W,14
YNL248C,13
YHR089C,13
YDR165W,13
YJL140W,13
YJR145C,13
YOR198C,13
YGL095C,13
YML037C,12
YOL076W,12
YFR054C,12
YJR121W,12
YBR040W,12
YMR212C,11
YER074W,11
YDR289C,11
YGR132C,11
YLR338W,11
YGR104C,11
YGR155W,11
YOR047C,11
YOR391C,11
YDL075W,11
YLR250W,10
YJR159W,10
YPR139C,9
YOR094W,9
YIL128W,9
YLR370C,9
YNL271C,9
YBR191W,8
YOL004W,7
YPR202W,4
YGR061C,4
YHL011C,4
YDR395W,4
YBR161W,4
YGR162W,4
YJR158W,4
YKL142W,4
YGR167W,4
YNL033W,3
YHR141C,3
YDR149C,3
YBR063C,3
YMR140W,3
YNL197C,3
YLR048W,3
YDL245C,3
YJL221C,2
YMR108W,2
YHR099W,2
YOR209C,2
YNL032W,2
YNL019C,2
YDR439W,2
YML112W,2
YMR116C,2
YPL129W,2
YOR008C,2
YGL025C,2
YDR181C,1
YOL086C,1
YOR184W,1
YER107C,1
YDR173C,1
YLR435W,1
YER047C,1
YCL067C,1
YGL194C,1
YBR221C,1
YPL174C,1
YHR129C,1
YEL034C-A,1
YDR074W,1
YPL090C,1
YIL172C,1
YLR160C,1
YIL028W,1
YAR014C,1
YIL033C,1
YLR224W,1
YLR369W,1
YPL180W,1
YGR118W,1
YPL167C,1
YOR332W,1
