n_tree,n_feature,n_max_depth,n_bootstrap,accuracy
11,6,17,1109,0.8837675350701403
18,5,4,1001,0.8817635270541082
13,6,16,1556,0.8637274549098196
13,7,17,1086,0.8777555110220441
18,4,7,1864,0.8697394789579158
22,5,19,1239,0.8557114228456913
16,4,7,2366,0.875751503006012
24,6,6,2176,0.8777555110220441
20,5,15,2339,0.8837675350701403
3,8,14,2503,0.9138276553106213
3,5,11,2060,0.8917835671342685
10,5,13,2556,0.9078156312625251
28,7,11,1651,0.8677354709418837
27,4,13,2147,0.8797595190380761
25,7,7,1951,0.8517034068136272
19,6,17,2245,0.8977955911823647
8,6,11,1849,0.8997995991983968
10,7,3,1230,0.87374749498998
13,8,10,1976,0.8857715430861723
23,4,14,2109,0.8917835671342685
8,4,13,1236,0.8897795591182365
7,5,14,2264,0.8857715430861723
22,6,13,2293,0.8717434869739479
21,8,6,2576,0.8717434869739479
4,8,5,2408,0.9138276553106213
19,4,4,2878,0.8697394789579158
21,4,3,1996,0.8977955911823647
22,6,18,2769,0.8837675350701403
29,4,12,2820,0.9018036072144289
27,6,11,2758,0.8957915831663327
22,6,7,2282,0.8677354709418837
18,4,3,2812,0.9098196392785571
14,6,9,1166,0.8817635270541082
23,5,16,2896,0.8917835671342685
4,5,8,2213,0.8917835671342685
14,8,8,1545,0.8777555110220441
11,8,5,2043,0.8717434869739479
5,8,5,1291,0.8657314629258517
8,8,8,1319,0.8837675350701403
9,4,8,2121,0.905811623246493
23,7,6,1832,0.8637274549098196
22,8,19,1944,0.8677354709418837
28,7,19,1956,0.8496993987975952
25,7,15,1877,0.87374749498998
8,6,19,2449,0.8817635270541082
23,8,12,1880,0.843687374749499
6,7,4,2593,0.8977955911823647
16,4,8,1064,0.8697394789579158
16,7,11,2791,0.8657314629258517
21,5,10,1747,0.87374749498998
20,8,12,1641,0.8957915831663327
13,8,10,1526,0.8817635270541082
11,7,5,2811,0.8817635270541082
7,8,8,1712,0.8917835671342685
18,5,19,1465,0.9158316633266533
22,7,18,1511,0.8997995991983968
3,8,3,1017,0.8877755511022044
27,7,8,1219,0.8797595190380761
11,6,4,2242,0.9038076152304609
19,6,15,2040,0.8917835671342685
20,5,16,1666,0.8817635270541082
25,5,5,1886,0.8877755511022044
9,4,11,2800,0.8797595190380761
12,8,4,2499,0.8977955911823647
20,7,13,1523,0.8977955911823647
13,7,17,1982,0.9038076152304609
17,5,17,2770,0.8657314629258517
18,7,11,1414,0.8917835671342685
12,4,10,2035,0.8817635270541082
26,6,13,1212,0.905811623246493
