n_tree,n_feature,n_max_depth,n_bootstrap,accuracy
25,8,16,2316,0.875945537065053
11,6,8,2384,0.9515885022692889
21,5,8,1226,0.9258698940998488
28,9,19,1622,0.9228441754916793
4,9,14,2554,0.9440242057488654
4,5,10,2010,0.9409984871406959
5,5,17,1577,0.9379727685325264
29,5,18,2185,0.9183055975794251
10,7,5,2597,0.9470499243570348
13,7,12,2265,0.9440242057488654
15,4,14,2479,0.9470499243570348
29,7,12,2258,0.9394856278366112
5,8,18,2349,0.9606656580937972
15,8,3,2637,0.9561270801815431
5,7,19,1297,0.9515885022692889
21,8,19,2668,0.9349470499243571
10,8,11,1080,0.9500756429652042
4,9,19,2235,0.9500756429652042
19,8,11,2018,0.9440242057488654
25,7,16,1910,0.9561270801815431
19,6,14,2518,0.9455370650529501
26,7,12,2894,0.9440242057488654
24,7,6,1684,0.9364599092284418
18,7,3,2130,0.9425113464447806
20,7,4,2775,0.9334341906202723
20,8,14,1771,0.9409984871406959
3,9,11,2544,0.9379727685325264
26,6,10,1057,0.9273827534039334
8,9,8,2817,0.9455370650529501
