forest,accuracy,total_tree
forest_29_5_18_1929_91.0,0.9102209944751382,273
forest_17_9_12_1773_91.0,0.9129834254143646,17
forest_11_8_14_1532_90.0,0.9033149171270718,28
forest_19_9_16_1391_93.0,0.9267955801104972,47
forest_28_10_9_1459_93.0,0.930939226519337,75
forest_16_4_19_1090_95.0,0.9475138121546961,91
forest_18_10_10_1192_94.0,0.9392265193370166,109
forest_22_7_3_1863_93.0,0.9323204419889503,131
forest_18_8_5_1098_92.0,0.9226519337016574,149
forest_25_6_3_1630_93.0,0.925414364640884,174
forest_21_6_9_1649_91.0,0.9088397790055248,195
forest_18_9_6_1632_93.0,0.9281767955801105,213
forest_28_10_7_1364_93.0,0.925414364640884,241
forest_29_4_10_1508_92.0,0.919889502762431,270
forest_16_4_9_1940_93.0,0.9323204419889503,286
forest_16_6_18_1632_93.0,0.9337016574585635,302
forest_29_5_7_1879_91.0,0.9088397790055248,331
