n_tree,n_feature,n_max_depth,n_bootstrap,accuracy
6,8,13,1518,0.8717434869739479
12,4,11,2440,0.8817635270541082
21,6,11,1045,0.8557114228456913
6,8,7,2341,0.8877755511022044
9,7,14,2181,0.8637274549098196
8,6,14,1128,0.8857715430861723
12,4,13,2032,0.8837675350701403
14,4,3,1491,0.8677354709418837
21,7,11,1645,0.8617234468937875
10,8,10,2773,0.8937875751503006
18,4,15,2492,0.8957915831663327
12,4,13,2736,0.8817635270541082
10,4,18,2433,0.8877755511022044
19,4,12,2453,0.8797595190380761
3,8,3,1940,0.9118236472945892
10,7,9,1443,0.8597194388777555
12,8,15,2768,0.905811623246493
20,4,16,2692,0.8797595190380761
16,7,9,1307,0.8897795591182365
4,8,5,1630,0.8777555110220441
25,5,3,2181,0.8657314629258517
15,7,13,2299,0.8857715430861723
29,5,14,1403,0.8957915831663327
9,4,14,2443,0.8937875751503006
13,5,6,1492,0.8817635270541082
13,7,10,1741,0.8977955911823647
29,5,16,2620,0.8577154308617234
10,5,4,1022,0.9118236472945892
20,6,10,2362,0.9038076152304609
24,5,9,2145,0.8897795591182365
18,6,12,1491,0.8897795591182365
12,4,11,2309,0.8557114228456913
21,6,10,2879,0.875751503006012
13,4,4,1696,0.8777555110220441
27,5,15,2660,0.8957915831663327
13,6,19,1081,0.8637274549098196
12,6,19,1066,0.845691382765531
13,5,5,1715,0.8837675350701403
23,5,3,1116,0.87374749498998
6,8,15,1610,0.8577154308617234
9,4,9,1709,0.8777555110220441
17,4,19,1647,0.8817635270541082
6,6,7,1231,0.9098196392785571
8,5,3,1981,0.8557114228456913
23,5,11,1157,0.8517034068136272
26,5,12,1765,0.875751503006012
11,4,11,2220,0.87374749498998
11,5,9,2888,0.8837675350701403
8,4,3,2821,0.8937875751503006
21,4,9,1353,0.8537074148296593
24,4,9,2868,0.8817635270541082
22,8,7,1816,0.8797595190380761
4,6,18,1878,0.8957915831663327
19,4,5,1641,0.8877755511022044
20,6,8,2139,0.8817635270541082
11,6,6,1909,0.87374749498998
26,5,15,1362,0.8917835671342685
17,4,13,1819,0.9018036072144289
14,4,13,2362,0.8937875751503006
9,6,7,1830,0.875751503006012
11,8,7,2696,0.8797595190380761
14,5,13,1772,0.8997995991983968
3,6,11,1509,0.8677354709418837
25,8,3,1915,0.87374749498998
25,7,16,2003,0.8797595190380761
15,7,6,2589,0.8637274549098196
24,5,6,1572,0.8777555110220441
28,8,12,2897,0.875751503006012
22,8,14,1143,0.8957915831663327
3,8,9,1130,0.87374749498998
