forest,accuracy,total_tree
forest_19_7_3_2846_86.0,0.8623298033282905,19
forest_24_7_6_2617_87.0,0.8714069591527988,43
forest_28_4_5_2503_87.0,0.8653555219364599,71
forest_25_6_16_2356_87.0,0.8683812405446294,96
forest_3_4_11_2847_87.0,0.8744326777609682,99
forest_21_5_10_1371_89.0,0.886535552193646,120
forest_6_7_13_1560_89.0,0.886535552193646,126
forest_26_6_5_1135_88.0,0.8835098335854765,152
forest_25_7_10_2647_89.0,0.8850226928895613,177
forest_9_4_19_2457_90.0,0.8986384266263238,186
forest_15_6_4_2009_90.0,0.897125567322239,201
forest_29_7_19_1134_88.0,0.8804841149773072,230
forest_23_7_6_2503_88.0,0.8774583963691377,253
forest_11_4_18_2056_89.0,0.8925869894099848,264
forest_22_7_7_1568_89.0,0.8940998487140696,286
forest_8_5_8_2495_90.0,0.903177004538578,294
forest_22_4_5_2750_90.0,0.903177004538578,316
forest_19_7_18_2303_90.0,0.9046898638426626,335
forest_3_4_14_2391_89.0,0.8850226928895613,338
forest_8_7_9_2153_93.0,0.9258698940998488,346
forest_16_6_7_2588_90.0,0.9046898638426626,362
forest_14_4_9_1268_90.0,0.897125567322239,376
forest_20_4_18_1884_91.0,0.9062027231467472,396
forest_7_5_7_1339_89.0,0.8850226928895613,403
forest_17_6_16_1912_92.0,0.9152798789712556,420
forest_16_5_5_1784_89.0,0.8925869894099848,436
forest_4_7_5_2695_90.0,0.9016641452344932,440
forest_28_6_5_1021_90.0,0.8956127080181543,468
forest_10_6_8_2436_90.0,0.903177004538578,478
forest_28_7_15_1223_90.0,0.9016641452344932,506
forest_8_4_3_2360_90.0,0.897125567322239,514
forest_16_6_5_2550_91.0,0.9122541603630864,530
forest_8_7_9_1479_92.0,0.9152798789712556,538
forest_26_4_13_2225_90.0,0.897125567322239,564
forest_10_6_15_1357_90.0,0.9001512859304085,574
forest_6_4_19_2131_88.0,0.8774583963691377,580
forest_8_6_12_2040_89.0,0.8940998487140696,588
forest_23_7_3_2537_89.0,0.8925869894099848,611
forest_6_4_11_1737_89.0,0.8880484114977307,617
forest_10_4_14_2154_89.0,0.886535552193646,627
forest_23_7_13_1174_92.0,0.9152798789712556,650
forest_6_4_13_1867_90.0,0.9046898638426626,656
forest_28_6_10_2770_90.0,0.8956127080181543,684
forest_7_6_16_2498_90.0,0.9016641452344932,691
forest_17_4_5_2555_90.0,0.9001512859304085,708
forest_11_6_5_2396_90.0,0.9001512859304085,719
forest_11_4_8_1646_90.0,0.9016641452344932,730
forest_13_5_17_2703_88.0,0.8774583963691377,743
forest_20_7_13_2137_89.0,0.8895612708018155,763
forest_5_5_9_1662_91.0,0.9107413010590016,768
forest_13_5_13_2248_90.0,0.8986384266263238,781
forest_17_4_5_1194_91.0,0.907715582450832,798
forest_15_6_9_2397_91.0,0.9062027231467472,813
forest_5_4_15_1441_91.0,0.9092284417549168,818
forest_26_7_16_2141_90.0,0.8986384266263238,844
forest_7_5_5_1511_91.0,0.9092284417549168,851
forest_7_5_14_2108_92.0,0.9152798789712556,858
forest_5_7_13_2583_91.0,0.907715582450832,863
forest_24_7_7_1709_90.0,0.8956127080181543,887
forest_20_4_17_2077_92.0,0.9243570347957641,907
forest_15_4_4_1986_90.0,0.8986384266263238,922
forest_11_6_7_2259_92.0,0.9228441754916792,933
forest_28_6_14_1453_91.0,0.9092284417549168,961
forest_5_4_16_1208_91.0,0.9062027231467472,966
forest_12_7_5_2807_91.0,0.9107413010590016,978
forest_25_5_18_1578_91.0,0.9122541603630864,1003
forest_6_7_16_2367_90.0,0.9016641452344932,1009
forest_19_5_11_1251_90.0,0.8956127080181543,1028
forest_24_7_11_2599_92.0,0.9198184568835098,1052
forest_17_5_13_1257_91.0,0.9062027231467472,1069
forest_24_4_16_1045_88.0,0.8819969742813918,1093
forest_19_4_7_2739_90.0,0.9001512859304085,1112
forest_15_6_12_1696_90.0,0.897125567322239,1127
forest_26_7_9_2898_89.0,0.8850226928895613,1153
forest_28_5_7_1558_91.0,0.9137670196671709,1181
forest_10_6_14_1753_91.0,0.9062027231467472,1191
forest_3_6_12_2725_92.0,0.9228441754916792,1194
forest_11_5_11_1371_91.0,0.9137670196671709,1205
forest_5_6_9_1466_92.0,0.9198184568835098,1210
forest_25_7_4_2458_89.0,0.8940998487140696,1235
forest_22_6_5_1205_92.0,0.9198184568835098,1257
forest_5_5_3_2868_92.0,0.9213313161875946,1262
forest_11_4_17_2534_90.0,0.897125567322239,1273
forest_29_4_8_2105_92.0,0.9198184568835098,1302
forest_9_5_17_2253_90.0,0.9001512859304085,1311
forest_11_4_9_1038_91.0,0.907715582450832,1322
forest_22_7_8_1942_91.0,0.9092284417549168,1344
forest_19_4_16_2655_90.0,0.9046898638426626,1363
forest_7_4_13_1992_90.0,0.9046898638426626,1370
forest_24_5_5_1199_89.0,0.8940998487140696,1394
forest_20_4_19_2599_90.0,0.903177004538578,1414
forest_8_7_18_1748_89.0,0.8940998487140696,1422
forest_26_5_13_1087_90.0,0.903177004538578,1448
forest_14_6_6_1125_92.0,0.9152798789712556,1462
forest_21_4_17_2613_89.0,0.8910741301059002,1483
forest_21_7_4_2839_90.0,0.8986384266263238,1504
forest_8_6_11_2183_89.0,0.8895612708018155,1512
forest_5_5_15_1383_91.0,0.9062027231467472,1517
forest_15_4_10_1902_91.0,0.9107413010590016,1532
forest_10_4_16_1371_91.0,0.9092284417549168,1542
