hits_count,reads_count,hits_count_pro,ratio_hits_prom,orf_len,insertion_index,reads_by_len,NI,NI_ratio,HFI,HFI_ratio,orf,label
40,3097,20,4.0,314,0.12738853503184713,9.863057324840764,5.872377007541712,2.284096271826333,0.2611464968152866,0.8292682926829269,YAL069W,non_ess
8,1415,29,5.8,254,0.031496062992125984,5.5708661417322825,1.444103918147956,0.5844311377245509,0.5905511811023622,0.9733333333333334,YAL068W-A,non_ess
8,290,7,1.4,308,0.025974025974025976,0.9415584415584416,1.8584183673469388,1.135714285714286,0.4512987012987013,0.8201438848920863,YAL066W,non_ess
75,3221,24,3.4285714285714284,1373,0.05462490895848507,2.345957756737072,1.7624087647797184,0.74468085106383,0.06919155134741442,0.6631578947368421,YAL062W,non_ess
65,2800,0,0.0,1253,0.051875498802873114,2.23463687150838,1.4150733890835907,1.0823311748381128,0.13248204309656825,1.0542168674698793,YAL061W,non_ess
32,1919,4,2.0,1148,0.027874564459930317,1.671602787456446,0.6151981634484286,0.9302804219192178,0.2195121951219512,0.6547619047619048,YAL060W,non_ess
11,355,13,1.4444444444444444,350,0.03142857142857143,1.0142857142857142,0.6331782224290368,1.5980456026058631,0.9914285714285714,1.0086455331412103,YAL056C-A,non_ess
10,252,2,0.6666666666666666,542,0.01845018450184502,0.4649446494464944,0.2980286559622353,0.3762586115527292,0.3339483394833948,0.6961325966850829,YAL055W,non_ess
8,271,0,0.0,2357,0.0033941450997030122,0.11497666525243955,0.05666370964631465,0.18020202020202014,0.39584217225286383,0.2904608788853162,YAL043C,ess
11,112,1,0.3333333333333333,377,0.02917771883289125,0.2970822281167109,0.5382713936662769,1.025089605734767,0.3448275862068966,1.0769230769230769,YAL042C-A,non_ess
5,53,0,1.0,2564,0.0019500780031201247,0.02067082683307332,0.03967658706348255,0.2059896625114017,0.7823712948517941,1.2781655034895314,YAL041W,ess
20,157,4,0.4444444444444444,809,0.02472187886279357,0.19406674907292956,0.5318123862452916,0.30405814657783153,0.19777503090234855,0.45,YAL039C,non_ess
9,119,0,0.0,1502,0.005992010652463382,0.0792276964047936,0.13085710281028806,0.275328947368421,0.6491344873501997,0.2297435897435897,YAL038W,ess
3,124,2,4.0,92,0.03260869565217391,1.3478260869565215,0.7133449698508411,0.9963503649635036,0.31521739130434784,1.6551724137931034,YAL037C-A,non_ess
5,22,0,0.0,869,0.005753739930955121,0.02531645569620253,0.1274346843967097,0.6216931216931216,0.4787111622554661,1.2139423076923077,YAL034W-A,ess
0,0,0,0.0,521,0.0,0.0,0.0,0.0,1.0,0.6602687140115163,YAL033W,ess
14,136,0,0.0,1139,0.012291483757682178,0.11940298507462685,0.4472209090295131,1.2769230769230768,0.3125548726953468,3.1994382022471908,YAL032C,ess
4,23,2,0.5,308,0.012987012987012988,0.07467532467532467,0.4459893048128342,0.7623529411764706,0.42857142857142855,0.6287878787878788,YAL031W-A,non_ess
12,186,3,0.5,569,0.0210896309314587,0.3268892794376098,0.8152648757218177,0.5333333333333333,0.7416520210896309,0.9952606635071092,YAL019W-A,non_ess
1,1,2,0.5,185,0.005405405405405407,0.005405405405405407,0.22189189189189196,0.43888888888888894,1.0,0.827027027027027,YAL016C-B,non_ess
0,0,0,0.0,986,0.0,0.0,0.0,0.0,1.0,0.4574036511156186,YAL003W,ess
36,884,7,2.333333333333333,1619,0.022235948116121063,0.5460160592958616,1.483095784726188,0.7358490566037735,0.21741815935762815,0.625,YAR002W,non_ess
40,505,0,0.0,1280,0.03125,0.39453125,3.1013888888888888,0.8695652173913044,0.2375,0.5361842105263158,YAR003W,non_ess
1,2,0,0.0,1865,0.0005361930294906167,0.0010723860589812334,0.04840688801814808,0.0891608391608392,0.9919571045576407,0.4978378378378378,YAR007C,ess
3,4,1,0.3333333333333333,827,0.003627569528415962,0.004836759371221282,0.32417280422117184,0.4090909090909091,0.7835550181378477,0.3024691358024691,YAR008W,ess
14,215,0,0.0,2924,0.0047879616963064295,0.07352941176470587,0.3129874676642397,0.4697630331753554,0.4965800273597811,0.3147382920110193,YAR019C,ess
7,201,0,0.0,539,0.012987012987012988,0.3729128014842301,0.6326695526695527,0.6922222222222223,0.5435992578849722,0.5631399317406143,YAR023C,non_ess
9,242,5,2.5,341,0.026392961876832845,0.7096774193548387,1.0597946081817051,1.7635135135135132,0.6011730205278593,1.5317073170731703,YAR030C,non_ess
126,2087,23,1.6428571428571428,2063,0.06107610276296655,1.0116335433834225,3.2098314847024603,1.3475935828877004,0.12360639844886087,0.6666666666666667,YAR035W,non_ess
2,4,9,0.8181818181818182,80,0.025,0.05,1.5035714285714286,0.8171428571428571,0.475,1.1578947368421053,YAR035C-A,non_ess
30,1261,0,1.0,335,0.08955223880597014,3.764179104477612,6.819538670284937,1.818181818181818,0.4805970149253732,0.7826086956521738,YBL109W,non_ess
18,663,0,1.0,305,0.05901639344262295,2.1737704918032787,3.9157021528737914,1.816265060240964,0.2721311475409836,1.4698795180722892,YBL108W,non_ess
10,60,0,1.0,3455,0.0028943560057887122,0.017366136034732273,0.15297123733719245,0.3872282608695653,0.37018813314037613,0.5152462861610634,YBL105C,ess
6,77,10,0.9090909090909092,119,0.050420168067226885,0.6470588235294118,2.339912111633644,1.176605504587156,0.3109243697478992,2.0270270270270268,YBL100W-C,non_ess
6,40,0,1.0,2264,0.00265017667844523,0.0176678445229682,0.19965425855976607,0.16995073891625614,0.7588339222614839,0.3591385331781141,YBL097W,ess
14,479,2,4.0,308,0.045454545454545456,1.5551948051948052,3.727272727272727,1.4195804195804196,0.2532467532467532,0.9102564102564104,YBL096C,non_ess
0,0,0,1.0,725,0.0,0.0,0.0,0.0,1.0,0.7448275862068966,YBL092W,ess
22,492,6,2.0,615,0.03577235772357724,0.8,1.9906654622101776,1.6805555555555558,0.1804878048780488,1.0,YBL091C-A,non_ess
8,32,0,1.0,2276,0.0035149384885764497,0.0140597539543058,0.12940523540838034,0.3476874003189793,0.4494727592267136,0.3528836754643206,YBL084C,ess
5,38,0,0.0,3218,0.0015537600994406464,0.011808576755748913,0.06270633649026976,0.13278609367455335,0.4297700435052828,0.4128705712219812,YBL076C,ess
8,40,0,0.0,1067,0.007497656982193066,0.03748828491096532,0.2556633484468536,0.44144144144144143,0.7413308341143393,0.7395701643489254,YBL074C,ess
3,8,0,0.0,994,0.003018108651911469,0.008048289738430584,0.08577043657292592,0.2005813953488372,0.6740442655935613,0.4805970149253732,YBL050W,ess
42,3210,4,1.0,368,0.11413043478260868,8.722826086956523,2.7569347826086954,1.1759999999999995,1.0,1.0,YBL044W,non_ess
1,1,0,0.0,725,0.0013793103448275859,0.0013793103448275859,0.030611103714551988,0.13256113256113256,0.5296551724137931,0.7291666666666666,YBL041W,ess
4,109,0,0.0,756,0.005291005291005291,0.1441798941798942,0.1182352205974253,0.3196850393700787,0.4576719576719577,0.6213872832369943,YBL040C,ess
0,0,0,0.0,698,0.0,0.0,0.0,0.0,1.0,0.29512893982808025,YBL038W,non_ess
5,33,0,0.0,2117,0.0023618327822390174,0.015588096362777516,0.07422106010957416,0.18611309949892627,0.3684459140292867,0.4025641025641026,YBL035C,ess
11,83,0,1.0,4541,0.002422373926447919,0.018277912354107025,0.05985675485785594,0.27035330261136714,0.4631138515745431,0.4322396576319544,YBL034C,ess
