hits_count,reads_count,hits_count_pro,ratio_hits_prom,orf_len,insertion_index,reads_by_len,NI,NI_ratio,HFI,HFI_ratio,orf,label
15,592,14,4.666666666666667,314,0.04777070063694268,1.8853503184713376,2.492701698513801,0.6746031746031748,0.2611464968152866,0.7317073170731708,YAL069W,non_ess
2,2,5,0.625,254,0.007874015748031496,0.007874015748031496,0.4129543738539532,0.14646996838777662,1.0,0.5748031496062992,YAL068W-A,non_ess
1,7,1,0.2,308,0.003246753246753247,0.022727272727272728,0.3401027077497666,0.4161220043572985,0.9935064935064936,0.696078431372549,YAL066W,non_ess
72,1588,12,1.0909090909090908,1373,0.05243991260014567,1.1565914056809905,2.114890517735662,1.6734505087881593,0.09031318281136197,0.7741935483870968,YAL062W,non_ess
59,2494,0,0.0,1253,0.047086991221069435,1.9904229848363928,1.5714031006435618,1.0638297872340423,0.10933758978451716,1.3430656934306568,YAL061W,non_ess
52,1327,0,0.0,1148,0.04529616724738676,1.1559233449477353,1.16761487369338,1.3921493902439028,0.1167247386759582,1.2686567164179106,YAL060W,non_ess
5,82,13,1.8571428571428568,350,0.014285714285714284,0.2342857142857143,0.3534285714285714,0.78,1.0,1.0,YAL056C-A,non_ess
9,155,1,0.5,542,0.016605166051660517,0.2859778597785978,0.3523439376405599,1.3922231614539309,0.5645756457564576,0.9575163398692812,YAL055W,non_ess
23,171,0,0.0,2357,0.00975816716164616,0.07254985150615187,0.1749990056215528,0.7002527573529411,0.3949936359779381,0.31149301825993553,YAL043C,ess
4,54,1,1.0,377,0.010610079575596816,0.14323607427055704,0.20376895364028666,0.3868159203980099,0.5278514588859416,0.7889447236180904,YAL042C-A,non_ess
12,164,0,0.0,2564,0.0046801872074883,0.06396255850234009,0.09903276131045242,0.6279841897233202,0.7145085803432137,1.3995633187772925,YAL041W,ess
51,931,12,2.0,809,0.0630407911001236,1.1508034610630409,1.4175098048192405,1.042501517911354,0.13226205191594562,0.7757009345794392,YAL039C,non_ess
11,144,0,1.0,1502,0.0073235685752330235,0.09587217043941412,0.17008168213526242,0.4500772002058672,0.5266311584553928,0.2692793931731985,YAL038W,ess
1,15,2,0.6666666666666666,92,0.010869565217391304,0.16304347826086954,0.25549872122762146,0.29705882352941176,0.9239130434782608,0.4235294117647059,YAL037C-A,non_ess
8,184,0,0.0,869,0.009205983889528192,0.21173762945914845,0.26060015933433656,0.8557123350022758,0.6156501726121979,0.7943925233644861,YAL034W-A,ess
0,0,0,0.0,521,0.0,0.0,0.0,0.0,1.0,0.47216890595009603,YAL033W,ess
24,303,0,0.0,1139,0.021071115013169446,0.2660228270412643,0.9826262226563948,1.425597060624617,0.25548726953467954,0.5670103092783505,YAL032C,ess
6,71,2,0.3333333333333333,308,0.01948051948051948,0.2305194805194805,0.9025974025974024,1.6,0.4512987012987013,1.014388489208633,YAL031W-A,non_ess
15,282,4,1.3333333333333333,569,0.02636203866432337,0.4956063268892794,1.064711591427747,1.4810562571756598,0.7381370826010545,0.9952380952380953,YAL019W-A,non_ess
5,10,1,0.5,185,0.027027027027027032,0.054054054054054064,1.1094594594594596,0.6666666666666666,0.7621621621621621,0.4680851063829787,YAL016C-B,non_ess
0,0,0,0.0,986,0.0,0.0,0.0,0.0,1.0,0.4614604462474645,YAL003W,ess
26,320,6,2.0,1619,0.01605929586164299,0.19765287214329832,1.351657401688285,0.7634920634920636,0.13094502779493514,0.7028301886792454,YAR002W,non_ess
21,256,2,0.6666666666666666,1280,0.01640625,0.2,2.035286458333333,0.6805555555555555,0.31171875,0.5137844611528822,YAR003W,non_ess
4,24,0,0.0,1865,0.0021447721179624667,0.012868632707774798,0.2314628208683862,0.4639498432601882,0.5463806970509384,0.5947006869479882,YAR007C,ess
9,74,2,0.6666666666666666,827,0.010882708585247884,0.08948004836759371,1.1755717076152383,0.7692307692307693,0.37122128174123337,0.42996742671009774,YAR008W,ess
27,249,0,0.0,2924,0.009233926128590971,0.08515731874145006,1.2246494528043776,2.278846153846154,0.3867989056087551,0.4155614500442087,YAR019C,ess
18,318,5,10.0,539,0.033395176252319116,0.5899814471243042,4.159596896609884,4.827272727272726,0.1948051948051948,1.5523809523809522,YAR023C,non_ess
0,0,1,1.0,341,0.0,0.0,0.0,0.0,1.0,0.5689149560117303,YAR030C,non_ess
96,1593,2,0.16666666666666666,2063,0.0465341735336888,0.7721764420746485,9.094522539990304,2.9743589743589736,0.14638875424139602,0.6953642384105961,YAR035W,non_ess
0,0,7,0.6363636363636364,80,0.0,0.0,0.0,0.0,1.0,0.525,YAR035C-A,non_ess
14,585,0,1.0,335,0.041791044776119404,1.7462686567164178,3.2314121699196328,0.9094017094017094,0.4895522388059702,0.8597560975609756,YBL109W,non_ess
6,383,0,1.0,305,0.019672131147540985,1.2557377049180327,1.3211515393842463,0.5609756097560975,0.6131147540983607,0.9679144385026736,YBL108W,non_ess
23,346,0,1.0,3455,0.006657018813314037,0.10014471780028944,0.3335906094227368,0.9512345679012346,0.3102749638205499,0.4207089552238806,YBL105C,ess
6,54,6,0.6666666666666666,119,0.050420168067226885,0.45378151260504207,2.512812021360268,0.5874384236453202,0.3865546218487395,0.826086956521739,YBL100W-C,non_ess
26,181,0,0.0,2264,0.011484098939929329,0.0799469964664311,0.9041400057301118,1.018409714061888,0.4416961130742049,0.442,YBL097W,ess
17,230,1,2.0,308,0.055194805194805185,0.7467532467532467,3.5659189295552927,1.0417508417508416,0.2954545454545455,0.7582417582417582,YBL096C,non_ess
1,1,0,1.0,725,0.0013793103448275859,0.0013793103448275859,0.05524278676988036,0.11048557353976073,0.7475862068965518,1.3376383763837638,YBL092W,ess
15,131,5,2.5,615,0.024390243902439025,0.2130081300813008,0.8938132064247473,0.8460365853658538,0.23089430894308946,1.3661971830985915,YBL091C-A,non_ess
12,182,0,1.0,2276,0.005272407732864675,0.07996485061511424,0.18595206096498354,0.5826330532212886,0.6089630931458699,0.3015873015873016,YBL084C,ess
8,111,0,0.0,3218,0.002486016159105034,0.03449347420758235,0.08679353241192893,0.2334267040149393,0.4297700435052828,0.3904555314533622,YBL076C,ess
19,302,2,0.25,1067,0.01780693533270853,0.2830365510777882,0.566380254069763,1.1575630252100844,0.20805998125585756,1.2162162162162162,YBL074C,ess
7,49,0,0.0,994,0.007042253521126761,0.04929577464788732,0.19123630672926448,0.5172222222222222,0.613682092555332,0.5081967213114754,YBL050W,ess
52,4108,5,2.5,368,0.14130434782608695,11.16304347826087,3.2201394585726004,1.0465408805031446,0.1358695652173913,0.9,YBL044W,non_ess
3,17,0,0.0,725,0.00413793103448276,0.02344827586206897,0.09148010610079577,0.40192307692307694,0.526896551724138,0.6073298429319371,YBL041W,ess
7,91,1,0.25,756,0.009259259259259259,0.12037037037037035,0.20529513888888887,0.7041015624999999,0.4708994708994709,0.9129213483146068,YBL040C,ess
8,49,2,0.6666666666666666,698,0.011461318051575931,0.07020057306590258,0.27635810771299923,0.4653061224489797,0.2793696275071633,1.276923076923077,YBL038W,non_ess
17,95,0,1.0,2117,0.00803023145961266,0.04487482286254133,0.2693164181118834,0.6428571428571429,0.3604156825696741,0.3250327653997379,YBL035C,ess
26,254,0,0.0,4541,0.005725611098876899,0.0559348161197974,0.1367438834828006,0.7615062761506276,0.4595903985906188,0.4528030666027792,YBL034C,ess
8,154,9,3.0,284,0.028169014084507043,0.5422535211267606,0.8420251237152645,1.0630630630630629,0.426056338028169,1.421487603305785,YBL029C-A,non_ess
21,758,2,4.0,1130,0.018584070796460177,0.6707964601769911,0.5653557680860352,0.7662046473705667,0.3557522123893805,0.7562189054726368,YBL029W,non_ess
0,0,0,0.0,415,0.0,0.0,0.0,0.0,1.0,0.4265060240963856,YBL026W,ess
13,131,0,0.0,1724,0.00754060324825986,0.0759860788863109,0.14465324765248236,0.4950023798191338,0.3370069605568445,0.5800344234079174,YBL020W,ess
5,17,0,0.0,476,0.01050420168067227,0.03571428571428571,0.20150813948767915,0.3418803418803419,0.5483193277310925,0.2681992337164751,YBL018C,ess
43,412,4,1.0,1580,0.027215189873417717,0.2607594936708861,0.6636063032808059,0.7583365421640355,0.10949367088607596,0.8092485549132948,YBL015W,non_ess
49,601,2,0.2857142857142857,1205,0.04066390041493776,0.4987551867219917,1.2142523895047586,1.0996083412723618,0.14439834024896264,0.8620689655172414,YBL013W,non_ess
10,114,0,0.0,401,0.024937655860349132,0.28428927680798005,0.8035944621205607,1.206896551724138,0.3117206982543641,0.7919999999999999,YBL012C,non_ess
4,34,0,0.0,542,0.007380073800738006,0.06273062730627306,1.4729547295472951,0.9477351916376304,0.7287822878228782,0.8987341772151899,YBL006C,non_ess
4,34,0,0.0,149,0.026845637583892617,0.22818791946308725,5.181862825339663,1.2487804878048778,1.0,1.0,YBL006W-A,non_ess
5,63,4,2.0,398,0.01256281407035176,0.15829145728643215,0.3831332829952873,1.8048359240069087,0.2537688442211055,2.435643564356436,YBL003C,non_ess
12,135,8,2.6666666666666665,395,0.030379746835443037,0.34177215189873417,0.769326729040543,0.7774936061381075,0.4075949367088608,0.42236024844720504,YBL002W,non_ess
26,412,4,0.6666666666666666,314,0.08280254777070062,1.3121019108280254,1.8636516014994056,1.008544087491456,0.15286624203821655,0.9375,YBL001C,non_ess
92,1758,8,0.8888888888888888,2342,0.03928266438941076,0.7506404782237404,0.8877511560833348,0.9211463154147383,0.06703672075149444,1.3057324840764328,YBR001C,non_ess
9,334,0,0.0,860,0.010465116279069769,0.3883720930232558,0.2614556416881998,0.5009746588693956,0.9081395348837208,0.2381562099871959,YBR002C,ess
7,53,2,2.0,1301,0.005380476556495004,0.04073789392774789,0.1405333858709074,0.26490725756255445,0.7986164488854727,0.2300288739172281,YBR004C,ess
8,220,1,0.5,641,0.0124804992199688,0.34321372854914195,0.3234997219958003,0.5674740484429066,0.25273010920436817,0.5802469135802469,YBR005W,non_ess
34,577,1,0.5,1493,0.02277294038847957,0.3864701942397857,0.7288289796829649,0.7605263157894736,0.333556597454789,0.19076305220883533,YBR006W,non_ess
5,59,0,0.0,863,0.005793742757821553,0.06836616454229433,0.5299343375820781,0.5370370370370371,0.42178447276940906,0.8846153846153846,YBR011C,ess
5,140,0,1.0,386,0.01295336787564767,0.3626943005181347,0.6955958549222797,0.6574074074074073,0.6968911917098446,0.4869888475836431,YBR016W,non_ess
13,164,1,0.5,533,0.024390243902439025,0.3076923076923077,0.7092190646677109,1.073394495412844,0.3302063789868668,0.7897727272727274,YBR022W,non_ess
7,58,0,1.0,332,0.021084337349397592,0.1746987951807229,1.0462819018007514,0.3913978494623657,0.3403614457831325,1.1327433628318584,YBR027C,non_ess
6,46,0,0.0,1373,0.0043699927166788045,0.033503277494537506,0.1713810068819953,0.2973760932944606,0.4085943190094683,0.43315508021390375,YBR029C,ess
35,1696,5,2.5,302,0.11589403973509932,5.615894039735099,3.2728922567498726,1.0576923076923077,0.2317880794701987,0.7428571428571429,YBR032W,non_ess
26,204,2,1.0,686,0.037900874635568516,0.29737609329446063,1.1446849650296833,1.7616580310880827,0.3032069970845481,0.7692307692307692,YBR035C,non_ess
23,268,0,0.0,2891,0.007955724662746454,0.09270148737461087,0.2639854092638596,0.478176652892562,0.20269802836388792,0.5324232081911263,YBR038W,ess
10,78,1,0.25,527,0.018975332068311198,0.14800759013282733,0.6492340445226084,0.9430894308943087,0.2428842504743833,1.4453124999999998,YBR047W,non_ess
26,330,0,0.0,2432,0.010690789473684209,0.1356907894736842,0.3681699755472753,1.0682680151706705,0.14597039473684212,1.5915492957746478,YBR049C,ess
22,260,1,2.0,1016,0.021653543307086614,0.2559055118110236,0.7607121015212904,1.68871359223301,0.1702755905511811,1.5086705202312138,YBR050C,non_ess
5,24,1,2.0,350,0.014285714285714284,0.06857142857142857,0.4460471567267684,3.0461165048543686,0.9742857142857144,1.0263929618768328,YBR051W,non_ess
8,48,3,1.0,1862,0.004296455424274973,0.02577873254564984,0.10800352529675836,0.5213675213675213,0.4634801288936628,0.5967555040556198,YBR060C,ess
15,157,1,2.0,662,0.02265861027190332,0.23716012084592145,0.4361162712290189,0.8836896145430063,0.17522658610271905,1.7413793103448276,YBR066C,non_ess
2,4,2,1.0,713,0.002805049088359046,0.005610098176718092,0.04384387624219322,0.0982905982905983,0.511921458625526,0.4410958904109589,YBR070C,ess
14,565,3,1.5,161,0.08695652173913042,3.5093167701863357,1.4666520643960137,2.2075566750629725,0.2236024844720497,1.8333333333333333,YBR072C-A,non_ess
22,401,9,1.5,266,0.08270676691729323,1.5075187969924813,2.2654882821087807,1.4152046783625734,0.16917293233082706,1.4222222222222225,YBR076C-A,non_ess
32,439,0,0.0,2894,0.0110573600552868,0.1516931582584658,0.3151347615756738,0.9855832241153344,1.0,1.0,YBR079C,ess
21,171,7,3.5,541,0.038817005545286505,0.3160813308687616,0.846537914037436,1.271264367816092,0.16820702402957485,0.8901098901098902,YBR082C,non_ess
2,37,0,0.0,1064,0.0018796992481203009,0.03477443609022556,0.05486895376092051,0.19595141700404856,0.9144736842105264,0.5190133607399795,YBR087W,ess
9,20,0,1.0,776,0.011597938144329896,0.02577319587628866,0.3446731785497704,1.115546218487395,0.35309278350515466,0.7518248175182481,YBR088C,ess
